title,DOI,status
OH-BNNSs reinforced polyvinyl alcohol/ carboxymethyl cellulose-based deep eutectic gel electrolyte for rechargeable zinc-air batteries,10.1016/j.colsurfa.2025.137514,1
Mixed ionic-electronic conduit of Ca2+ confined by two-dimensional multicomponent boron-carbon layers,10.1016/j.jpcs.2025.112842,1
"Boron nitride, a versatile nanostructure: Advances in synthesis, modifications, and energy storage applications",10.1016/j.jpowsour.2025.237759,1
Entropy-mediated layered oxide cathodes: Synergistic channel expansion and strain control for sodium-ion batteries at cryogenic conditions,10.1016/j.jechem.2025.06.006,1
Preparation of B-doped LATP solid electrolyte with enhanced ionic conductivity via Spark Plasma sintering,10.1016/j.mseb.2025.118442,
"Influence of boron substitution at Si-site and associated interplay between structure, water-stability, ion-transport and interfacial resistance of NASICON-structured Na3Zr2Si2PO12-based solid electrolyte",10.1016/j.scriptamat.2025.116800,
Dual-functional TiN/BN@separator for enhanced electrochemical performance and safety of lithium-ion batteries,10.1016/j.est.2025.117608,1
Dual-interface engineering via boron pre-anchoring and electronegative synergy for coupled ion transport and self-stabilizing interphases in lithium metal batteries,10.1016/j.ensm.2025.104466,
Innovative fluorinated boron-based electrolyte harmonizes interface chemistry-electrochemistry of Mg anode for accessible rechargeable Mg battery,10.1016/j.cej.2025.164545,1
A bifunctional catalyst of CoO/NBC composite for high-performance rechargeable flexible zinc-air battery,10.1016/j.jcis.2025.137537,1
2D (Boron Nitride/Graphene/Molybdenum Disulfide) Composite-Modified Separator for High-Performance Li-S Batteries,10.1021/acs.energyfuels.5c02545,1
Unfolding the Network Structure of [Pyr14Cl/(BCl3)0.25]/(δ-MgCl2)x Ionic Liquid Using the BCl4- Probe,10.1002/sstr.202500157,1
Unveiling the Favorable Synergy of ZIF-9 and Borocarbonitride on rGO as a Bifunctional Electrocatalyst for Hydrogen and Oxygen Evolution Reactions in Alkaline Media,10.1021/acs.langmuir.5c02189,1
"First-principles study on the role of Ti, V, and Sc catalysts in enhancing the catalytic effects of boron oxide monolayer for efficient Lithium-selenium batteries",10.1016/j.flatc.2025.100918,1
Adsorption of Fluorinated Ether Electrolyte Solvent Molecules on Boron Nitride Nanosheets Studied by Solid-State NMR and Computational Methods,10.1021/acs.jpclett.5c01962,1
Adaptive 3D Cross-Linked Single-Ion Conducting Polymer Electrolytes Enable Powerful Interface for Solid State Batteries,10.1002/anie.202505232,1
Versatile defect-laden boronizing hard carbon for superior sodium-ion battery efficacy,10.1016/j.cej.2025.166436,1
"N-heterocyclic carbene as a potent LiNO3-solubilizer, Li+-solvation regulator and solid-electrolyte interphase enhancer for highly durable Lithium metal batteries",10.1016/j.cej.2025.166397,1
Nacre-inspired hybrid interface enabling controlled lithium deposition via ion modulation for lithium-sulfur batteries,10.1007/s42114-025-01380-4,1
Upcycling Waste Pyrolytic Carbon Black into Sustainable Ultrahigh Performance Anode for Sodium-Ion Batteries via Multi-Chemistry and Engineering Synergism,10.1002/adfm.202514035,1
Modifying Li2B12H12 to become a highly electrochemically stable solid electrolyte,10.1039/d5ta02774h,1
Macromolecular Boron-Based Salt Enables Dense Interphases for Long-Cycling Lithium-Sulfur Batteries,10.1002/adma.202505762,1
High-Strength Ultrathin Solid-State Electrolyte with Ion-Rectifying Honeycomb-Like Skeleton for Lithium Metal Batteries Free from External Pressure,10.1002/adfm.202511558,1
Stabilizing Solid-State Li Metal Batteries via a Poly(ethylene oxide)-LiTFSI@Boron Nitride Interfacial Layer,10.1002/batt.202500386,1
"Correlating the mechanism, kinetics, and SEI formation of a boron-doped graphene anode for high-performance alkali ion batteries",10.1039/d5ta01263e,1
High performance h-BN-rGO-Se anode for fast-charging and high current density sodium-ion batteries,10.1016/j.jpowsour.2025.237839,1
Synergistic LiBO2/CeF3 hybrid coating engineering for chemically stabilized cathode-electrolyte interphase in nickel-rich cathodes,10.1007/s12598-025-03403-x,1
Enhancing Safety in Li-S Batteries: Mitigating Thermal Instabilities via Electrolyte and Separator Pair Optimization,10.1002/ente.202500550,1
Stabilization of Phase Transition Process and Lattice Oxygen of O3-Layered Oxide Cathode for Sodium-Ion Battery via Dual-Doping Strategy,10.1002/aenm.202502592,1
