title,battery_format,cathode,anode,electrolyte,additives,DOI
OH-BNNSs reinforced polyvinyl alcohol/ carboxymethyl cellulose-based deep eutectic gel electrolyte for rechargeable zinc-air batteries,[other formats (flexible zinc-air battery)],[positive electrode material: not specified in summary, negative electrode material: not specified in summary, electrolyte system: PVA/CMC/DES gel electrolyte,OH-BNNSs],10.1016/j.colsurfa.2025.137514
Mixed ionic-electronic conduit of Ca2+ confined by two-dimensional multicomponent boron-carbon layers,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [],[]],10.1016/j.jpcs.2025.112842
"Boron nitride, a versatile nanostructure: Advances in synthesis, modifications, and energy storage applications",[],[positive electrode material: [], negative electrode material: [], electrolyte system: [gel electrolytes],[]],10.1016/j.jpowsour.2025.237759
Entropy-mediated layered oxide cathodes: Synergistic channel expansion and strain control for sodium-ion batteries at cryogenic conditions,[],[O3-type layered oxide cathode (specifically sodium-deficient high-entropy composition Na0.85Ni0.3Mn0.3Fe0.1Co0.15Ti0.05Cu0.05B0.02O2)], [negative electrode material not specified], [electrolyte system not specified], [additives not specified],10.1016/j.jechem.2025.06.006
Preparation of B-doped LATP solid electrolyte with enhanced ionic conductivity via Spark Plasma sintering,[],[positive electrode material: [], negative electrode material: [], electrolyte system: Li1+xAlxTi2_x(PO4)3 (LATP) solid-state electrolyte, additives: boron (B) doping],10.1016/j.mseb.2025.118442
"Influence of boron substitution at Si-site and associated interplay between structure, water-stability, ion-transport and interfacial resistance of NASICON-structured Na3Zr2Si2PO12-based solid electrolyte",[],[Na3Zr2Si2PO12-based polycrystalline solid electrolyte, sodium metal, solid electrolyte, []],10.1016/j.scriptamat.2025.116800
Dual-functional TiN/BN@separator for enhanced electrochemical performance and safety of lithium-ion batteries,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [], additives: []],10.1016/j.est.2025.117608
Dual-interface engineering via boron pre-anchoring and electronegative synergy for coupled ion transport and self-stabilizing interphases in lithium metal batteries,"[coin battery, pouch battery]",[LiCoO2, NCM811], [lithium metal anode with boron pre-anchoring], [electrolyte system not specified],10.1016/j.ensm.2025.104466
Innovative fluorinated boron-based electrolyte harmonizes interface chemistry-electrochemistry of Mg anode for accessible rechargeable Mg battery,[coin battery],[Mo6S8, Mg, magnesium phenyl fluoroborate complex electrolyte, []],10.1016/j.cej.2025.164545
A bifunctional catalyst of CoO/NBC composite for high-performance rechargeable flexible zinc-air battery,[flexible battery],[cobalt oxide nanoparticles loaded on nitrogen-boron co-doped carbon nanotube arrays (CoO/NBC), zinc, trehalose modified polyacrylamide hydrogel (trehalose/PAAm), no additives mentioned],10.1016/j.jcis.2025.137537
