percentiles,mean_sim_model,mean_sim_random
5,0.70826805,0.44020072
10,0.66282153,0.4410051
15,0.6419198,0.44384658
20,0.62846774,0.44191992
25,0.61746484,0.4436694
30,0.6072185,0.4446102
35,0.59748656,0.44373068
40,0.58823985,0.44349885
45,0.5787525,0.44427106
50,0.56886667,0.44381556
55,0.5584873,0.44374707
60,0.54766554,0.4438156
65,0.5364004,0.44378653
70,0.52466863,0.44402233
75,0.5125328,0.4435444
80,0.5000002,0.44378015
85,0.48701313,0.44381997
90,0.4735632,0.44375107
95,0.45950112,0.4436725
100,0.44374532,0.44374534
