percentiles,mean_sim_model,mean_sim_random
5,0.708268,0.4439545
10,0.6628215,0.44402283
15,0.6419198,0.44263542
20,0.62846774,0.44318146
25,0.61746484,0.44405034
30,0.6072185,0.44488746
35,0.59748656,0.44363132
40,0.58823985,0.44362748
45,0.5787525,0.4436314
50,0.56886667,0.44373503
55,0.5584873,0.4434755
60,0.54766554,0.4439122
65,0.5364004,0.44394505
70,0.52466863,0.44386968
75,0.5125328,0.44328624
80,0.5000002,0.4436981
85,0.48701313,0.44376612
90,0.4735632,0.44393983
95,0.45950106,0.44377252
100,0.44374532,0.4437454
