molecule_id,prototypes,molecule_name,UMAP_x,UMAP_y
68,1,['Na[B(hfip)4]'],3.0861914,10.941728
123,1,['THFPB'],3.236088,10.662381
42,1,['LiFPB'],3.6041448,10.32071
119,1,['ABA#1'],3.193376,10.740073
93,1,['TTFEB'],-7.225355,16.995499
17,1,['THFBuBO'],3.4329607,10.386819
81,1,['(C6F12)O2B(C6H3F2)'],5.475479,8.728909
108,1,['TTFB'],-7.2540107,17.024271
46,1,['TFEB'],-7.24887,17.019003
90,1,['THFB'],3.071659,10.902696
118,1,['(C6F12)O2B(C6H5)'],5.5352674,8.573404
63,1,['B(HFIP)3'],3.2658002,10.680099
99,1,['TMF'],3.0439312,10.985515
125,1,['THB'],3.1883368,10.708555
68000,1,[],3.0148346,11.035236
123000,1,[],3.0106277,11.09129
42000,1,[],3.361464,10.384607
25000,1,[],5.6442885,8.700446
119000,1,[],3.2409241,10.708859
93000,1,[],-7.2240267,16.993881
17000,1,[],3.4098527,10.438694
81000,1,[],5.343178,8.867737
108000,1,[],-7.261825,17.031918
46000,1,[],-7.2164574,16.986448
90000,1,[],3.1085029,10.8796425
118000,1,[],5.468904,8.548983
63000,1,[],3.0125082,11.011887
99000,1,[],2.9661775,11.091514
125000,1,[],3.0364745,11.156462
68001,1,[],3.0456402,10.9960785
123001,1,[],3.1551547,10.754898
42001,1,[],3.618144,10.32709
119001,1,[],3.1279576,10.819993
93001,1,[],-7.2289314,16.999163
17001,1,[],3.369159,10.416561
81001,1,[],5.3127704,8.808512
108001,1,[],-7.1868753,16.956705
46001,1,[],3.9066615,11.078832
90001,1,[],3.6392968,10.330639
63001,1,[],3.7133064,10.335489
99001,1,[],3.5437202,10.366025
125001,1,[],3.7021203,10.3384285
68010,1,[],3.8536828,11.267397
123010,1,[],3.984572,11.00975
42010,1,[],4.02101,11.26719
17010,1,[],3.9046657,11.272388
108010,1,[],-7.0330977,16.808674
46010,1,[],-7.1211157,16.891716
90010,1,[],3.9721315,11.326504
63010,1,[],3.7414255,10.612595
99010,1,[],3.557284,10.977025
125010,1,[],4.0372005,11.254034
68011,1,[],4.1050057,11.158991
123011,1,[],4.169107,11.142276
42011,1,[],3.7979205,10.297174
119011,1,[],4.1321645,11.07023
93011,1,[],-7.0126295,16.788229
17011,1,[],3.4552474,10.364809
81011,1,[],5.3072248,8.866393
108011,1,[],-6.994255,16.770355
46011,1,[],-7.043377,16.818518
90011,1,[],4.1695533,11.148624
118011,1,[],5.5447683,8.562142
63011,1,[],4.221292,11.105785
99011,1,[],3.1222444,11.0731945
125011,1,[],4.0914574,11.154816
68100,1,[],3.7689764,10.756436
123100,1,[],3.730942,10.992049
42100,1,[],4.147533,10.403371
25100,1,[],5.701021,8.879665
119100,1,[],4.3809214,10.564965
13100,1,[],5.6317387,8.776936
93100,1,[],4.3930397,10.797313
17100,1,[],4.408215,10.687937
81100,1,[],5.6526318,8.8356905
108100,1,[],4.4122725,10.906642
46100,1,[],4.3997808,10.680322
90100,1,[],4.2157035,10.374299
118100,1,[],5.7207136,8.935542
63100,1,[],4.323731,10.49204
99100,1,[],4.328478,10.491609
125100,1,[],4.392111,10.548979
31,1,['(C3HF6O)2B(C6H3F2)'],5.52505,8.679276
53,1,['(C6F12)O2B(C6F5)'],5.5181956,8.615114
31001,1,[],5.488068,8.697118
53001,1,[],5.5252333,8.579966
53010,1,[],5.6488934,8.713211
31011,1,[],5.618309,8.847465
53011,1,[],5.6016965,8.635237
31100,1,[],5.6251307,8.846138
124,2,['2F-PBF'],6.166048,16.251034
65,2,['TMSPB'],2.9814727,18.636848
9,2,['TPhBX'],5.7599664,17.002602
113,2,['(C6F4)O2B(C6H3F2)'],0.65826666,17.485668
28,2,['LBNB'],2.5254889,18.430458
89,2,['Li[BScB]'],0.89916587,17.340776
7,2,['TRIFM'],5.785199,16.031792
70,2,['LBDOB'],3.0279875,18.22677
8,2,['LBBPB'],2.161449,18.318935
38,2,['FBA'],0.2738641,17.549559
100,2,['PBA'],2.6603463,17.074362
84,2,['LiBPh4'],2.6932259,18.377743
111,2,['PCN'],6.323537,16.386871
88,2,['(C6F4)O2B(C6H4F)'],2.7311182,18.494415
107,2,['LiBSB'],0.93198085,17.350029
103,2,['VPBF'],6.136029,16.410217
86,2,['PBF'],6.2679663,16.515934
82,2,['(C6F4)O2B(C7H3F6)'],0.62818694,17.752916
60,2,['(C6F4)O2B(C8H3F6)'],0.21889071,17.510279
124000,2,[],6.2252226,16.210527
15000,2,[],0.793626,17.382723
65000,2,[],3.0586338,18.555098
9000,2,[],5.7752647,17.006483
113000,2,[],0.66445166,17.695518
28000,2,[],2.6364217,18.386633
89000,2,[],1.2348409,17.739426
7000,2,[],5.8120065,16.033188
70000,2,[],3.1652358,18.246492
8000,2,[],2.2118962,18.341366
100000,2,[],2.6598644,17.098534
84000,2,[],3.1153784,18.2394
111000,2,[],6.2887836,16.30623
88000,2,[],2.6343093,18.562696
107000,2,[],1.1021146,17.683046
103000,2,[],2.6318376,17.066444
86000,2,[],6.111864,16.268581
82000,2,[],0.64456475,17.778244
124001,2,[],6.177689,16.181383
65001,2,[],2.9721897,18.586996
9001,2,[],5.878243,17.07001
113001,2,[],0.60056573,17.579157
28001,2,[],2.4092577,18.456074
89001,2,[],1.0699365,17.338942
7001,2,[],5.764304,16.079311
70001,2,[],2.8113887,18.370033
8001,2,[],2.3657155,18.435894
38001,2,[],0.22166431,17.507387
100001,2,[],2.7021003,17.02308
84001,2,[],3.098257,18.212543
111001,2,[],6.2082415,16.588179
88001,2,[],3.0630746,18.300951
107001,2,[],1.1702652,17.584042
103001,2,[],6.089444,16.610956
86001,2,[],6.200823,16.647692
82001,2,[],2.5573232,18.601168
60001,2,[],0.41856268,17.638191
15010,2,[],0.787143,17.341806
65010,2,[],2.6612313,17.065456
9010,2,[],5.7613363,16.969398
113010,2,[],0.7451082,17.776554
28010,2,[],1.3286743,17.930801
5010,2,[],0.3201622,17.6596
7010,2,[],5.8186955,16.34953
70010,2,[],3.216516,18.163897
100010,2,[],3.0416718,18.004229
50010,2,[],0.6781659,17.79173
84010,2,[],3.2347195,18.192316
111010,2,[],6.126196,16.3087
88010,2,[],2.5591664,18.596687
103010,2,[],6.1467767,16.139462
86010,2,[],6.065277,16.737286
82010,2,[],4.2154236,18.399017
60010,2,[],0.2896161,17.605833
124011,2,[],5.9386883,16.2275
65011,2,[],3.0442245,18.67959
9011,2,[],5.8339925,16.986814
113011,2,[],0.68339616,17.381493
28011,2,[],2.7585192,18.41243
89011,2,[],0.9472598,17.309635
7011,2,[],5.6368117,15.945131
70011,2,[],2.7534997,18.41908
8011,2,[],2.6304193,18.427593
100011,2,[],2.6316452,17.071562
84011,2,[],2.6746976,18.53852
111011,2,[],6.112104,16.63145
88011,2,[],2.799379,18.579624
107011,2,[],0.99798465,17.246109
103011,2,[],5.977927,16.41095
86011,2,[],6.109181,16.689291
82011,2,[],0.3213837,17.58862
124100,2,[],5.854255,16.132784
65100,2,[],5.7404976,16.278725
9100,2,[],5.630679,17.003065
113100,2,[],0.29679486,17.700872
28100,2,[],4.1187105,18.36889
7100,2,[],5.6497307,16.118961
70100,2,[],3.943503,18.084467
8100,2,[],3.9824016,18.245838
100100,2,[],2.5874772,17.109966
50100,2,[],0.27435872,17.663578
84100,2,[],4.1900897,17.976917
111100,2,[],5.9746323,16.470802
88100,2,[],4.182623,18.477716
107100,2,[],2.3454616,17.250097
103100,2,[],5.7122355,16.339407
86100,2,[],5.83921,16.512278
