Name,Cluster
TMSB,9
TCEB,9
TMBx,9
PFPBO,4
LiPVAOB,3
(C6H3F)O2B(C8H3F6),4
TBDB,9
TRIFM,10
LBBPB,1
TPhBX,4
ITD,9
LBO,9
SOFPB,4
(C3HF6O)2B(C6H5),6
DPD-CN-OCH3,4
(C6H3F)O2B(C6H3F2),4
TiPBx,9
THFBuBO,5
LBSB,1
C-LiMCFB,9
L-LiMCFB,9
Li2TB,9
TME,9
LiBFSB,2
NHCABT,9
(C3HF6O)2B(C6F5),6
HBC,7
TnPBx,9
LBNB,1
LBC,7
ADM,9
(C3HF6O)2B(C6H3F2),6
DPD,4
PRZ,10
DCLBSB,3
H3BO3,9
LiODFB,3
LiPAAOB,9
FBA,10
B-PEGMA,9
LiT4PAB,9
Li3BO3,8
LiFPB,9
BF3-THF,9
B2O3,9
TFPBO,9
TFEB,5
BF3·DE,9
BPC,7
LiSOB,1
(C6H3F)O2B(C7H4F3),4
LiBBrSB,2
LBDCB,3
(C6F12)O2B(C6F5),4
PFPTFBB,4
(C6F4)O2B(C6F5),4
TPFPB,10
LiBO2,8
TEB,8
DiOB-Py,4
(C6F4)O2B(C8H3F6),4
LDFOB,3
LiBMSB,2
B(HFIP)3,6
TPB,9
TMSPB,10
BEG-1,9
LBCB,3
Na[B(hfip)4],9
NaDFOB,3
LBDOB,1
MDMB,9
TAB,7
LiBOB,3
3F-PBF,10
TPF,10
LBBB,1
TFPB,10
LUTID,10
TMB,9
B-HEMA,7
(C6F12)O2B(C6H3F2),4
(C6F4)O2B(C7H3F6),4
DPD-CN,4
LiBPh4,10
3-MLBSB,3
PBF,10
NaTFPB,9
(C6F4)O2B(C6H4F),4
Li[BScB],1
THFB,9
TRIZIN,10
DPD-F,4
TTFEB,5
TCLBSB,3
BDB,9
K2B4O5(OH)4,8
B(OPh)3,10
DPD-CHO,4
TMF,9
PBA,10
LiMOB,3
LiBMAB,3
VPBF,10
DPD-COOCH2CH3,4
LOCB,3
DEBA,9
LiBSB,1
TTFB,5
4FLBDOB,3
LiBF4,3
PCN,10
LiDFOB,3
(C6F4)O2B(C6H3F2),4
TBB,9
LiBClSB,2
DiOB-An,4
TEBx,9
(C6F12)O2B(C6H5),4
ABA#1,6
BF₃·DE,9
LiB5AB,10
LiBCl2SB,2
THFPB,6
2F-PBF,10
THB,6
