id,name
0,TMSB
1,TCEB
2,TMBx
3,PFPBO
4,LiPVAOB
5,(C6H3F)O2B(C8H3F6)
6,TBDB
7,TRIFM
8,LBBPB
9,TPhBX
10,ITD
11,LBO
12,SOFPB
13,(C3HF6O)2B(C6H5)
14,DPD-CN-OCH3
15,(C6H3F)O2B(C6H3F2)
16,TiPBx
17,THFBuBO
18,LBSB
19,C-LiMCFB
20,L-LiMCFB
21,Li2TB
22,TME
23,LiBFSB
24,NHCABT
25,(C3HF6O)2B(C6F5)
26,HBC
27,TnPBx
28,LBNB
29,LBC
30,ADM
31,(C3HF6O)2B(C6H3F2)
32,DPD
33,PRZ
34,DCLBSB
35,H3BO3
36,LiODFB
37,LiPAAOB
38,FBA
39,B-PEGMA
40,LiT4PAB
41,Li3BO3
42,LiFPB
43,BF3-THF
44,B2O3
45,TFPBO
46,TFEB
47,BF3·DE
48,BPC
49,LiSOB
50,(C6H3F)O2B(C7H4F3)
51,LiBBrSB
52,LBDCB
53,(C6F12)O2B(C6F5)
54,PFPTFBB
55,(C6F4)O2B(C6F5)
56,TPFPB
57,LiBO2
58,TEB
59,DiOB-Py
60,(C6F4)O2B(C8H3F6)
61,LDFOB
62,LiBMSB
63,B(HFIP)3
64,TPB
65,TMSPB
66,BEG-1
67,LBCB
68,Na[B(hfip)4]
69,NaDFOB
70,LBDOB
71,MDMB
72,TAB
73,LiBOB
74,3F-PBF
75,TPF
76,LBBB
77,TFPB
78,LUTID
79,TMB
80,B-HEMA
81,(C6F12)O2B(C6H3F2)
82,(C6F4)O2B(C7H3F6)
83,DPD-CN
84,LiBPh4
85,3-MLBSB
86,PBF
87,NaTFPB
88,(C6F4)O2B(C6H4F)
89,Li[BScB]
90,THFB
91,TRIZIN
92,DPD-F
93,TTFEB
94,TCLBSB
95,BDB
96,K2B4O5(OH)4
97,B(OPh)3
98,DPD-CHO
99,TMF
100,PBA
101,LiMOB
102,LiBMAB
103,VPBF
104,DPD-COOCH2CH3
105,LOCB
106,DEBA
107,LiBSB
108,TTFB
109,4FLBDOB
110,LiBF4
111,PCN
112,LiDFOB
113,(C6F4)O2B(C6H3F2)
114,TBB
115,LiBClSB
116,DiOB-An
117,TEBx
118,(C6F12)O2B(C6H5)
119,ABA#1
120,BF₃·DE
121,LiB5AB
122,LiBCl2SB
123,THFPB
124,2F-PBF
125,THB
