idx,cell_type,CEI&SEI,additives,additives_abbr,temperatures,details,DOI,cathode,anode,electrolyte,title,abstract
1,ZIB,Unspecified,Boron-doped graphitic carbon nitride quantum dots (B-C3N4QDs),B-C3N4QDs,Not found,Unspecified,10.1016/j.est.2025.116418,V2O5,Zinc,ZnSO4 with B-C3N4QDs additive,Boron-doped g-C3N4 quantum dots with efficient electrocatalysis for accelerating desolvation to achieve high-performance aqueous zinc-ion batteries,"['The large desolvation energy barrier of [Zn(H2O)(6)](2+) in aqueous zinc ion batteries (AZIBs) results in the undesirable [Zn(H2O)(6)](2+) formation, which leads to the uncontrollable water-induced side reactions and the intricately dendrites growth, thereby severely hindering the practical applications of AZIBs. Herein, we proposed boron-doped graphitic carbon nitride quantum dots (B-C(3)N(4)QDs) as an electrolyte additive for AZIBs. Experimental and theoretical calculations revealed that the doped B atoms could modulate the electron structure of the C(3)N(4)QDs, thus B-C(3)N(4)QDs played an enhanced catalytic role in efficiently decreasing the [Zn(H2O)(6)](2+) desolvation energy barrier to accelerate its desolvation kinetics in AZIBs, which led to releasing more free Zn2+, thereby suppressing side reactions and achieving highly reversible zinc plating/stripping to avoid the formation of zinc dendrites. Benefiting from these merits of B-C(3)N(4)QDs, the corresponding asymmetric Zn||Cu cell realized a high average Coulombic efficiency of 99.29 %. More importantly, the Zn||V2O5 full cell with B-C(3)N(4)QDs still maintained a high specific capacity of similar to 149.88 mAh g(-1) at 5 A g(-1) after 500 charging/discharging cycles, which was much higher than the battery without B-C(3)N(4)QDs at the same current density. This innovative design conception would inject new vitality to innovation of the low-cost, dendrite-free, and high-performance AZIBs and beyond.']"
77,ZIB,Unspecified,"Tris(1,1,1,3,3,3-hexafluoroisopropyl)borate",ABA#1,Not found,Unspecified,10.1016/j.jpowsour.2006.10.037,(CF x)n,Lithium,"EC-DMC (1:2%, v) containing 0.8 M LiF and 1.2 M ABA#1 (Tris(1,1,1,3,3,3-hexafluoroisopropyl)borate)",A new chemical approach to improving discharge capacity of Li/(CFx)n cells,"['Although (CFx)(n) has the highest theoretical specific energy of all lithium primary batteries known, the practical specific energy (including packaging) is very small on the order of similar to 10% for small capacity cells (< 5 Ah) and between 20 and 30% for large capacity cells (> 100 Ah). Even these can be achieved only at a very low discharge rate < C/250 (250 h rate). If either the discharge rate is increased or the discharge temperature is reduced below 0 degrees C the % delivered energy goes down even further. At Sandia National Laboratories we are performing research to improving % delivered energy by: (1) incorporating engineering solution and (2) adopting a new chemical approach. The engineering solution effort will not be discussed here except to mention that light weight metal such as titanium (Ti) will be considered for hardware instead of stainless steel. The chemical approach involves adding an anion-binding-agent (ABA) to the electrolyte solution to dissolve the LiF generated in the discharge reaction. We studied three boron containing neutral ABAs and the most promising ABA {Tris(1,1,1,3,3,3-hexafluoroisopropyl)borate} will be discussed further. The delivered capacity/energy (per unit weight of the cathode) is higher for SNL-built coin cells containing the ABA additive than for the commercial coin cells by 80%. These cells were tested at a C/44 rate. This improvement especially at a high discharge rate is attributed to the ability of the ABA to dissolve the LiF from plugging the cathode pores and thus keep the bulk of the cathode accessible for further discharge reaction. We have also tested commercial cells and commercial electrodes in coin cells. In general, at high rate discharge, the performance of SNL cells containing our electrolyte and electrode were better than the rest. (c) 2006 Elsevier B.V. All rights reserved.']"
171,ZIB,Unspecified,"Lithium bis(oxalato)borate, triphenylboroxin","LiBOB, TPhBX",Not found,Unspecified,10.1016/j.ssi.2020.115499,BiF3,Not found,"0.25 M LiBOB, 0.25 M TPhBX, saturated CsF in tetraglyme (G4)",Fluoride shuttle batteries: On the performance of the BiF3 electrode in organic liquid electrolytes containing a mixture of lithium bis(oxalato) borate and triphenylboroxin,"['In a typical organic liquid electrolyte-based fluoride shuttle battery (FSB), a high concentration of a boron-based anion acceptor (AA) capable of binding specific anions is required to provide a sufficient amount of dissolved fluoride salt. In this study, and a mixture of lithium bis(oxalato)borate (LiBOB) and an AA, triphenylboroxin (TPhBX), was used as an organic liquid electrolyte. The tetraglyme (G4)-based electrolyte system (LiBOB0.25/TPhBX0.25/sat_CsF/G4) containing equal concentrations of LiBOB, TPhBX, and saturated cesium fluoride (CsF) was prepared. The potential effects of reducing the amount of the AA and using a mixture of LiBOB and TPhBX on the electrochemical compatibility of the BiF3 electrode were investigated through cyclic voltammetry, charge-discharge tests, and alternating current impedance measurements. The potential advantages of using the LiBOB/TPhBX mixture as an electrolyte additive include the fact that it increases ionic conductivity, widens the cathodic and anodic stability window, and enhances the electrochemical performance of the BiF3 positive electrode. Moreover, according to Raman microscopy, the direct insertion mechanism was found to be predominant for the FSB reaction mechanism of BiF3 microparticles in LiBOB0.25/TPhBX (0.25)/sat_CsF/G4. These improvements can be attributed to the increase in fluorine anion mobility, which occurs when the cesium cation mobility is reduced; this, in turn, is a result of the stabilization of the cesium cation due to the interaction between LiBOB and TPhBX. Therefore, mixing equal concentrations of LiBOB and TPhBX can be a promising alternative method to ensure electrolyte stability and prevent the potential loss of active materials during the redox reactions.']"
178,ZIB,Unspecified,tris(pentafluorophenyl) borane,TPFPB,Not found,Unspecified,10.1016/j.elecom.2012.12.003,Not found,Not found,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 as supporting salt and 0.5 wt% TPFPB,Electrochemical oxidation of solid Li2O2 in non-aqueous electrolyte using peroxide complexing additives for lithium-air batteries,"['Using the anion receptor tris(penftafluorophenyl) borane as an additive to non-aqueous electrolytes, the solubility of solid Li2O2 can be dramatically increased through the Lewis acid-base interaction between boron and peroxide. The complexed boron-peroxide ions can be electrochemically oxidized with much better kinetics than the oxidation of solid Li2O2 on a carbon powder microelectrode. This discovery could lead to a new avenue for the development of high capacity, high rate, rechargeable, Li-Air batteries. (c) 2012 Elsevier B.V. All rights reserved.']"
223,ZIB,SEI,Boron trifluoride diethyletherate,BF3·DE,100°C,"The additive contributes to the formation of a Ca2+ permeable SEI similar to the one obtained with BF4-, allowing calcium plating and stripping, although the exact composition is not fully understood and will be investigated in a forthcoming study.",10.1016/j.elecom.2021.106936,Not found,Calcium metal,0.4 mol·L⁻¹ Ca(TFSI)₂ in EC:PC (50/50 wt%) with 2 wt% BF3·DE,A boron-based electrolyte additive for calcium electrodeposition,"['In recent years, several organic electrolytes have been reported allowing calcium metal electrodeposition. In all cases, some degree of passivation on the surface of the calcium electrode was reported. Following a recent report on based passivation layer playing a crucial role for Ca plating in electrolyte solutions containing Ca(BF4)(2), here we report the use of a boron-containing additive. The presence of this additive allows Ca plating and stripping using a Ca(TFSI)(2) containing electrolyte, which otherwise lead to the formation of a fully Ca2+ blocking passivation layer.']"
301,ZIB,CEI,Tris(trimethylsiloxy)boron,TMSB,Not found,"The TMSB additive facilitates the formation of a stable and dense CEI layer enriched with highly ion-conductive inorganic components, such as LixPOyFz, by weakening the interaction between PF6- anions and EMC solvent, suppressing EMC decomposition, and reducing interface impedance.",10.1021/acs.nanolett.5c00896,Graphite,Not found,2M LiPF6 in EMC,Constructing a 5.2 V High-Voltage Electrolyte via TMSB Additive Enables Ultrahigh Rate Performance Graphite-Based Dual-Ion Batteries,"['The development of carbon-based dual-ion batteries (DIBs) is essentially limited by the oxidation decomposition of the electrolyte at high voltage and the unsatisfactory stability of the cathode-electrolyte interface (CEI). Herein, to address these notorious issues, we successfully achieved a high-performance DIB by introducing the Tris(trimethylsiloxy)boron (TMSB) additive. It effectively regulated the solvation structure of the original 2 M LiPF6-solved EMC electrolyte. As a result, it not only weakens the coordination between the PF6 - anion and EMC solvent but also suppresses EMC decomposition at the cathode interface. Such regulation facilitates the formation of a stable CEI layer enriched with highly ion-conductive inorganic components. Benefitting from the optimized interfacial kinetics, the graphite cathode delivers exceptional stability and rate capability, achieving 87.86% capacity retention after 2000 cycles at 5.2 V and 84.21% capacity retention at 50 C.']"
429,ZIB,Unspecified,Boric acid (B(OH)3) for boron cross-linking,B(OH)3,Not found,Unspecified,10.1016/j.electacta.2014.03.151,Activated carbon,Activated carbon,GO-B-PVA/KOH gel electrolyte saturated with 6 M KOH solution,Boron cross-linked graphene oxide/polyvinyl alcohol nanocomposite gel electrolyte for flexible solid-state electric double layer capacitor with high performance,"['A new family of boron cross-linked graphene oxide/polyvinyl alcohol (GO-B-PVA) nanocomposite gels is prepared by freeze-thaw/boron cross-linking method. Then the gel electrolytes saturated with KOH solution are assembled into electric double layer capacitors (EDLCs). Structure, thermal and mechanical properties of GO-B-PVA are explored. The electrochemical properties of EDLCs using GO-B-PVA/KOH are investigated, and compared with those using GO-PVA/KOH gel or KOH solution electrolyte. FTIR shows that boron cross-links are introduced into GO-PVA, while the boronic structure inserted into agglomerated GO sheets is demonstrated by DMA analysis. The synergy effect of the GO and the boron crosslinking benefits for ionic conductivity due to unblocking ion channels, and for improvement of thermal stability and mechanical properties of the electrolytes. Higher specific capacitance and better cycle stability of EDLCs are obtained by using the GO-B-PVA/KOH electrolyte, especially the one at higher GO content. The nanocomposite gel electrolytes with excellent electrochemical properties and solid-like character are candidates for the industrial application in high-performance flexible solid-state EDLCs. (C) 2014 Elsevier Ltd. All rights reserved.']"
431,ZIB,Unspecified,"4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine and N,N-diethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)aniline","DiOB-Py, DiOB-An",Not found,Unspecified,10.1016/j.jfluchem.2020.109672,BiF3,Not found,Tetraglyme (G4) containing saturated CsF with 0.5 M DiOB-Py or DiOB-An,Borolan-2-yl involving anion acceptors for organic liquid electrolyte-based fluoride shuttle batteries,"['Boron-based anion acceptors (AAs) have been used to dissociate MF salt (CsF) in organic liquid electrolyte-based fluoride shuttle batteries (FSBs). Here, two boron-based compounds, 4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine (DiOB-Py) and N,N-diethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yeaniline) (DiOB-An), were examined as electrolyte additives for G4 containing CsF. DiOB-Py and DiOB-An are structurally similar except that the former is functionalized with pyridine whereas the latter with aniline. Since pyridine in DiOB-Py withdraws an electron pair on the phenyl ring via the resonance effect, the Lewis acidity of borate increases. On the other hand, since lone pair electrons of aniline are donated to the phenyl ring through the resonance effect, the acidity of borate in DiOB-An decreases. AAs are known to have a moderately strong fluoride affinity to provide sufficient dissolution of CsF in the electrolyte solvent. Thus, the effects of the acidity strength of the borates on the electrochemical compatibility of BiF3 were investigated. DiOB-Py imparted relatively high fluoride ion conductivity and CsF solubility, thereby allowing enhanced FSB performance.']"
469,ZIB,Unspecified,Boron (B) doping in LTPO,B doping,55°C,Unspecified,10.1016/j.mtener.2025.101830,LiFePO4 (LFP),Li metal,B-doped LTPO-based hybrid solid electrolyte with PVDF-HFP and LiTFSI,Mitigating bottleneck effects of LiTa2PO8-based hybrid solid electrolyte through boron doping for enhanced electrochemical performance in all-solid-state lithium batteries,"['Hybrid solid electrolytes (HSEs) for all-solid-state lithium batteries (ASSLBs) address the limitations of inorganic solid electrolytes and solid polymer electrolytes, providing high electrochemical performance. In this study, we developed a lithium tantalum phosphate (LiTa2PO8, LTPO)-based HSE fabricated as a polymer-in-ceramic (PIC) electrolyte with higher LTPO content compared to poly(vinylidene fluoride-co-hexafluoropropylene) (PVDFHFP). To mitigate the bottleneck effects caused by P5+ in LTPO and high interfacial resistance of the PIC electrolyte, boron was doped at the P sites of LTPO. Consequently, the ionic conductivity of the B 0.100 mol-doped LTPO-based HSE improved to three times (4.0 x 10-4 S cm-1) at 25 degrees C. The Li+ transference number and exchange current density increased to 0.66 and 2.24 mA cm-2, respectively, at 55 degrees C. The ASSLB containing LiFePO4 (LFP) cathode, B0.100-LTPO HSE and Li metal anode demonstrated a high initial specific capacity of 169.7 mAh g-1 at 55 degrees C and 0.2 C. After 100 charge/discharge cycles, the ASSLB exhibited a 96 % capacity retention and a Coulumbic efficiency of over 90 % without short-circuiting due to lithium dendrites.']"
524,ZIB,SEI,tri(pentafluorophenyl)borane,TPFPB,Not found,"TPFPB promotes the formation of a stable SEI film on the surface of MPF, enriched with LiF microcrystals, which stabilizes the SEI, creates fast ion transport channels, reduces interface impedance, and enhances the diffusion rate of Li+ within the electrode.",10.1016/j.apsusc.2024.161636,Mesophase Pitch Fluoride (MPF),Lithium,1 mol L-1 LiPF6 in EC:DMC (1:1) with TPFPB additive,Improving the rate performance of mesophase pitch fluoride by boron anion receptor for lithium/fluorinated carbon primary batteries,"['Mesophase pitch fluoride (MPF) has emerged as a promising cathode material for lithium/fluorinated carbon primary batteries (Li/CFx) owing to its economic viability and high capacity. However, the rate performance of MPF cathodes is severely compromised by irregular LiF discharge products, which impede lithium-ion diffusion at the electrode interface and within the bulk MPF, significantly limiting the utilization of Li/CFx in high-power devices. Herein, we innovatively employ a boron-based anion receptor electrolyte additive, tri(pentafluorophenyl)borane (TPFPB), to improve the performance of MPF cathode at high-rate discharge conditions. The TPFPB initiates the reconstruction of the MPF electrode, transforming irregular discharge products into uniform boron-doped nano-spherical particles. The unique electrode architecture improves the diffusion rate of Li+ in the cathode, accelerating electrolyte infiltration at the MPF interface and boosting the electrochemical transport kinetics of Li+ ions within the MPF. As expected, the TPFPB additive enables the capacity of the Li/MPF battery to increase from 74 to 340 mA h g- 1 at 5 A g- 1. This work presents an efficient route to improved performance of MPF based-Li/CFx batteries.']"
