idx,additives,electrolytes,cathodes,anodes,types
1,B-C3N4QDs,ZnSO4 with B-C3N4QDs additive,V2O5,Zinc,ZIB
77,ABA#1,"EC-DMC (1:2%, v) containing 0.8 M LiF and 1.2 M ABA#1 (Tris(1,1,1,3,3,3-hexafluoroisopropyl)borate)",(CF x)n,Lithium,ZIB
171,LiBOB,"0.25 M LiBOB, 0.25 M TPhBX, saturated CsF in tetraglyme (G4)",BiF3,Not found,ZIB
43,LiBOB,Lithium bis(trifluoromethanesulfonyl)imide/lithium bis(oxalato)borate (LiTFSI:LiBOB = 0.95:0.05 by mol) in FEC/HFE/PFEMC (1:1:4 by weight),NCM622,Lithium metal,LMB
442,LiBOB,"1.0 M LiN(SO2CF3)2 (LiTFSI)/1,3-dioxolane (DOL) + dimethyl ether (DME) (1:1 by volume ratio) with 2 wt% LiNO3",Sulfur encapsulated in boron-doped graphene,Lithium metal,LMB
29,LiBOB,1M LiPF6 in EC:DMC (1:1 by wt.),LiMn2O4,Graphite,LIB
89,LiBOB,1.0 M LiBOB in DME/FEC/HFE (3/5/2 by volume),"LiCoO2, NCM811",Lithium metal,LIB
125,LiBOB,1 mol/L LiFSI in EC/DEC/EMC (1:1:1 volume ratio) or 0.6 mol/L LiFSI and 0.4 mol/L LiBOB in EC/DEC/EMC (1:1:1 volume ratio),LiFePO4,Graphite,LIB
143,LiBOB,1M LiPF6 in EC:DEC (1:1 by volume) with 1.5 wt% LiBOB additive,LiNi0.94Co0.06O2,Graphite,LIB
157,LiBOB,"0.6 M TPFPB and 0.6 M LiF in PC/DMC (1:1 in volume), 0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 in volume), 0.4 M TPFPB and 0.2 M Li2O2 in PC/DMC (1:1 in volume) with or without 0.05 M LiBOB",Not found,Graphitized mesophase carbon microbeads (MCMB),LIB
258,LiBOB,Not found,Not found,Graphite,LIB
275,LiBOB,Polysiloxane-based membranes with LiDFOB or LiBOB at 0.61 mmol/g polymer,Not found,Not found,LIB
289,LiBOB,"Ether-based solid polymer electrolyte (SPE) with LiTFSI and LiBF4, and additives like LiBOB and PVC-derived modification",LiNi1/3Mn1/3Co1/3O2 (NMC),Graphite,LIB
295,LiBOB,"Poly[bis(2-(2-methoxyethoxy)ethoxy)-co-oxytrifluoroborate lithium phosphazene] with additives like LiBOB, LiTFSI, or LiFSI, and in gel form with EC/DMC",Not found,Lithium metal,LIB
341,LiBOB,1M LiPF6 in EC/EMC (3:7 by wt.) with 2 percent FEC,Not found,Graphite,LIB
351,LiBOB,1.0 M LiPF6 in ethylene carbonate (EC) and ethyl methyl carbonate (EMC) (4:6 in weight) with 0.1 M lithium bis(oxalato)borate (LiBOB),Li1.2Mn0.54Co0.13Ni0.13O2,Lithium metal,LIB
370,LiBOB,0.7 M LiBOB in EC/DEC (1:1 by volume),Not found,Graphite (MCMB),LIB
387,LiBOB,"1 mol L�? LiPF6 in EC/DEC/EMC (1:1:1, by volume)",LiNi1/3Co1/3Mn1/3O2,Lithium metal,LIB
398,LiBOB,Saturated solution (~0.6 mol kg⁻�? of LiBOB in EC-PC-DMC (1:1:3 by wt.),Not found,"Graphite, Carbon black, Li4Ti5O12",LIB
