idx,DOI,title,appropriate,reason,format,battery_system,cathode_material,anode_material,electrolyte_confirmed,additive_full_name,additive_abbr_name,boron_additive_full_name,boron_additive_abbr_name,abstract,year
1,10.1016/j.est.2025.116418,Boron-doped g-C3N4 quantum dots with efficient electrocatalysis for accelerating desolvation to achieve high-performance aqueous zinc-ion batteries,Yes,Reasonable,Coin,Aqueous zinc-ion batteries (AZIBs),V2O5,Zinc,ZnSO4 with B-C3N4QDs additive,Boron-doped graphitic carbon nitride quantum dots (B-C3N4QDs),B-C3N4QDs,Boron-doped graphitic carbon nitride quantum dots (B-C3N4QDs),B-C3N4QDs,"['The large desolvation energy barrier of [Zn(H2O)(6)](2+) in aqueous zinc ion batteries (AZIBs) results in the undesirable [Zn(H2O)(6)](2+) formation, which leads to the uncontrollable water-induced side reactions and the intricately dendrites growth, thereby severely hindering the practical applications of AZIBs. Herein, we proposed boron-doped graphitic carbon nitride quantum dots (B-C(3)N(4)QDs) as an electrolyte additive for AZIBs. Experimental and theoretical calculations revealed that the doped B atoms could modulate the electron structure of the C(3)N(4)QDs, thus B-C(3)N(4)QDs played an enhanced catalytic role in efficiently decreasing the [Zn(H2O)(6)](2+) desolvation energy barrier to accelerate its desolvation kinetics in AZIBs, which led to releasing more free Zn2+, thereby suppressing side reactions and achieving highly reversible zinc plating/stripping to avoid the formation of zinc dendrites. Benefiting from these merits of B-C(3)N(4)QDs, the corresponding asymmetric Zn||Cu cell realized a high average Coulombic efficiency of 99.29 %. More importantly, the Zn||V2O5 full cell with B-C(3)N(4)QDs still maintained a high specific capacity of similar to 149.88 mAh g(-1) at 5 A g(-1) after 500 charging/discharging cycles, which was much higher than the battery without B-C(3)N(4)QDs at the same current density. This innovative design conception would inject new vitality to innovation of the low-cost, dendrite-free, and high-performance AZIBs and beyond.']",0
2,10.1016/j.ssi.2019.02.022,"Thermal, structural and electrical study of boron-incorporated LATP glasses and glass-ceramics",No,"Boron oxide (B2O3) is not a reasonable additive for battery electrolytes as it is insoluble in common organic solvents used in electrolytes, can hydrolyze to form boric acid leading to instability, and does not contribute to beneficial properties like SEI formation or conductivity enhancement typical of standard additives such as LiBOB or FEC.",Not found,All-solid-state battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Glasses of three compositions were prepared in the Li2O-Al2O3-B2O3-TiO2-P2O5 system. Next, they were heat treated at 900 degrees C for 2 h to yield fast Li+ ion conducting glass-ceramics of NASICON-like structure. Effects of boron additive on structural, thermal and electrical properties of glasses and glass-ceramics are herein investigated and discussed. Thermal analysis revealed that glass transition and crystallization temperatures shift towards lower values with increasing boron content. Moreover, the system under study exhibits improved glass forming ability. X-ray diffraction studies show that B-incorporated glass-ceramics are mainly composed of rhombohedral R (3) over barc phase with unit cell parameters a and c decreasing with boron substitution. Raman peaks at 791 cm(-1) and 1206 cm(-1) in glasses with B2O3 addition confirm the presence of BO4 and BO3 units in the glass structure. Overall ion transport properties (total conductivity and activation energy) were characterized by means of impedance spectroscopy. For optimized composition, the highest total conductivity of 6.10(-5)S/cm for B-incorporated glass-ceramics was recorded. Moreover, separation of the bulk and grain boundary electrical responses was performed on the basis of equivalent circuit modelling of impedance data.']",2019
3,10.1021/acsenergylett.5c01343,High Li+ Transference Number Electrolyte Enabled by Fluoride Acceptor for Low-Temperature Li-Ion Batteries,Yes,Reasonable,Not found,Li-ion battery,Not found,Graphite,"Methyl acetate (MA) with 0.1 M TPFPB + 0.3 M LiF, 10% FEC, and 0.05 M LiDFOB additive",Lithium Difluoro(oxalato)borate and Fluoroethylene carbonate,"LiDFOB, FEC",Lithium Difluoro(oxalato)borate,LiDFOB,"['To enable wide-temperature operation of lithium-ion batteries (LIBs), new electrolyte formulations have been developed to enhance the performance, particularly at low temperatures. A key challenge lies in achieving both high ionic conductivity and a high lithium-ion transference number due to their inherent trade-off. In this study, we designed an electrolyte system comprising tris(pentafluorophenyl)borane (TPFPB), a fluoride acceptor, and LiF salt in ethylene carbonate (EC)-free solvents. TPFPB, with its electron-deficient boron center, facilitates fluoride transfer reactions that promote the dissociation of otherwise insoluble LiF. When methyl acetate (MA) was used as the solvent, the electrolyte exhibited a high transference number (t Li+ = 0.85) and ionic conductivity (sigma = 5.0 x 10-3 S cm-1). The optimized electrolyte demonstrated excellent performance at -20 degrees C, with no evidence of lithium plating. This work presents a new strategy for electrolyte design by leveraging cation desolvation to achieve high-performance LIBs for low-temperature and high-power applications.']",2025
4,10.1149/2.0191701jes,A Guide to Ethylene Carbonate-Free Electrolyte Making for Li-Ion Cells,Yes,Reasonable,Pouch,Li-ion battery,NMC442 (Li[Ni0.42Mn0.42Co0.16]O2),Graphite,"1M LiPF6 in EMC with enabler additives (e.g., VC, MEC, FEC, DiFEC) in varying concentrations","Vinylene carbonate, Methylene-ethylene carbonate, Fluoroethylene carbonate, Difluoroethylene carbonate","VC, MEC, FEC, DiFEC",Not found,Not found,"['Li[Ni0.42Mn0.42Co0.16]O-2 (NMC442)/graphite pouch cells demonstrate superb performance at high voltage when ethylene carbonate (EC)-free electrolytes, using a solvent mixture that is >95% ethyl methyl carbonate (EMC) and between 2 and 5% of an enabler, are used. The enablers, required to passivate graphite during formation, can be vinylene carbonate (VC), methylene-ethylene carbonate (MEC), fluoroethylene carbonate (FEC) or difluoro ethylene carbonate (DiFEC), among others. In order to optimize the amount of enabler added to EMC, gas chromatography coupled with mass spectrometry (GC-MS) was used to track the consumption of enabler during the formation step. Storage tests, electrochemical impedance spectroscopy (EIS), ultrahigh precision coulometry (UHPC), long-term cycling, differential voltage analysis and isothermal microcalorimetry were used to determine the optimum amount of enabler to add to the cells. It was found that the graphite negative electrode cannot be fully passivated when the amount of enabler is too low resulting in gas production and capacity fade. Using excess enabler can cause large impedance and gas production in most cases. The choice of enabler also impacts cell performance. A solvent blend of 5% FEC with 95% EMC (by weight) provides the best combination of properties in NMC442/graphite cells operated to 4.4 V. It is our opinion that the experiments and their interpretation presented here represent a primer for the design of EC-free electrolytes. (C) The Author(s) 2016. Published by ECS. This is an open access article distributed under the terms of the Creative Commons Attribution 4.0 License (CC BY, http://creativecommons.org/licenses/by/4.0/), which permits unrestricted reuse of the work in any medium, provided the original work is properly cited. All rights reserved.']",2017
5,10.1002/adfm.202508225,Edge-Delocalized Electron Effect on Self-Expediating Desolvation Kinetics for Low-Temperature Li―S Batteries,Not found,Not found,Coin,Li-S battery,Sulfur,Lithium metal,Not found,Not found,Not found,Not found,Not found,"['Lithium-sulfur (Li & horbar;S) batteries suffer from significant capacity degradation, which is limited by high barriers from interfacial desolvation, Li+ transportation to sulfur redox conversions, exhibiting the depressive kinetics. Herein, the electron effect in the edge of catalysts is modulated and the corresponding strategy of self-transform Schottky heterojunction on MXene is proposed to achieve the edge delocalized electronic density. As a protocol, the electron-delocalized Schottky heterojunction of boron-doped MXene/TiO2 (SH-MTB) is fabricated as electrochemical kinetic accelerators to realize fast Li+ desolvation to promote rapid sulfur conversion kinetics under low-temperature. Specifically, the Schottky heterojunction with edge effect expedites the dissociation kinetics of [Li(solvents)x]+ to generate free Li ions, as well-confirmed by theoretical calculations and ex-situ/in situ electrochemical characterizations. Encouragingly, higher practical areal capacity (5.0 mAh cm-2) and negligible self-discharge behaviors are achieved under low-temperature environments. A large areal pouch cell with 200 mgs exhibits 9.3 mAh cm-2 under a lean electrolyte amount (5 mu L mg-1), much better than state-of-art reports. As further indicated by electronic microscopies, spectroscopical measurements and X-ray tests, the SH-MTB stabilizes the chemical structure during charge/discharge process, showing promising potential of Schottky heterostructure toward accelerating the cascade carrier kinetics in Li metal battery under low-temperature.']",2025
6,10.1016/j.jpowsour.2015.08.084,"A systematic study of some promising electrolyte additives in Li[Ni1/3Mn1/3Co1/3]O2/graphite, Li[Ni0.5Mn0.3Co0.2]/graphite and Li[Ni0.6Mn0.2Co0.2]/graphite pouch cells",Yes,Reasonable,Pouch,Li-ion battery,"NMC111, NMC532, NMC622",Graphite,1.0 M LiPF6 in ethylene carbonate (EC):ethyl methyl carbonate (EMC) (3:7 by weight),"Vinylene carbonate (VC), Prop-1-ene-1,3-sultone (PES), Pyridine-boron trifluoride (PBF), Methylene methanedisulfonate (MMDS), Tris(trimethylsilyl) phosphite (TTSPi), Pyrazine di-boron trifluoride (PRZ)","VC, PES, PBF, MMDS, TTSPi, PRZ","Pyridine-boron trifluoride, Pyrazine di-boron trifluoride","PBF, PRZ","['Li[Ni1/3Mn1/3Co1/3]O-2/graphite, Li[Ni0.5Mn0.3Co0.2]O-2/graphite and Li[Ni0.6Mn0.2Co0.2O2]/graphite pouch cells were examined with and without electrolyte additives using the ultra high precision charger at Dalhousie University, electrochemical impedance spectroscopy, gas evolution measurements and cycle-store tests. The electrolyte additives tested were vinylene carbonate (VC), prop-1-ene-1,3-sultone (PES), pyridine-boron trifluoride (PBF), 2% PES + 1% methylene methanedisulfonate (MMDS) + 1% tris(-trimethylsilyl) phosphite (TTSPi) and 0.5% pyrazine di-boron trifluoride (PRZ) + 1% MMDS. The charge end-point capacity slippage, capacity fade, coulombic efficiency, impedance change during cycling, gas evolution and voltage drop during cycle-store testing were compared to gain an understanding of the effects of these promising electrolyte additives or additive combinations on the different types of pouch cells. It is hoped that this report can be used as a guide or reference for the wise choice of electrolyte additives in Li[Ni1/3Mn1/3CO1/3]O-2/graphite, Li[Ni0.5Mn0.3Co0.2]O-2/graphite and Li[Ni0.6Mn0.2Co0.2O2]/graphite pouch cells and also to show the shortcomings of particular positive electrode compositions. (C) 2015 Elsevier B.V. All rights reserved.']",2015
7,10.1021/acs.jpcc.0c09616,Modified Graphene Sheets as Promising Cathode Catalysts for Li-O2 Batteries: A First-Principles Study,No,Additive not found in the provided information.,Not found,Li-O2 battery,Graphene-based (B- and N-doped Stone-Wales defect graphene),Lithium metal,Dimethyl sulfoxide (DMSO),Not found,Not found,Not found,Not found,"['The Li-O-2 battery is a promising energy storage device; however, it is seriously hindered by the sluggish chemical reaction of cathode catalysts. Here, we study a cathode catalyst based on B- and N-doped and BN codoping on Stone-Wales defect graphene (SWG) by first-principles calculations. Interestingly, BN codoped structure not only increases the stability of the system but also exhibits extremely low discharge and charge overpotentials. The corresponding value of overpotential for the oxygen reduction reaction is 0.23 V, and the for oxygen evolution reaction, it is 0.29 V, indicating that the BN codoped structure is an excellent cathode catalyst for Li-O-2 batteries. Further analysis proves that the overpotential is strongly determined by the adsorption behavior of the intermediates in the rate-determining steps (RDS). These findings elucidate the quantitative correlations between intermediate adsorption and catalytic behavior, which provides a promising approach in designing of Li-O-2 battery cathode catalysts with highly activity. In addition, taking BN-SWG as a test case, we find that BN-SWG does not promote the formation of side product Li2CO3. On the other hand, it will not lead to the decomposition of the dimethyl sulfoxide electrolytes, indicating that BN-SWG can improve the reversible cycle life without producing Li2CO3-like species in Li-O-2 batteries.']",2021
8,10.1016/j.jssc.2013.12.006,Ionic conductivity and the formation of cubic CaH2 in the LiBH4-Ca(BH4)2 composite,No,"Additive is not found, so it cannot be evaluated for appropriateness.",Pellet,Li-ion battery,Not found,Lithium foil,LiBH4-Ca(BH4)2 composite,Not found,Not found,Not found,Not found,"['LiBH4-Ca(BH4)(2) composites were prepared by ball milling. Their crystal structures and phase composition were investigated using synchrotron X-ray diffraction and Rietveld refinement, and their ionic conductivity was measured using impedance spectroscopy. The materials were found to form a physical mixture. The composites were composed of alpha-Ca(BH4)(2), gamma-Ca(BH4)2 and orthorhombic LiBH4, and the relative phase quantities of the Ca(BH4)(2) Polymorphs varied significantly with LiBH4 content. The formation of small amounts of orthorhombic CaH2 and cubic CaH2 in a CaF2-like structure was observed upon heat treatment. Concurrent formation of elemental boron may also occur. The ionic conductivity of the composites was measured using impedance spectroscopy, and was found to be lower than that of ball milled LiBH4. Electronic band structure calculations indicate that cubic CaH2 with hydrogen defects is electronically conducting. Its formation along with the possible precipitation of boron therefore has an effect on the measured conductivity of the LiBH4-Ca(BH4)(2) composites and may increase the risk of an internal short-circuit in the cells. (C) 2013 Elsevier Inc. All rights reserved.']",2013
9,10.1021/acs.jpcc.1c01437,Guide to Water Free Lithium Bis(oxalate) Borate (LiBOB),Not found,Not found,Not found,Li-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Lithium bis(oxalate) borate, LiB(C2O4)(2) (LiBOB), is one of the most important electrolyte additives for Li-ion batteries (LIBs) due to its numerous advantages such as thermal stability, good solubility in organic solvents, high conductivity, and low cost as well as providing safer operations with superior electrochemical performance compared to conventional electrolyte combinations. However, the use of LiBOB is limited due to slight instability issues under ambient conditions that might require extra purification steps and result in poorer performances in real systems. Here, we address some of these issues and report a high purity water free LiBOB synthesized with fewer processing steps, employing lithium carbonate, oxalic acid, and boric acid as low-cost starting materials, and via ceramic processing methods under protective atmosphere. The physical and chemical characterizations of both anhydrous and monohydrate phases are performed with X-ray powder diffraction (XRPD), Fourier-transform infrared spectroscopy (FTIR), Raman spectroscopy, and scanning electron microscopy (SEM) analyses to determine the degree of the purity and the formation of impurities, such as LiBOB center dot H2O, HBO2, and Li2C2O4, as a result of the aging investigations where the as-synthesized salt was exposed to ambient conditions for different durations. Differential thermal analysis (DTA) is applied to determine the optimum synthesis conditions for anhydrous LiBOB and to analyze the water loss and the decomposition of LiBOB center dot H2O. Aging experiments with the water free LiBOB are carried out to evaluate the effect of humidity on the phase changes and resulting impurities under various conditions. The detrimental effect of even slightest humidity conditions is shown, and protective measures during and after the synthesis of LiBOB are discussed. Anhydrous LiBOB could be widely used as an electrolyte additive to improve the overall electrochemical performances for LIBs through development of a protective solid electrolyte interface (SEI) on the surface of high voltage cathodes and by bringing about superior electrochemical properties with increased cycling stability, rate capability, and Coulombic efficiency, if synthesized, purified, and handled properly before use in real electrochemical systems.']",2021
10,10.1039/c9ra07781b,Low-temperature all-solid-state lithium-ion batteries based on a di-cross-linked starch solid electrolyte,No,"The additive is not found, making it impossible to determine appropriateness for the battery's electrolyte requirements.",Coin,Li-ion battery,LiFePO4 (LFP) and LiNi0.8Co0.1Mn0.1O2 (NCM811),Lithium metal,Not found,Not found,Not found,Not found,Not found,"['The preparation of a low-temperature solid electrolyte is a challenge for the commercialization of the all-solid-state lithium-ion battery (ASSLIB). Here we report a starch-based solid electrolyte that displays phenomenal electrochemical properties below room temperature (RT). The starch host of the electrolyte is synthesized by two cross-linking reactions, which provide sufficient and orderly binding sites for the lithium salt to dissolve. At 25 degrees C, the solid electrolyte has exceptional ionic conductivity (sigma, 3.10 x 10(-4) S cm(-1)), lithium-ion transfer number (t(+), 0.82) and decomposition potential (dP, 4.91 V). At -20 degrees C, it still has outstanding sigma (3.10 x 10(-5) S cm(-1)), t(+) (0.72) and dP (5.50 V). The LiFePO4 ASSLIB assembled with the electrolyte exhibits unique specific capacity and long cycling life below RT, and the LiNi0.8Co0.1Mn0.1O2 ASSLIB can operate at 4.3 V and 0 degrees C. This work provides a solution to solve the current challenges of ASSLIBs to widen their scope of applications.']",2019
