relevant,format,cathode_material,anode_material,electrolyte,additive,year,title,DOI
Yes,Not found,Not found,Not found,Not found,B2O3,2019,"Thermal, structural and electrical study of boron-incorporated LATP glasses and glass-ceramics",10.1016/j.ssi.2019.02.022
Yes,Pouch,NMC442,Graphite,"1M LiPF6 in EMC with enablers such as VC, MEC, FEC, or DiFEC","FEC, VC, MEC, DiFEC",2017,A Guide to Ethylene Carbonate-Free Electrolyte Making for Li-Ion Cells,10.1149/2.0191701jes
Yes,Pouch,"NMC111, NMC532, NMC622",Graphite,1.0 M LiPF6 in ethylene carbonate (EC):ethyl methyl carbonate (EMC) (3:7 by weight),"VC, PES, PBF, PES211 (2% PES +1% MMDS +1% TTSPi), 0.5% PRZ +1% MMDS",2015,"A systematic study of some promising electrolyte additives in Li[Ni1/3Mn1/3Co1/3]O2/graphite, Li[Ni0.5Mn0.3Co0.2]/graphite and Li[Ni0.6Mn0.2Co0.2]/graphite pouch cells",10.1016/j.jpowsour.2015.08.084
Yes,Not found,Graphene-based (BN-codoped Stone-Wales defect graphene),Lithium metal,Dimethyl sulfoxide (DMSO),Not found,2021,Modified Graphene Sheets as Promising Cathode Catalysts for Li-O2 Batteries: A First-Principles Study,10.1021/acs.jpcc.0c09616
Yes,Pellet,Not found,Lithium,LiBH4-Ca(BH4)2 composite,Not found,2013,Ionic conductivity and the formation of cubic CaH2 in the LiBH4-Ca(BH4)2 composite,10.1016/j.jssc.2013.12.006
Yes,Not found,Sintered nickel,Cobalt-boron amorphous alloy,30% KOH solution,Not found,2009,Cobalt-boron amorphous alloy prepared in water/cetyl-trimethyl-ammonium bromide/n-hexanol microemulsion as anode for alkaline secondary batteries,10.1016/j.electacta.2009.11.082
Yes,Not found,Not found,Not found,Not found,LiBOB,2021,Guide to Water Free Lithium Bis(oxalate) Borate (LiBOB),10.1021/acs.jpcc.1c01437
Yes,Coin,"LiFePO4, NCM811",Lithium metal,"BStSi solid electrolyte with LiTFSI (e.g., 50 wt% LiTFSI)",Not found,2019,Low-temperature all-solid-state lithium-ion batteries based on a di-cross-linked starch solid electrolyte,10.1039/c9ra07781b
Yes,Not found,Graphite,Sodium metal or sodium-free anode (not specified in detail),"3 mol L-1 NaPF6 in ethylene carbonate (EC): ethyl methyl carbonate (EMC) = 1:1 with 10% fluoroethylene carbonate (FEC), abbreviated as 3MF",FEC (fluoroethylene carbonate),2021,Electrolyte Chemistry Towards Improved Cycling Stability in Na-Based Dual-Ion Batteries with High-Power/Energy Storage,10.1002/batt.202100124
Yes,Coin,LiNi0.94Co0.06O2,Graphite,1.0 M LiPF6 in ethylene carbonate (EC)/ethylmethyl carbonate (EMC) (3:7 by weight) with 2 wt.% vinylene carbonate (VC) additive,B2O3,2019,Insights into Boron-Based Polyanion-Tuned High-Nickel Cathodes for High-Energy-Density Lithium-Ion Batteries,10.1021/acs.chemmater.9b02916
Yes,Swagelok-type,Boron-doped reduction graphite oxide (B-rGO),Lithium metal,1M lithium bis(trifluoromethanesulfonyl)imide (LiTFSI) in tetraethylene glycol dimethyl ether (TEGDME),Not found,2016,Facile Synthesis of Boron-Doped rGO as Cathode Material for High Energy Li-O2 Batteries,10.1021/acsami.6b05403
Yes,Coin,Na3(VOPO4)2F,Sodium metal,Na4(CB11H12)2(B12H12),Not found,2020,4 V room-temperature all-solid-state sodium battery enabled by a passivating cathode/hydroborate solid electrolyte interface,10.1039/d0ee01569e
Not found,Not found,Not found,Not found,Not found,Not found,2016,One-pot synthesis of boron-doped ordered mesoporous carbons as efficient electrocatalysts for the oxygen reduction reaction,10.1039/c6ra01296e
Yes,Coin,V2O5,Lithium,"Propylene carbonate (PC) and ethylene carbonate (EC)-based binary solvent electrolytes with various lithium organoborates such as LBBB, LBNB, and LBBPB, and solvents like THF and DME","LiDFOB not found; additives are LBBB, LBNB, LBBPB",1999,Chelate complexes with boron as lithium salts for lithium battery electrolytes,10.1016/S0378-7753(99)00049-X
Yes,Not found,Not found,Not found,"NASICON-based glass electrolytes (e.g., Na2.8Ca0.1Al2P3O12, Na2.8Ca0.1Al2B0.5P2.7O12, Na2.8Ca0.1Al2Ga0.5P2.7O12)",Not found,2018,Structural elucidation of NASICON (Na3Al2P3O12) based glass electrolyte materials: effective influence of boron and gallium,10.1039/c8ra01676c
Yes,Pouch,NMC442,Graphite,1M LiPF6 in EC:EMC (3:7 by weight) + 2% PES + 2% DTD + 2% TTSPi or 1M LiPF6 in TFEC and FEC (1:1 by weight) + 1% PES,"PES, DTD, TTSPi, or PES in TFEC/FEC",2017,"Studies of Gas Generation, Gas Consumption and Impedance Growth in Li-Ion Cells with Carbonate or Fluorinated Electrolytes Using the Pouch Bag Method",10.1149/2.1091702jes
Yes,Coin,Li1.2Ni0.2Mn0.6O2,Graphite,1M LiPF6 in EC/EMC (v/v=1:1) with 0.5% TMSB,TMSB,2019,Operando Fourier Transform Infrared Investigation of Cathode Electrolyte lnterphase Dynamic Reversible Evolution on Li1.2Ni0.2Mn0.6O2,10.1021/acsami.9b17438
Yes,Coin,t-MWCNT (tetraethylene glycol dimethyl-treated multi-wall carbon nanotubes),Na foil,1M NaClO4 in tetraethylene glycol dimethyl ether (TEGDME),Not found,2016,Rechargeable Room-Temperature Na-CO2 Batteries,10.1002/anie.201602504
Yes,Coin,Carbon/Sulfur (C/S),Lithium (Li),"1 M LiTFSI and 0.1 M LiNO3 in a mixed solvent of 1,3-dioxolane (DOL) and 1,2-dimethoxy ethane (DME) (1:1, v/v)",Not found,2018,Functional separator for Li/S batteries based on boron-doped graphene and activated carbon,10.1007/s11051-018-4451-8
Yes,Not found,Not found,Not found,Not found,Not found,2018,Borohydride-Scaffolded Li/Na/Mg Fast Ionic Conductors for Promising Solid-State Electrolytes,10.1002/adma.201803533
Yes,Coin,LiNi0.5Mn1.5O4,Graphite,1 M LiPF6 in a mixture of ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1 by volume),Not found,Not found,Phosphorus and Boron Co-Doped Carbon Coating of LiNi0.5Mn1.5O4 Cathodes for Advanced Lithium-ion Batteries,10.1002/celc.201900411
