Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Zhang, Q; Ding, QH; Ma, N; Wu, W",,,,"Zhang, Qi; Ding, Qihui; Ma, Ning; Wu, Wei",,,OH-BNNSs reinforced polyvinyl alcohol/ carboxymethyl cellulose-based deep eutectic gel electrolyte for rechargeable zinc-air batteries,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,,,,,,,,,,,,"As an important component of flexible Zinc-air batteries (ZAB), the gel electrolyte has a direct impact on battery performances and applications. Polyvinyl alcohol (PVA) is a commonly used electrolyte matrix material in ZAB, which has film-forming and environment-friendly, but poor mechanical properties and ionic conductivity limit its application in flexible ZAB. As a new type of environment-friendly solvent, deep eutectic solvent (DES) not only has the extremely low volatility, excellent electrochemical stability and excellent thermal stability, but also has the advantages of low cost and stable performances. Hydroxy-boron nitride nanosheets (OH-BNNSs) are obtained by grafting hydroxyl groups onto boron nitride nanosheets. In this paper, PVA was modified by carboxymethyl cellulose (CMC) firstly. After adding DES and OH-BNNSs, the deep eutectic gel electrolyte was obtained by cryogenic freezing. The optimized system containing 50 wt% DES and 1 wt% OH-BNNSs demonstrated remarkable enhancements. Ionic conductivity increased to 137.61 mS.cm-1, representing a 1.86-fold improvement over conventional PVA-based electrolytes. Electrolyte uptake rate reached 183.5% with 88.7% retention rate after 12 h, achieving 2.03-fold and 1.92-fold of the performance of PVA, respectively. Mechanical properties showed substantial gains, with elongation at break escalating to 586% (3.66 times better than PVA) and tensile strength registering 0.55 MPa. When implemented in ZAB, power density peaked at 35.3 mW.cm-2, surpassing pure PVA by 4.53-fold. Cycling stability exhibited prolonged durability, sustaining 110 cycles over 36.7 h at 1 mA.cm-2. Single discharge duration attained 10.7 h. Our paper provides design scheme and theoretical references for application and progress of flexible devices.",,,,,,,,,,,,,,,,,,,0927-7757,1873-4359,,,,NOV 20,2025,725,,1,,,,,,137514,10.1016/j.colsurfa.2025.137514,http://dx.doi.org/10.1016/j.colsurfa.2025.137514,,,,,,,,,,,,,WOS:001518216000002,View Full Record in Web of Science
J,"Lv, Y; Li, JF; Zhang, ZB; Liu, Y; Yuan, JN; Lin, JN; Wang, XL",,,,"Lv, Yang; Li, Jianfu; Zhang, Zhaobin; Liu, Yong; Yuan, Jianan; Lin, Jiani; Wang, Xiaoli",,,Mixed ionic-electronic conduit of Ca2+ confined by two-dimensional multicomponent boron-carbon layers,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,,,,,,,,,,,,"Mixed ionic-electronic conductor (MIEC) materials have widespread applications in fuel cells, all-solid-state battery electrode interface modification materials, and memory devices. Here, we reveal the two-dimensional superionic conduction between graphene-like B-C layers in the Ca-B-C (Ca2BC11, CaBC5, CaB2C4, and CaB3C3) compounds. Through molecular dynamics simulations driven by high-precision machine learning potentials, which can be tuned within the range of 900-2100 K with defect concentrations as high as 4.8 %. We discovered that the vacancy mechanism between the hexagonal prism drives its superionic diffusion. The ratio of B and C within the framework can modify the covalent (ICOHP) and ionic (Bader) interactions between the compound and Ca2+, along with the interlayer spacing, thereby significantly influencing the superionic transition temperature. Furthermore, the superionic behavior across multiple phases obviates the need for synthesizing pure-phase materials. With excellent thermal and mechanical stability, these compounds of varying compositions are prospective candidates for high-temperature-resistant electrodes and interface enhancement materials and possess potential applications in many extreme conditions.",,,,,"Li, Jianfu/CAH-0685-2022",,,,,,,,,,,,,,0022-3697,1879-2553,,,,NOV,2025,206,,,,,,,,112842,10.1016/j.jpcs.2025.112842,http://dx.doi.org/10.1016/j.jpcs.2025.112842,,,,,,,,,,,,,WOS:001496942000001,View Full Record in Web of Science
J,"Maity, CK; Acharya, S; De, S; Sahoo, S; Kim, MJ; Nayak, GC",,,,"Maity, Chandan Kumar; Acharya, Sourav; De, Shrabani; Sahoo, Sumanta; Kim, Myung Jong; Nayak, Ganesh Chandra",,,"Boron nitride, a versatile nanostructure: Advances in synthesis, modifications, and energy storage applications",JOURNAL OF POWER SOURCES,,,,,,,,,,,,"The current energy research is exceedingly dependent on 2D nanomaterials. Among graphene-analogous 2D materials, boron nitride (BN) has been expansively studied for energy research. This review article exposes several imperative advances of BN for energy storage technologies. Owing to its superior compatibility, BN has been extensively integrated with other advanced energy materials. In this review, the fundamental aspects of BN and its derivatives are summarized for energy storage applications. The relation between the structure and surface chemistry of such materials is thoroughly emphasized. This article first introduces the characteristics and structural features of BN nanomaterials. A brief overview of the synthetic strategies for BN nanostructures including BN nanosheets, BN nanotubes etc. and their composites with different nanomaterials is included. Functionalization and hybridization are the two effective ways to tune the surface characteristics of BN, which are also summarized in this review. The most recent research progressions of BN in energy storage systems, such as supercapacitors, secondary batteries, hydrogen storage, and as a component of gel electrolytes and membranes, are broadly reviewed. Lastly, the prospects and crucial challenges related to the energy-related applications of BN are well emphasized regarding future innovative research in this booming field.",,,,,"Sahoo, Sumanta/H-9443-2019; Maity, Chandan/KIE-3828-2024; Nayak, Ganesh/MBG-1609-2025",,,,,,,,,,,,,,0378-7753,1873-2755,,,,OCT 15,2025,653,,,,,,,,237759,10.1016/j.jpowsour.2025.237759,http://dx.doi.org/10.1016/j.jpowsour.2025.237759,,,,,,,,,,,,,WOS:001525378800001,View Full Record in Web of Science
J,"Dang, YZ; Wu, YR; Xu, Z; Wang, JX; Zheng, RG; Song, ZS; Wang, ZY; Lin, XP; Liu, YG; Wang, D",,,,"Dang, Yuzhen; Wu, Yurong; Xu, Zhe; Wang, Jianxing; Zheng, Runguo; Song, Zhishuang; Wang, Zhiyuan; Lin, Xiaoping; Liu, Yanguo; Wang, Dan",,,Entropy-mediated layered oxide cathodes: Synergistic channel expansion and strain control for sodium-ion batteries at cryogenic conditions,JOURNAL OF ENERGY CHEMISTRY,,,,,,,,,,,,"O3-type layered oxide cathodes for sodium-ion batteries are promising owing to high theoretical capacity and broad temperature adaptability, yet hindered by structural degradation and sluggish Na* diffusion kinetics. Herein, we present a sodium-deficient high-entropy layered oxide cathode (Na0.85Ni0.3Mn0.3Fe0.1Co0.15Ti0.1Cu0.05B0.02O2, denoted as Na0.85-HEO), combining sodium content optimization and high-entropy composition design. Incorporating six transition metals and light element boron creates a unique high-entropy configuration, effectively mitigating local lattice distortion and internal strain through chemical disorder effects, thereby enabling highly reversible phase transitions (O3-P3-O3) and smaller volume change (0.6 & Aring;3 ) during the initial cycle. The sodium-deficient high-entropy design effectively increases the sodium interlayer spacing to 0.322 nm, facilitating the Na* diffusion kinetics. Moreover, this high-entropy strategy enables the cathode to have a completely solid solution charge curve and significantly reduces the proportion of (O2)n- , thereby suppressing gas release during the cycling process. The resultant cathode demonstrates exceptional cyclability (80% capacity retention after 400 cycles at 100 mA g-1 in a full cell), and remarkable low-temperature performance (108.6 mAh g-1 at -40 degrees C). This work guides the design of high-entropy electrode materials with tailored ionic transport channels for extreme-temperature energy storage applications. (c) 2025 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of Sciences. Published by Elsevier B.V. and Science Press. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",,,,,"lin, shopping/IAP-5041-2023",,,,,,,,,,,,,,2095-4956,,,,,OCT,2025,109,,,,,,637,648,,10.1016/j.jechem.2025.06.006,http://dx.doi.org/10.1016/j.jechem.2025.06.006,,,,,,,,,,,,,WOS:001523191000001,View Full Record in Web of Science
J,"Li, JQ; Bu, Y; Zhang, ZH; Xie, TS; Zhou, LJ; Li, LF; Zhao, D; Pei, WL",,,,"Li, Jiaqi; Bu, Yao; Zhang, Zhenghang; Xie, Tongsen; Zhou, Longjie; Li, Lifei; Zhao, Dong; Pei, Wenli",,,Preparation of B-doped LATP solid electrolyte with enhanced ionic conductivity via Spark Plasma sintering,MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS,,,,,,,,,,,,"Li1+xAlxTi2_x(PO4)3 (LATP) is a highly promising solid-state electrolyte for next-generation batteries. However, its practical application is hindered by insufficient ionic conductivity. To address this limitation, this study proposes a dual strategy combining boron (B) doping with Spark Plasma Sintering (SPS) technology. B-doped Li1.4Al0.4_xBxTi1.6(PO4)3 (x = 0, 0.1, 0.2, 0.3) nanopowders were synthesized via a sol-gel method, achieving phase purity at a reduced synthesis temperature of 700 degrees C and sub-300 nm particle sizes. The introduction of B not only refined particle dimensions but also enhanced ionic transport. Subsequent densification of the nano-powders into ceramic sheets by the SPS technique further amplified ionic conductivity, with the optimal composition (x = 0.2) reaching 0.769 mS/cm under 50 MPa/900 degrees C conditions. These results highlight the synergistic role of moderate B doping and SPS in overcoming LATP's conductivity limitations, advancing its viability for high-performance solid-state batteries.",,,,,"Li, Jiaqi/ABD-2009-2020",,,,,,,,,,,,,,0921-5107,1873-4944,,,,OCT,2025,320,,,,,,,,118442,10.1016/j.mseb.2025.118442,http://dx.doi.org/10.1016/j.mseb.2025.118442,,,,,,,,,,,,,WOS:001501716600002,View Full Record in Web of Science
J,"Pujitha, IM; Karmakar, S; Samanta, B; Kobi, S; More, S; Mukhopadhyay, A",,,,"Pujitha, Illa Mani; Karmakar, Sreyanka; Samanta, Bibek; Kobi, Sushobhan; More, Shivam; Mukhopadhyay, Amartya",,,"Influence of boron substitution at Si-site and associated interplay between structure, water-stability, ion-transport and interfacial resistance of NASICON-structured Na3Zr2Si2PO12-based solid electrolyte",SCRIPTA MATERIALIA,,,,,,,,,,,,"Boron (B3+) substitution for Si4+ in the tetrahedral site of NASICON-structured Na3Zr2Si2PO12-based polycrystalline solid electrolyte (NZSP), as confirmed via diffraction and solid-state B-11 NMR, has been found to improve the sinter-density to similar to 98.4 %rho(th) (from similar to 93.2 %rho(th)) and enlarge the grain size by similar to 73 %. The combination of enhanced grain/bulk Na-ion conductivity due to increment in the Na-content and lowered grain-boundary resistance due to enlarged grain size, as well as accrued sinter-density, results in an overall enhancement of Na-ion conductivity by similar to 143 %. Shrinkage of unit cell and reduction in grain boundary area also render B3+-substituted NZSP 'water-stable'. Furthermore, B3+-substitution improves mechanical properties and lowers Na/NZSP interfacial resistance (by similar to 58 %; to similar to 194 Omega cm(2)), which are beneficial towards suppression of Na-dendrite growth/penetration. Overall, this work not only reveals an interesting interplay between the above aspects for inorganic ion conductors, but also showcases the importance of adopting an integrated strategy towards the development of superior solid electrolytes for next-generation solid-state batteries.",,,,,"Samanta, Bibek/LSJ-5014-2024; MUKHOPADHYAY, AMARTYA/AAG-8144-2021",,,,,,,,,,,,,,1359-6462,1872-8456,,,,OCT 1,2025,267,,,,,,,,116800,10.1016/j.scriptamat.2025.116800,http://dx.doi.org/10.1016/j.scriptamat.2025.116800,,,,,,,,,,,,,WOS:001512593400002,View Full Record in Web of Science
J,"Yuan, YJ; Zhang, WY; Wang, L; Zhao, ZW; Yao, YC; Li, Y; Dong, ZQ; Yuan, LL",,,,"Yuan, Yajie; Zhang, Weiya; Wang, Li; Zhao, Zongwen; Yao, Yaochun; Li, Yin; Dong, Zhunqin; Yuan, Lingling",,,Dual-functional TiN/BN@separator for enhanced electrochemical performance and safety of lithium-ion batteries,JOURNAL OF ENERGY STORAGE,,,,,,,,,,,,"As the energy density of lithium-ion batteries continues to increase, the performance requirements for separators have become more stringent. Traditional polyolefin separators offer advantages such as low cost and excellent chemical stability. But they suffer from poor electrolyte wettability, thermal stability, and high interfacial resistance, which hinder the development of high-performance lithium-ion batteries. To address these issues, this study introduces a blending coating method using titanium nitride and boron nitride particles to enhance the overall performance of polypropylene separators. The TiN/BN@PP-15 separator demonstrates superior wettability, thermal stability, and electrochemical performance. Under a high discharge rate of 5C, it achieves an initial discharge capacity of 130.7 mAh g-1. Additionally, batteries assembled with the TiN/BN@PP-15 separator exhibit the lowest interfacial resistance of 79.7 Omega, a high ionic conductivity of 0.466 mS cm- 1, and a lithium-ion diffusion coefficient of 11.7 x 10-14 cm2 s- 1. These results indicate that the co-blending coating of TiN and BN particles not only improves the physicochemical properties of PP separators but also ensures high discharge capacity and cycling stability under high-rate conditions, providing reliable technical support for high energy density and high rate energy storage systems.",,,,,,,,,,,,,,,,,,,2352-152X,2352-1538,,,,SEP 30,2025,131,,B,,,,,,117608,10.1016/j.est.2025.117608,http://dx.doi.org/10.1016/j.est.2025.117608,,,,,,,,,,,,,WOS:001529006300004,View Full Record in Web of Science
J,"Lu, JJ; Dong, QJ; Liao, K; Yao, MJ; Guo, H; Tian, QQ; Hu, H; Huang, H; Li, WY; Sun, ZY; Chen, Q; Han, XP; Hu, WB",,,,"Lu, Jiongjing; Dong, Qiujiang; Liao, Kang; Yao, Minjie; Guo, Hao; Tian, Qianqiu; Hu, Hui; Huang, He; Li, Wanyao; Sun, Zhaoyong; Chen, Qiang; Han, Xiaopeng; Hu, Wenbin",,,Dual-interface engineering via boron pre-anchoring and electronegative synergy for coupled ion transport and self-stabilizing interphases in lithium metal batteries,ENERGY STORAGE MATERIALS,,,,,,,,,,,,"Lithium metal anodes hold immense promise for next-generation high-energy-density batteries due to their outstanding theoretical capacity and low electrochemical potential. Despite these advantages, their practical implementation remains restricted by the unstable solid electrolyte interphase (SEI) and the uncontrollable lithium dendrite growth, which compromise cycling stability and safety. In this work, we propose a dual-interface engineering approach involving boron pre-anchoring in lithium anodes and coordination with electronegative components. This design establishes coupled mechanisms for ion transport optimization and self-stabilizing interphase formation through a hierarchical interface architecture. Theoretical simulations reveal that pre-embedded boron atoms lower the adsorption energy for lithium-ion diffusion while directing homogeneous metal deposition. Consequently, symmetric cells deliver stable Li plating/stripping behavior for over 2500 hat 0.5 mA cm-2. Full cells paired with LiCoO2 retain 92 % capacity after 200 cycles, while Li-B||NCM811 pouch cells (6.5Ah) exhibit a high energy density of 526 Wh kg-1 and maintain 95 % capacity retention after 60 cycles. The interfacial design principles provide a blueprint for synchronizing ion transport kinetics and chemical stability in high-performance lithium metal batteries.",,,,,,,,,,,,,,,,,,,2405-8297,2405-8289,,,,SEP,2025,81,,,,,,,,104466,10.1016/j.ensm.2025.104466,http://dx.doi.org/10.1016/j.ensm.2025.104466,,,,,,,,,,,,,WOS:001544970700004,View Full Record in Web of Science
J,"Liu, XC; Wen, JX; Zhao, XW; Shang, B; Lei, JL; Li, LJ; Pan, FS",,,,"Liu, Xiaochen; Wen, Jiaxin; Zhao, Xingwang; Shang, Bo; Lei, Jinglei; Li, Lingjie; Pan, Fusheng",,,Innovative fluorinated boron-based electrolyte harmonizes interface chemistry-electrochemistry of Mg anode for accessible rechargeable Mg battery,CHEMICAL ENGINEERING JOURNAL,,,,,,,,,,,,"The development of promising boron-based electrolyte for rechargeable magnesium batteries (RMBs) is constrained by high costs and cumbersome synthesis. Herein, an accessible and innovative magnesium phenyl fluoroborate complex electrolyte (MPFBC) has been designed, which employs cheap boron trifluoride as both the boron and fluorine source, utilizing a facile Lewis acid-base reaction for synthesis. The MPFBC electrolyte is capable of stable cycling of Mg||Mg cells at 0.5 mA cm(-2) with low overpotential (<100 mV) and maintains a decent discharge specific capacity of 62.6 mAh g(-1) after 1000 cycles of the Mg||Mo6S8 battery at 0.5C. Further, the complementary advantages of chemistry and electrochemistry have been highlighted for the first time to harmonizes interface chemistry of Mg anode. A complementation combining the in-situ pre-corrosion driven by chemical process and the Mg2+-conducting layer formed through electrochemical process enables controllable interface chemistry and interface evolution. The design and synthesis of MPFBC pave a feasible way for commercialization of boron-based electrolytes, and simultaneously the interface regulation strategy of chemistry-electrochemistry complementary advantages enriches the interface theories of RMBs.",,,,,,,,,,,,,,,,,,,1385-8947,1873-3212,,,,AUG 15,2025,518,,,,,,,,164545,10.1016/j.cej.2025.164545,http://dx.doi.org/10.1016/j.cej.2025.164545,,,,,,,,,,,,,WOS:001517527500001,View Full Record in Web of Science
J,"Sun, QH; Chen, ZL; Dong, KY; Lv, T; Li, X; Zhai, DM; Tang, WY; Chen, T",,,,"Sun, Quanhu; Chen, Zilin; Dong, Keyi; Lv, Tian; Li, Xiao; Zhai, Dongmei; Tang, Weiyang; Chen, Tao",,,A bifunctional catalyst of CoO/NBC composite for high-performance rechargeable flexible zinc-air battery,JOURNAL OF COLLOID AND INTERFACE SCIENCE,,,,,,,,,,,,"Rechargeable flexible zinc-air batteries (ZABs) represent a promising energy-supply device for wearable electronics due to their low cost, safety and high energy density, but their electrochemical performance often suffers from the sluggish reaction kinetics of air electrode and poor moisture-retention ability of polymer electrolytes. Here, we report a type of high-performance rechargeable flexible ZABs endowed by an efficient bifunctional catalyst for air electrode and a high moisture-retention hydrogel electrolyte. The designed nitrogen-boron co-doped carbon nanotube arrays loaded with cobalt oxide nanoparticles (CoO/NBC) with abundant catalytic active sites and oriented structure provide its excellent electrochemical catalytic activities for both oxygen reduction reaction and oxygen evolution reaction. Based on the bifunctional catalyst of CoO/NBC, the developed rechargeable ZABs exhibit a high open-circuit voltage of 1.44 V and a high energy density of 920.0 Wh kg-1, which are superior than commercial Pt/C + RuO2 and most reported non-precious metal catalysts. Furthermore, a trehalose modified polyacrylamide hydrogel electrolytes (trehalose/PAAm) with high moisture-retention has been synthesized to construct flexible ZABs, which not only exhibit outstanding electrochemical performance (1.39 V and 824.8 Wh kg-1), but also show excellent stability even after 400 charge/discharge cycles or being bent to any angle.",,,,,,,,,,,,,,,,,,,0021-9797,1095-7103,,,,AUG 15,2025,692,,,,,,,,137537,10.1016/j.jcis.2025.137537,http://dx.doi.org/10.1016/j.jcis.2025.137537,,,,,,,,40209424,,,,,WOS:001467369200001,View Full Record in Web of Science
