cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
58050304,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=CC3=C(C4=CC=CC=C24)C5=CC=CC6=CC=CC=C65,Full model,3,0.7831778,0.03492959,0.7482482,0.3170731707317073,0.6829268292682926,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.03492959,0.004408677,0.7831778,-0.20373568,-0.21588497,-0.2109369,-0.017027646
2736203,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,Full model,6,0.808785,0.09169347,0.71709156,1.0,0.0,63,B(HFIP)3,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,SP2,halide (C-X); boronate (B-O),-0.20686014,-0.20935316,-0.2901824,-0.15889181,0.09169347,0.808785,-0.32367665
89239536,B(OCC(CCC)CCCCC)(OCC(CCC)CCCCC)OCC(CCC)CCCCC,Full model,5,0.73188335,0.0053749345,0.72650844,0.4074074074074074,0.5925925925925926,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.4218665,-0.52423,-0.36092928,-0.24519478,0.73188335,0.0053749345,-0.19244143
22338812,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F,Full model,1,0.8110507,0.033048164,0.77800256,0.19148936170212766,0.8085106382978724,100,PBA,C1(=CC=CC=C1)OB(O)O,SP2,hydroxyl (-OH); benzene ring; boronate (B-O),0.8110507,0.0036382808,0.033048164,-0.15628856,-0.28919792,-0.08259261,-0.031261805
71420187,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F,Full model,6,0.8066824,0.09550084,0.7111816,0.30303030303030304,0.696969696969697,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.21684434,-0.21854763,-0.26848698,-0.17779242,0.09550084,0.8066824,-0.30477417
18373965,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC)OC,Full model,6,0.79859746,0.074205294,0.7243922,0.42105263157894735,0.5789473684210527,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.18245348,-0.20031588,-0.2813185,-0.16263086,0.074205294,0.79859746,-0.3092009
425307,B(OC(=O)C)(OC(=O)C)OC(=O)C,Full model,1,0.80517405,0.025696078,0.77947795,0.2857142857142857,0.7142857142857143,80,B-HEMA,C=C(C(OCCOB(OCCOC(C(C)=C)=O)OCCOC(C(C)=C)=O)=O)C,SP2,carbonyl (C=O); ester (-COOR); ether (-O-); alkene (C=C); boronate (B-O),0.80517405,-0.021998081,0.025696078,-0.16809683,-0.20913205,-0.1347513,-0.042788107
11727684,[B](C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,Full model,6,0.8054472,0.0897162,0.715731,0.29411764705882354,0.7058823529411764,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.20726125,-0.20527029,-0.28354183,-0.17541431,0.0897162,0.8054472,-0.31198004
68979,B(C)(C)C,Full model,1,0.830997,0.054423407,0.7765736,0.15384615384615385,0.8461538461538461,0,TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,SP2,boronate (B-O),0.830997,0.03906662,0.054423407,-0.10737228,-0.302474,-0.13167447,-0.021856686
138247,B(C)(C)OC,Full model,1,0.8226107,0.034393508,0.7882172,0.23529411764705882,0.7647058823529411,22,TME,COCCB(CCOC)CCOC,SP2,ether (-O-),0.8226107,0.03018146,0.034393508,-0.09886512,-0.27873734,-0.113865,-0.04458488
