Method,Prototype similarity mean,Prototype coverage ratio,Entropy-weighted assignment score,Moderate novelty ratio,Candidate diversity,Silhouette score
Full model,0.7898397445678711,0.7142857142857143,0.5712151930615665,0.2535211267605634,0.8981939482842489,0.9761408567428589
Random selection,0.5217478275299072,1.0,0.2763790924641763,0.24420401854714066,0.7829803806736025,0.5965496897697449
Morgan fingerprints,0.4970982074737549,1.0,0.41600689679275205,0.2909887359198999,0.7474231505385784,0.4084196388721466
PCL encoder only,0.7286467552185059,0.42857142857142855,0.29466605807796764,0.29207920792079206,0.7754751606926659,0.9688802361488342
USL encoder only,0.08542905002832413,0.5714285714285714,0.029856358562741197,0.3070283600493218,0.751665501958124,-0.18520422279834747
PCL encoder clustering,0.5711333155632019,0.8571428571428571,0.24364073940505176,0.22287390029325513,0.7712943496779462,0.9159501791000366
USL encoder clustering,0.07985252887010574,0.5714285714285714,0.020793856805576837,0.1032258064516129,0.767331372224695,0.7860473394393921
w/o EMA,0.1412907987833023,1.0,0.09456762436219814,0.12914485165794065,0.8101173445448631,0.253299742937088
w/o decorrelation,0.08068738132715225,0.5714285714285714,0.0029903358010323748,0.30212521539345205,0.733830271584727,-0.22454693913459778
w/o top-K,0.25719574093818665,0.14285714285714285,-0.0,0.23905723905723905,0.8660334987264147,
