cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
8470,B(OC)(OC)OC,Morgan fingerprints,1,0.80593336,0.010228077,0.79570526,0.26666666666666666,0.7333333333333334,0,TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,SP2,boronate (B-O),0.80593336,-0.005859439,0.010228077,-0.10872569,-0.22829632,-0.111452974,-0.0659919
12711,B(OCCC)(OCCC)OCCC,Morgan fingerprints,1,0.6318811,0.0599157,0.5719654,1.0,0.0,64,TPB,B(OCCC)(OCCC)OCCC ,SP2,boronate (B-O),0.6318811,-0.18661653,-0.12460583,-0.15393059,0.0599157,-0.18594706,-0.093097866
12712,B(OCCCC)(OCCCC)OCCCC,Morgan fingerprints,5,0.38927063,0.26637197,0.12289867,1.0,0.0,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),0.26637197,-0.38408336,-0.2663819,-0.19219534,0.38927063,-0.1608141,-0.14070232
17179,B(OCC1=CC=CC=C1)(OCC2=CC=CC=C2)OCC3=CC=CC=C3,Morgan fingerprints,5,0.43053594,0.05691666,0.3736193,0.375,0.625,97,B(OPh)3,B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,SP2,benzene ring; boronate (B-O),-0.20279369,-0.30918667,0.005342275,-0.38821054,0.43053594,-0.2675168,0.05691666
21423,B(OCCCCCC)(OCCCCCC)OCCCCCC,Morgan fingerprints,5,0.6769115,-0.053890057,0.7308015,0.7777777777777778,0.2222222222222222,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.29243737,-0.51370853,-0.3650091,-0.15818852,0.6769115,-0.053890057,-0.18393755
21425,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC,Morgan fingerprints,5,0.73390734,0.03055899,0.70334834,0.7777777777777778,0.2222222222222222,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.46069127,-0.54435706,-0.398695,-0.13815843,0.73390734,0.03055899,-0.22200279
21427,B(OC1=CC=CC=C1Cl)(OC2=CC=CC=C2Cl)OC3=CC=CC=C3Cl,Morgan fingerprints,3,0.5324411,0.36802158,0.1644195,0.4166666666666667,0.5833333333333333,97,B(OPh)3,B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,SP2,benzene ring; boronate (B-O),0.20441443,0.13455288,0.5324411,-0.34225968,-0.24298355,-0.52676696,0.36802158
31078,B(OCCCl)(OCCCl)OCCCl,Morgan fingerprints,1,0.74494493,-0.05021424,0.79515916,0.4444444444444444,0.5555555555555556,64,TPB,B(OCCC)(OCCC)OCCC ,SP2,boronate (B-O),0.74494493,-0.08553679,-0.05021424,-0.14405249,-0.08848549,-0.16861244,-0.06769759
37132,B(OCCN(CC)CC)(OCCN(CC)CC)OCCN(CC)CC,Morgan fingerprints,5,0.69516295,-0.07279337,0.7679563,0.47619047619047616,0.5238095238095238,64,TPB,B(OCCC)(OCCC)OCCC ,SP2,boronate (B-O),-0.29698738,-0.51353014,-0.34354106,-0.09599555,0.69516295,-0.07279337,-0.18431431
61587,B(OCC(C)C)(OCC(C)C)OCC(C)C,Morgan fingerprints,5,0.6446055,-0.06799544,0.71260095,0.35,0.65,64,TPB,B(OCCC)(OCCC)OCCC ,SP2,boronate (B-O),-0.14476112,-0.48852605,-0.32138306,-0.2572921,0.6446055,-0.06799544,-0.17349899
