cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
71428746,B(C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)(C2=C(C=C(C=C2C(F)(F)F)C(F)(F)F)C(F)(F)F)C3=C(C=C(C=C3C(F)(F)F)C(F)(F)F)C(F)(F)F,PCL encoder only,6,0.78015757,0.030468395,0.74968916,0.37037037037037035,0.6296296296296297,87,NaTFPB,[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+]  ,SP3,halide (C-X); benzene ring,-0.17948577,-0.14819212,-0.25282848,-0.10155594,0.030468395,0.78015757,-0.30717406
15434991,B(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,PCL encoder only,6,0.7793741,0.027681783,0.75169235,0.4583333333333333,0.5416666666666667,87,NaTFPB,[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+]  ,SP3,halide (C-X); benzene ring,-0.18203183,-0.13404237,-0.2502401,-0.0961171,0.027681783,0.7793741,-0.30963278
2778201,[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,PCL encoder only,6,0.7758459,0.023784384,0.7520615,0.9444444444444444,0.05555555555555558,87,NaTFPB,[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+]  ,SP3,halide (C-X); benzene ring,-0.18598962,-0.13364471,-0.25201038,-0.09835962,0.023784384,0.7758459,-0.3051817
71428745,B(C1=CC(=C(C(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F)(C2=CC(=C(C(=C2)C(F)(F)F)C(F)(F)F)C(F)(F)F)C3=CC(=C(C(=C3)C(F)(F)F)C(F)(F)F)C(F)(F)F,PCL encoder only,6,0.7908749,0.0530101,0.7378648,0.2727272727272727,0.7272727272727273,38,FBA,FC(C=1C=C(C=CC1)B(O)O)(F)F,SP2,hydroxyl (-OH); halide (C-X); benzene ring; boronate (B-O),-0.19502124,-0.1661811,-0.26597133,-0.13089004,0.0530101,0.7908749,-0.3070402
10876447,B(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)(C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F)C5=C(C6=C(C(=C5F)F)C(=C(C(=C6F)F)F)F)F,PCL encoder only,6,0.8199266,0.11981004,0.7001166,0.7333333333333333,0.2666666666666667,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.22355391,-0.23138766,-0.30631462,-0.1814192,0.11981004,0.8199266,-0.32690746
11050988,B(C1=C2C(=C(C(=C1F)F)F)C(=C(C(=C2F)F)F)F)(C3=C4C(=C(C(=C3F)F)F)C(=C(C(=C4F)F)F)F)C5=C6C(=C(C(=C5F)F)F)C(=C(C(=C6F)F)F)F,PCL encoder only,6,0.8191397,0.11718761,0.7019521,0.625,0.375,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.22246204,-0.22927509,-0.3052457,-0.17806488,0.11718761,0.8191397,-0.32886583
75360847,B(OCC(C(F)(F)F)(F)F)(OCC(C(F)(F)F)(F)F)OCC(C(F)(F)F)(F)F,PCL encoder only,6,0.8048386,0.08156864,0.72326994,0.7,0.30000000000000004,17,THFBuBO,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F ,SP2,halide (C-X); boronate (B-O),-0.2030594,-0.20055129,-0.2831347,-0.14701682,0.08156864,0.8048386,-0.31896478
12159360,B(C1=C(C(=C(C(=C1F)F)F)F)B(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)(C4=C(C(=C(C(=C4F)F)F)F)F)C5=C(C(=C(C(=C5F)F)F)F)F,PCL encoder only,6,0.8113753,0.102689765,0.7086856,0.9166666666666666,0.08333333333333337,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.21397813,-0.21782264,-0.29106534,-0.18104081,0.102689765,0.8113753,-0.31642887
582056,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,PCL encoder only,6,0.8098747,0.09966886,0.71020585,1.0,0.0,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.21234243,-0.21428376,-0.28959373,-0.1805587,0.09966886,0.8098747,-0.3150181
10959856,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)Cl,PCL encoder only,6,0.81043595,0.10090321,0.70953274,0.5,0.5,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.21112084,-0.21386479,-0.28962833,-0.18162891,0.10090321,0.81043595,-0.31600094
11115716,B(C)(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,PCL encoder only,6,0.8072975,0.09388384,0.7134137,0.5,0.5,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.20843707,-0.20911013,-0.2860119,-0.17817166,0.09388384,0.8072975,-0.31321725
71428744,B(C1=CC(=C(C(=C1F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,PCL encoder only,6,0.80642265,0.090578064,0.7158446,0.47619047619047616,0.5238095238095238,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.20757872,-0.20791358,-0.28395545,-0.17212914,0.090578064,0.80642265,-0.31346107
11727684,[B](C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,PCL encoder only,6,0.8054472,0.08971618,0.715731,0.29411764705882354,0.7058823529411764,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.20726122,-0.20527028,-0.28354183,-0.1754143,0.08971618,0.8054472,-0.31197998
4438527,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,PCL encoder only,6,0.80851984,0.09697312,0.7115467,0.29411764705882354,0.7058823529411764,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.2115674,-0.21565917,-0.28766555,-0.17964634,0.09697312,0.80851984,-0.31219304
