Method,Before screening number,After screening number,Post-screening survival rate,Prototype similarity mean,Prototype similarity std,Prototype similarity median,Prototype similarity min,Prototype similarity max,Similarity gap mean,Similarity gap std,Prototype coverage,Prototype coverage ratio,Assignment entropy,Normalized assignment entropy,Candidate diversity,Mean pairwise Tanimoto similarity,Known-additive similarity mean,Known-additive similarity std,Known-additive similarity median,Known-additive similarity min,Known-additive similarity max,Novelty score mean,Novelty score std,Novelty score median,Novelty score min,Novelty score max,High similarity ratio >0.75,Moderate similarity ratio 0.40-0.75,Low similarity ratio <0.40,Valid candidate SMILES for known similarity,Invalid candidate SMILES for known similarity,Silhouette score,Valid SMILES number,Invalid SMILES number,Prototype 1 count,Prototype 1 ratio,Prototype 2 count,Prototype 2 ratio,Prototype 3 count,Prototype 3 ratio,Prototype 4 count,Prototype 4 ratio,Prototype 5 count,Prototype 5 ratio,Prototype 6 count,Prototype 6 ratio,Prototype 7 count,Prototype 7 ratio
Full model,30800,71,0.0023051948051948054,0.7898397445678711,0.030611734837293625,0.8040536046028137,0.7266066670417786,0.838607907295227,0.7240567207336426,0.03819708526134491,5/7,0.7142857142857143,1.4072898320420975,0.7232039119202388,0.8981939482842489,0.10180605171575108,0.40245572944908287,0.24461034887063887,0.30303030303030304,0.13333333333333333,1.0,0.5975442705509172,0.24461034887063893,0.696969696969697,0.0,0.8666666666666667,0.1267605633802817,0.2535211267605634,0.6197183098591549,71,0,0.9761408567428589,71,0,15,0.2112676056338028,4,0.056338028169014086,6,0.08450704225352113,0,0.0,17,0.23943661971830985,29,0.4084507042253521,0,0.0
Random selection,30800,647,0.021006493506493508,0.5217478275299072,0.1478041559457779,0.5297626852989197,0.0919385626912117,0.8195915818214417,0.42854440212249756,0.22016756236553192,7/7,1.0,1.0307831727040773,0.5297177637952578,0.7829803806736025,0.21701961932639743,0.356477994370889,0.0909621697872338,0.34782608695652173,0.075,1.0,0.643522005629111,0.0909621697872338,0.6521739130434783,0.0,0.925,0.0061823802163833074,0.24420401854714066,0.749613601236476,647,0,0.5965496897697449,647,0,31,0.04791344667697063,75,0.11591962905718702,24,0.03709428129829984,3,0.00463678516228748,30,0.04636785162287481,464,0.7171561051004637,20,0.030911901081916538
Morgan fingerprints,30800,1598,0.051883116883116885,0.4970982074737549,0.17715705931186676,0.4901220202445984,0.08984745293855667,0.8760542273521423,0.34526288509368896,0.23058760166168213,7/7,1.0,1.628475078717241,0.8368706435432395,0.7474231505385784,0.2525768494614216,0.36960385073099644,0.08746385088690187,0.3584905660377358,0.08695652173913043,1.0,0.6303961492690036,0.08746385088690187,0.6415094339622642,0.0,0.9130434782608696,0.007509386733416771,0.2909887359198999,0.7015018773466833,1598,0,0.4084196388721466,1598,0,92,0.057571964956195244,292,0.18272841051314143,70,0.04380475594493116,108,0.06758448060075094,51,0.031914893617021274,521,0.3260325406758448,464,0.2903629536921151
PCL encoder only,30800,404,0.013116883116883117,0.7286467552185059,0.04572272673249245,0.7290864586830139,0.6202951669692993,0.8291915655136108,0.7066236734390259,0.06953314691781998,3/7,0.42857142857142855,0.7869295634536805,0.40440179822059796,0.7754751606926659,0.22452483930733413,0.37942017143569473,0.11273922809842435,0.3673469387755102,0.11764705882352941,1.0,0.6205798285643053,0.11273922809842436,0.6326530612244898,0.0,0.8823529411764706,0.017326732673267328,0.29207920792079206,0.6905940594059405,404,0,0.9688802361488342,404,0,12,0.0297029702970297,157,0.3886138613861386,0,0.0,0,0.0,0,0.0,235,0.5816831683168316,0,0.0
USL encoder only,30800,1622,0.05266233766233766,0.08542905002832413,0.010821657255291939,0.0832306370139122,0.0647607073187828,0.16065001487731934,0.02130129374563694,0.01584317907691002,4/7,0.5714285714285714,0.680070668254068,0.3494871891100542,0.751665501958124,0.24833449804187602,0.36771488410174946,0.08892310015245876,0.36363636363636365,0.075,1.0,0.6322851158982506,0.08892310015245876,0.6363636363636364,0.0,0.925,0.004315659679408138,0.3070283600493218,0.6886559802712701,1622,0,-0.18520422279834747,1622,0,0,0.0,429,0.2644882860665845,0,0.0,0,0.0,1,0.0006165228113440197,1157,0.7133168927250308,35,0.02157829839704069
PCL encoder clustering,30800,341,0.01107142857142857,0.5711333155632019,0.11049859970808029,0.5703426003456116,0.13536949455738068,0.8291916251182556,0.5371402502059937,0.1593528836965561,6/7,0.8571428571428571,0.8301091437191191,0.4265917129432285,0.7712943496779462,0.22870565032205378,0.3448892838653492,0.07438387665649995,0.34545454545454546,0.14285714285714285,0.6363636363636364,0.6551107161346508,0.07438387665649995,0.6545454545454545,0.36363636363636365,0.8571428571428572,0.0,0.22287390029325513,0.7771260997067448,341,0,0.9159501791000366,341,0,22,0.06451612903225806,4,0.011730205278592375,10,0.02932551319648094,0,0.0,18,0.05278592375366569,269,0.7888563049853372,18,0.05278592375366569
USL encoder clustering,30800,155,0.005032467532467532,0.07985252887010574,0.021174225956201553,0.07709437608718872,0.04862787947058678,0.19955573976039886,0.03904559835791588,0.012258428148925304,4/7,0.5714285714285714,0.5067212969772699,0.26040323456006914,0.767331372224695,0.232668627775305,0.3237727776417914,0.06069108906850904,0.32,0.13114754098360656,0.6666666666666666,0.6762272223582085,0.06069108906850904,0.6799999999999999,0.33333333333333337,0.8688524590163934,0.0,0.1032258064516129,0.896774193548387,155,0,0.7860473394393921,155,0,0,0.0,1,0.0064516129032258064,129,0.832258064516129,1,0.0064516129032258064,0,0.0,0,0.0,24,0.15483870967741936
w/o EMA,30800,573,0.018603896103896105,0.1412907987833023,0.03656888008117676,0.13568836450576782,0.04395317658782005,0.30327874422073364,0.05010174214839935,0.03149263933300972,7/7,1.0,1.3024209757684466,0.669311980514998,0.8101173445448631,0.189882655455137,0.32783626248513964,0.10285434905484288,0.3170731707317073,0.10638297872340426,1.0,0.6721637375148604,0.10285434905484288,0.6829268292682926,0.0,0.8936170212765957,0.012216404886561954,0.12914485165794065,0.8586387434554974,573,0,0.253299742937088,573,0,45,0.07853403141361257,103,0.17975567190226877,51,0.08900523560209424,5,0.008726003490401396,1,0.0017452006980802793,46,0.08027923211169284,322,0.5619546247818499
w/o decorrelation,30800,1741,0.05652597402597403,0.08068738132715225,0.014897051267325878,0.07931117713451385,0.031428366899490356,0.18827757239341736,0.03529726341366768,0.013078443706035614,4/7,0.5714285714285714,0.07211691206979612,0.03706076156949329,0.733830271584727,0.266169728415273,0.37303403529554496,0.08170448634307344,0.36363636363636365,0.09090909090909091,1.0,0.626965964704455,0.08170448634307345,0.6363636363636364,0.0,0.9090909090909091,0.007466973004020678,0.30212521539345205,0.6904078116025273,1741,0,-0.22454693913459778,1741,0,0,0.0,6,0.0034462952326249283,6,0.0034462952326249283,0,0.0,1722,0.9890867317633544,0,0.0,7,0.00402067777139575
w/o top-K,30800,297,0.009642857142857142,0.25719574093818665,1.666287630541774e-06,0.2571956515312195,0.25718754529953003,0.25720125436782837,0.053082436323165894,6.075879809941398e-06,1/7,0.14285714285714285,-0.0,-0.0,0.8660334987264147,0.1339665012735853,0.3441749820173006,0.20596562155089498,0.3076923076923077,0.075,1.0,0.6558250179826993,0.20596562155089498,0.6923076923076923,0.0,0.925,0.0707070707070707,0.23905723905723905,0.6902356902356902,297,0,,297,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,297,1.0,0,0.0
