cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
18525862,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)N(N=C3)C(=O)OC(C)(C)C,Random selection,6,0.45388943,0.06320458,0.39068484,-0.10460854,0.06320458,-0.07350665,-0.08047725,-0.22054346,0.45388943,-0.060597144
68211018,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C4(C5=CC=CC=C5C6=CC=CC=C64)C7=CC=CC=C73,Random selection,3,0.5708552,0.23031695,0.34053826,0.014193284,-0.1123826,0.5708552,-0.5196059,-0.12738387,-0.30051807,0.23031695
45786383,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CO2)C3=CC(=CC=C3)OC,Random selection,6,0.44304642,0.04527448,0.39777195,-0.099736534,0.04527448,-0.044195693,-0.1157485,-0.24362041,0.44304642,-0.03080515
66521124,B1(OC(C(O1)(C)C)(C)C)C2=C(N=CS2)C,Random selection,6,0.4913412,0.056856208,0.434485,-0.08789376,0.056856208,-0.02349703,-0.078510396,-0.2452907,0.4913412,-0.085628934
58498962,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C=CC(=C3)B4OC(C(O4)(C)C)(C)C,Random selection,6,0.50434303,-0.009316906,0.51365995,-0.09621143,-0.088407874,-0.009316906,-0.17509727,-0.17743705,0.50434303,-0.052902948
44717655,B1(OC(C(O1)(C)C)(C)C)C2=C(N=C(C=C2)C)F,Random selection,6,0.60936785,0.038307205,0.57106066,-0.12029345,0.038307205,-0.119709454,-0.07036093,-0.17173046,0.60936785,-0.17162217
71413452,B(CC)(CCC(C)CC)OC1=C(C=C(C=C1C)C)C,Random selection,5,0.2245129,0.1795507,0.044962198,-0.017665444,-0.17270778,0.095735215,-0.10207885,0.2245129,-0.44010964,0.1795507
67187423,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CCCOC,Random selection,2,0.54106194,0.32848778,0.21257415,-0.15075374,0.54106194,-0.06944979,-0.07913309,-0.24582551,0.32848778,-0.13318175
14024414,B(CC)(OCCC)OCCC,Random selection,1,0.6197942,0.07714315,0.54265106,0.6197942,-0.20343672,-0.13732448,-0.17881097,0.07714315,-0.16409005,-0.100098185
78020,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,Random selection,1,0.81650144,0.03427264,0.7822288,0.81650144,0.0046055582,0.03427264,-0.083341315,-0.27866757,-0.09013704,-0.04455866
56846420,B1(OC(C(O1)(C)C)(C)C)CC2=CC=CC=C2Br,Random selection,3,0.11993357,0.11316618,0.0067673847,-0.013501204,0.016940275,0.11993357,-0.0032676475,-0.2645326,0.11316618,0.10697339
45785991,B1(OC(C(O1)(C)C)(C)C)C2=NC=CC(=C2)OC,Random selection,6,0.47298285,0.2683551,0.20462775,-0.10041016,0.2683551,-0.062965214,-0.0878099,-0.2702484,0.47298285,-0.114411995
66521510,B1(OC(C(O1)(C)C)(C)C)C2=NC=C(C=C2)N3C=C(C=N3)C,Random selection,2,0.7512435,0.061960194,0.68928325,-0.050886247,0.7512435,-0.0043038586,-0.088086314,-0.29592136,0.061960194,-0.06663063
58174852,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C4=C(C=C(C=C4)B5OC(C(O5)(C)C)(C)C)C6=CC=CC=C63,Random selection,3,0.6840028,0.025178572,0.65882427,0.010135884,-0.020193104,0.6840028,-0.16867103,-0.27891085,0.025178572,-0.039706532
66521541,B1(OC(C(O1)(C)C)(C)C)C2=CN(C=N2)C3=CC(=CC=C3)F,Random selection,2,0.64557004,0.21108255,0.4344875,-0.10181692,0.64557004,-0.037641883,-0.09445563,-0.2892177,0.21108255,-0.09171182
57497337,B1(OC(C(O1)(C)C)(C)C)CC2=CC(=CC=C2)C(F)(F)F,Random selection,6,0.71024984,-0.057160195,0.76741004,-0.15974388,-0.10670913,-0.19100374,-0.10398101,-0.057160195,0.71024984,-0.2348935
52915087,B(OCC(C(F)F)(F)F)(OCC(C(F)F)(F)F)OCC(C(F)F)(F)F,Random selection,6,0.7999935,0.072771154,0.7272224,-0.17929368,-0.21077277,-0.28763697,-0.1289679,0.072771154,0.7999935,-0.32858115
59238596,B1(OC(C(O1)(C)C)(C)C)C2=CC(CCC2)C,Random selection,6,0.58980596,-0.010432109,0.6002381,-0.010432109,-0.16241476,-0.1139095,-0.26685566,-0.09981057,0.58980596,-0.15723974
