cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
70697686,[B-]1(N2C(=CC(=C2C=C3[N+]1=C(C=C3)CCC(=O)N4CCN(CC4)C(=O)C5=C(C=CC(=C5)CC6=NNC(=O)C7=CC=CC=C76)F)C)C)(F)F,USL encoder clustering,7,0.05978435,0.041251477,0.018532872,0.14150943396226415,0.8584905660377359,23,LiBFSB,FC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(F)=C3O2)=O)C)=O)=CC=C1.[Li+],SP3,carbonyl (C=O); benzene ring; boronate (B-O),0.017322894,-0.0071306294,0.041251477,-0.025201699,-0.042982437,-0.14942297,0.05978435
71240628,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC3=C2C=NN3S(=O)(=O)C4=CC=C(C=C4)C)C(C)C,USL encoder clustering,3,0.05212141,0.024236716,0.027884692,0.25,0.75,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.0020645303,0.024236716,0.05212141,-0.0798906,-0.029988905,-0.1015476,-0.018206771
71310855,B1(OC(=O)CN(CC(=O)O1)C)C2=CC=CN2S(=O)(=O)C3=CC=C(C=C3)C,USL encoder clustering,7,0.06821438,0.020215467,0.047998913,0.3409090909090909,0.6590909090909092,30,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  ,SP2,carbonyl (C=O); boronate (B-O),0.020215467,-0.027242288,0.0058148047,0.0020926166,-0.0387616,-0.13922134,0.06821438
74890426,B1(OC(C(O1)(C)C)(C)C)C2=CN(C(=C2)C(=O)OC)CC3=CC=C(C=C3)OC,USL encoder clustering,3,0.05987521,0.032546166,0.027329043,0.28846153846153844,0.7115384615384616,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.01714692,0.032546166,0.05987521,-0.07828476,-0.034840636,-0.111427575,-0.0043289517
11276591,[B]=P(C)(C1=CC=CC=C1)C2=CC=CC=C2OC,USL encoder clustering,7,0.04862788,0.04591363,0.0027142502,0.21568627450980393,0.7843137254901961,14,DPD-CN-OCH3,CC1(COB(OC1)C1=C(C#N)C=CC=C1OC)C,SP2,benzene ring; boronate (B-O),0.009198138,0.04591363,0.021274494,0.04136213,-0.015433673,-0.1766098,0.04862788
59694428,B1(OC(C(O1)(C)C)(C)C)C2=CN(C(=C2)C(=O)OC)S(=O)(=O)C3=CC=C(C=C3)C,USL encoder clustering,3,0.054037776,0.029738938,0.024298837,0.28846153846153844,0.7115384615384616,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.019091474,0.029738938,0.054037776,-0.08849369,-0.03794016,-0.1067866,-0.005082562
86222914,B1(OC(C(O1)(C)C)(C)C)C2=CN(C3=C2C=CC=N3)S(=O)(=O)C4=CC=C(C=C4)OC,USL encoder clustering,3,0.071220614,0.032807384,0.03841323,0.2923076923076923,0.7076923076923076,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),0.016884794,0.032807384,0.071220614,-0.08207198,-0.046605982,-0.10428464,-0.013323292
99779877,B1(OC(=O)CN(CC(=O)O1)C)C2=CC3=CC=CC=C3N2C,USL encoder clustering,7,0.0869715,0.034112796,0.052858703,0.39473684210526316,0.6052631578947368,30,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  ,SP2,carbonyl (C=O); boronate (B-O),0.034112796,-0.012843992,0.030283768,0.00094928377,-0.066679545,-0.15642846,0.0869715
71309963,B1(OC(=O)CN(CC(=O)O1)C)C2=CC3=C(C=C2)N=C(C=C3)C,USL encoder clustering,7,0.0950607,0.03276498,0.06229572,0.36585365853658536,0.6341463414634146,30,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  ,SP2,carbonyl (C=O); boronate (B-O),0.031985875,-0.015527723,0.03276498,0.0048590023,-0.06690524,-0.16127102,0.0950607
71334559,B(C1=CC=CC=C1[N+](=O)[O-])(OC(C)C)OC(C)C,USL encoder clustering,7,0.08734137,0.07494949,0.01239188,0.23809523809523808,0.7619047619047619,13,(C3HF6O)2B(C6H5),FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F,SP2,halide (C-X); benzene ring; boronate (B-O),0.024816535,0.056488946,0.07494949,-0.0059220777,-0.0773451,-0.15457551,0.08734137
71310675,B1(OC(=O)CN(CC(=O)O1)C)C2=C(N=CC=C2)OC,USL encoder clustering,7,0.09271477,0.03494952,0.057765253,0.375,0.625,30,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  ,SP2,carbonyl (C=O); boronate (B-O),0.03494952,-0.017724093,0.025836991,-0.0065588434,-0.07058206,-0.15662034,0.09271477
86202055,B1(OB(OB(O1)C2=CC=C(C=C2)OC(F)(F)F)C3=CC=C(C=C3)OC(F)(F)F)C4=CC=C(C=C4)OC(F)(F)F,USL encoder clustering,7,0.19752724,0.14162618,0.055901065,0.4074074074074074,0.5925925925925926,9,TPhBX,B1(OB(OB(O1)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,SP2; SP2; SP2,benzene ring; boronate (B-O),0.11811388,0.02784682,0.14162618,-0.12193566,-0.09199743,-0.21971281,0.19752724
66889277,B1(OC(C(O1)(C)C)(C)C)C2=CN(C3=C2C=C(C=N3)OC)S(=O)(=O)C4=CC=CC=C4,USL encoder clustering,3,0.06555415,0.033879034,0.031675115,0.2878787878787879,0.7121212121212122,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),0.011793819,0.033879034,0.06555415,-0.085529506,-0.044637557,-0.106918074,-0.015378198
11717931,B(C1=CC(=C(C=C1)C)Cl)(C2=CC(=C(C=C2)C)Cl)OCCC3=CC=CC=N3,USL encoder clustering,7,0.06516599,0.05884802,0.0063179694,0.23404255319148937,0.7659574468085106,124,2F-PBF,FC1=NC=CC=C1.FB(F)F,SP2,None,-0.023546219,0.049917407,0.05884802,-0.045252565,-0.043038316,-0.15395963,0.06516599
90035151,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CCOCC3=CC=CC=C3,USL encoder clustering,3,0.07323861,0.028994072,0.04424454,0.3404255319148936,0.6595744680851063,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.019189045,0.028994072,0.07323861,-0.08523052,-0.0437311,-0.10910391,0.0038436044
59477197,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)NC=C3C(=O)OC,USL encoder clustering,3,0.065492995,0.03673267,0.028760325,0.3191489361702128,0.6808510638297872,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.021103444,0.03673267,0.065492995,-0.08568647,-0.04357438,-0.108024895,-0.0061329925
58494102,B1(OC(C(O1)(C)C)(C)C)C2=C(C(=CC=C2)C3=CCN(CC3)CC4=CC=CC=C4)CC,USL encoder clustering,3,0.07542416,0.046428565,0.028995592,0.27586206896551724,0.7241379310344828,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),0.046428565,0.045372337,0.07542416,-0.08043969,-0.047343537,-0.10679633,0.005367029
71311083,B1(OC(=O)CN(CC(=O)O1)C)C2=NC3=CC=CC=C3C=C2,USL encoder clustering,7,0.08483946,0.034202542,0.05063692,0.39473684210526316,0.6052631578947368,30,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  ,SP2,carbonyl (C=O); boronate (B-O),0.034202542,-0.0090898145,0.029807435,0.01367972,-0.059758194,-0.16195464,0.08483946
71310926,B1(OC(=O)CN(CC(=O)O1)C)C2=NC(=CC=C2)OC,USL encoder clustering,7,0.09065906,0.03673123,0.05392783,0.38461538461538464,0.6153846153846154,30,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  ,SP2,carbonyl (C=O); boronate (B-O),0.03673123,-0.017235845,0.022892721,-0.004731358,-0.06966636,-0.15115394,0.09065906
44138340,B1(OC(=O)CN(CC(=O)O1)C)C2=CC3=CC=CC=C3N2S(=O)(=O)C4=CC=CC=C4,USL encoder clustering,7,0.085566804,0.04427916,0.041287642,0.32608695652173914,0.6739130434782609,30,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  ,SP2,carbonyl (C=O); boronate (B-O),0.04158252,0.0144837145,0.04427916,0.023724318,-0.05099401,-0.16989851,0.085566804
10224018,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2S(=O)(=O)N(COC)C3=NOC(=C3C)C,USL encoder clustering,3,0.055748425,0.026704336,0.02904409,0.2878787878787879,0.7121212121212122,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),0.019652555,0.026704336,0.055748425,-0.10221021,-0.041580968,-0.11223819,0.0031900874
53217232,B1(OC(C(O1)(C)C)(C)C)C2=CN(C=C2)C(=O)OCC3=CC=CC=C3,USL encoder clustering,3,0.06837318,0.0348168,0.03355638,0.3125,0.6875,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.026535429,0.0348168,0.06837318,-0.07939684,-0.040032923,-0.10536038,-0.009019483
17998917,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C(=O)N3CCCC(C3)C(=O)OCC,USL encoder clustering,3,0.068346456,0.049597487,0.018748969,0.3333333333333333,0.6666666666666667,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),0.031064438,0.049597487,0.068346456,-0.07592295,-0.050156396,-0.10995339,0.026760535
45786511,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)C3=CC=C(C=C3)CC,USL encoder clustering,3,0.066427864,0.034106318,0.032321546,0.32558139534883723,0.6744186046511628,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.027803836,0.034106318,0.066427864,-0.08621352,-0.04034827,-0.10198752,-0.002512766
53408352,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C(=NN3)C(=O)OCC,USL encoder clustering,3,0.062281907,0.02799713,0.034284778,0.33962264150943394,0.6603773584905661,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),0.010939633,0.02799713,0.062281907,-0.078932546,-0.038396787,-0.10278576,-0.011397978
45785876,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=N2)C3=CC=C(C=C3)C(C)(C)C,USL encoder clustering,3,0.077094376,0.023910409,0.053183965,0.32558139534883723,0.6744186046511628,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.016913049,0.023910409,0.077094376,-0.08027485,-0.045179542,-0.10121002,-0.00688217
