cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
15879611,[B]N1CCCCC1,USL encoder only,2,0.09864599,0.07460688,0.024039112,0.13636363636363635,0.8636363636363636,24,NHCABT,FB(F)F.CN1CCN(C)C1,SP2,None,-0.14136198,0.09864599,-0.11387974,-0.047759738,0.0353745,0.07460688,0.016891941
13114426,B(N1C(CCCC1(C)C)(C)C)(Cl)Cl,USL encoder only,2,0.09867218,0.06774896,0.030923225,0.14285714285714285,0.8571428571428572,6,TBDB,CC1(COB(OC1)B1OCC(CO1)(C)C)C,SP2; SP2,boronate (B-O),-0.12888542,0.09867218,-0.10388228,-0.046289727,0.028967105,0.06774896,0.011344272
4121732,B(N1CCCC1)(N2CCCC2)N3CCCC3,USL encoder only,2,0.099355854,0.07041025,0.028945602,0.19047619047619047,0.8095238095238095,24,NHCABT,FB(F)F.CN1CCN(C)C1,SP2,None,-0.13627787,0.099355854,-0.11055939,-0.04714398,0.03111747,0.07041025,0.021771561
23005375,B1(OCC(CO1)(C)C)C2=CC3=CC=CC=C3N2C,USL encoder only,6,0.092874266,0.070294224,0.022580042,0.47368421052631576,0.5263157894736843,32,DPD,CC1(COB(OC1)C1=CC=CC=C1)C,SP2,benzene ring; boronate (B-O),-0.13690227,0.070294224,-0.1331306,-0.073348835,0.04072708,0.092874266,0.0012802656
4072412,B(B(N1CCCC1)N2CCCC2)(N3CCCC3)N4CCCC4,USL encoder only,2,0.10000312,0.07024266,0.029760465,0.19047619047619047,0.8095238095238095,24,NHCABT,FB(F)F.CN1CCN(C)C1,SP2,None,-0.13775866,0.10000312,-0.11063908,-0.04788257,0.031796336,0.07024266,0.021317001
45787285,B1(OC(C(O1)(C)C)(C)C)C2CCCOC2,USL encoder only,2,0.09134846,0.07034314,0.021005325,0.2857142857142857,0.7142857142857143,95,BDB,B1(OC(C(O1)(C)C)(C)C)B2OC(C(O2)(C)C)(C)C,SP2; SP2,boronate (B-O),-0.13630633,0.09134846,-0.10700468,-0.047731433,0.034920327,0.07034314,0.0151511505
44755202,B1(OCC(CO1)(C)C)C2=CN(N=C2)C3CCCCO3,USL encoder only,6,0.08947025,0.0787544,0.01071585,0.3695652173913043,0.6304347826086957,32,DPD,CC1(COB(OC1)C1=CC=CC=C1)C,SP2,benzene ring; boronate (B-O),-0.1494988,0.0787544,-0.12878719,-0.053835966,0.04944866,0.08947025,0.006050582
23005376,B1(OCC(CO1)(C)C)C2=CC3=C(C=C2)N(C=C3)C,USL encoder only,6,0.09455391,0.06768985,0.02686406,0.46153846153846156,0.5384615384615384,32,DPD,CC1(COB(OC1)C1=CC=CC=C1)C,SP2,benzene ring; boronate (B-O),-0.14112732,0.06768985,-0.1367226,-0.06564696,0.050102632,0.09455391,-0.001999807
2795158,B1(OCC(CO1)(C)C)C2=CN=CC3=CC=CC=C23,USL encoder only,6,0.09401735,0.07105332,0.02296403,0.5,0.5,83,DPD-CN,C(#N)C1=C(C=CC=C1)B1OCC(CO1)(C)C,SP2,benzene ring; boronate (B-O),-0.13282116,0.07105332,-0.13073409,-0.07030663,0.041356612,0.09401735,-0.0015262984
2794717,B1(OCC(CO1)(C)C)C2=CN=CC=C2,USL encoder only,6,0.08798939,0.07820621,0.009783179,0.6451612903225806,0.3548387096774194,32,DPD,CC1(COB(OC1)C1=CC=CC=C1)C,SP2,benzene ring; boronate (B-O),-0.14474039,0.07820621,-0.12946777,-0.06087472,0.046091672,0.08798939,0.00323181
