cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
21423,B(OCCCCCC)(OCCCCCC)OCCCCCC,w/o decorrelation,5,0.046722446,0.036026314,0.010696132,0.7777777777777778,0.2222222222222222,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.0060160435,-0.10720647,-0.043497145,0.020456752,0.046722446,0.036026314,-0.06712244
25058171,[B-]1(N2C(=CC(=C2C(=C3[N+]1=C(C=C3C)C)C4=CC=C(C=C4)I)C)C)(F)F,w/o decorrelation,3,0.16515256,0.09320846,0.0719441,0.16981132075471697,0.8301886792452831,78,LUTID,F[B-]([N+]1=CC(C)=C(C)C=C1)(F)F,SP3,None,0.0696178,0.09320846,0.16515256,0.072876684,-0.16144088,-0.11866945,0.044631038
57496422,B1(OC(C(O1)(C)C)(C)C)C2=CC(=O)CCC2,w/o decorrelation,5,0.06482979,0.061429318,0.003400471,0.32432432432432434,0.6756756756756757,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.045317467,-0.15800159,-0.07054893,-0.06397702,0.06482979,0.0068867006,0.061429318
16218385,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CC(=O)OCC,w/o decorrelation,5,0.07496792,0.052911688,0.022056233,0.3333333333333333,0.6666666666666667,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.048839685,-0.1879417,-0.09784255,-0.07039546,0.07496792,0.01362328,0.052911688
91658869,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2C3CC3)C(=O)OC(C)(C)C,w/o decorrelation,5,0.08267419,0.05324723,0.029426962,0.3,0.7,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.060141183,-0.1831582,-0.09621523,-0.07055873,0.08267419,0.018228061,0.05324723
72214340,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=N2)F)C(=O)OC,w/o decorrelation,5,0.07723029,0.050710544,0.026519746,0.3090909090909091,0.6909090909090909,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.051443007,-0.1883208,-0.09829143,-0.07258571,0.07723029,0.015628535,0.050710544
51034569,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=C2Cl)N)F,w/o decorrelation,5,0.07687331,0.051028844,0.025844466,0.3469387755102041,0.653061224489796,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.053366825,-0.18458302,-0.09681841,-0.0734266,0.07687331,0.013950807,0.051028844
72213449,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NN2)C3CC3,w/o decorrelation,5,0.0714968,0.045481894,0.026014905,0.325,0.675,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.041921128,-0.1833009,-0.08698562,-0.06779887,0.0714968,0.014332699,0.045481894
86723268,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC(=C2)OCC3=CC=C(C=C3)OC)F,w/o decorrelation,5,0.08823494,0.047165785,0.041069154,0.5306122448979592,0.4693877551020408,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.0743832,-0.19185315,-0.103939995,-0.06843472,0.08823494,0.020515759,0.047165785
57826915,B1(OC(C(O1)(C)C)(C)C)C2=C(C=NN2CC)C,w/o decorrelation,5,0.07555963,0.045525353,0.030034278,0.3333333333333333,0.6666666666666667,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.045559365,-0.18338078,-0.096866705,-0.070629746,0.07555963,0.014423491,0.045525353
53398541,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)Cl)F,w/o decorrelation,5,0.07663359,0.0446657,0.031967886,0.40540540540540543,0.5945945945945945,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.04890895,-0.18276589,-0.09487602,-0.06979723,0.07663359,0.015088058,0.0446657
57416467,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N=C2)N(CC3)C(=O)OC(C)(C)C,w/o decorrelation,5,0.0910531,0.041781493,0.049271606,0.2830188679245283,0.7169811320754718,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.06686241,-0.1908907,-0.103577495,-0.06761657,0.0910531,0.023412973,0.041781493
2760605,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C(F)(F)F,w/o decorrelation,5,0.08087905,0.04179529,0.039083757,0.5666666666666667,0.43333333333333335,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.0568596,-0.1717288,-0.09206655,-0.061231587,0.08087905,0.01987617,0.04179529
90414968,B1(OC(C(O1)(C)C)(C)C)C2=C(N=C(C=C2)C(F)(F)F)F,w/o decorrelation,5,0.08267405,0.045874648,0.0367994,0.3958333333333333,0.6041666666666667,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.06109796,-0.17908926,-0.09738545,-0.06960759,0.08267405,0.019360851,0.045874648
53398525,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2)OC3=CC=CC=C3,w/o decorrelation,5,0.084276386,0.036596674,0.04767971,0.4358974358974359,0.5641025641025641,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.058863718,-0.18895762,-0.09979356,-0.06554912,0.084276386,0.018590884,0.036596674
66520624,B1(OC(C(O1)(C)C)(C)C)C2=C(C=NC=C2)CCC,w/o decorrelation,5,0.07975015,0.03802157,0.041728582,0.4594594594594595,0.5405405405405406,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.050684072,-0.18339796,-0.0946348,-0.060894344,0.07975015,0.018748445,0.03802157
3734506,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)CBr,w/o decorrelation,5,0.08161566,0.03843159,0.043184068,0.5294117647058824,0.47058823529411764,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),-0.05363761,-0.17378677,-0.091866225,-0.05954848,0.08161566,0.019487187,0.03843159
71138711,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)N3CCC(CC3)N(C)C(=O)C,w/o decorrelation,5,0.086577654,0.04906953,0.037508123,0.3090909090909091,0.6909090909090909,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),-0.066615134,-0.18682814,-0.09676406,-0.06314499,0.086577654,0.02062742,0.04906953
