cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
11241344,B(CC(C)C)(OCC(C)C)OCC(C)C,w/o EMA,2,0.1680893,0.12964907,0.038440228,0.25,0.75,64,TPB,B(OCCC)(OCCC)OCCC ,SP2,boronate (B-O),-0.03764953,0.1680893,0.12964907,0.07839112,-0.118186265,-0.117485635,0.07610498
91658869,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2C3CC3)C(=O)OC(C)(C)C,w/o EMA,2,0.18040481,0.13239954,0.048005268,0.3,0.7,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),0.057727057,0.18040481,0.13239954,0.046494465,-0.13609374,-0.15307984,0.13200052
57416467,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N=C2)N(CC3)C(=O)OC(C)(C)C,w/o EMA,2,0.17688224,0.16560784,0.011274397,0.2830188679245283,0.7169811320754718,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.06491069,0.17688224,0.16560784,0.04179842,-0.14437874,-0.16492467,0.13145179
57496422,B1(OC(C(O1)(C)C)(C)C)C2=CC(=O)CCC2,w/o EMA,2,0.12624353,0.094802976,0.031440556,0.32432432432432434,0.6756756756756757,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.005419214,0.12624353,0.066717856,0.033817492,-0.07751888,-0.09845264,0.094802976
72213449,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NN2)C3CC3,w/o EMA,7,0.13751894,0.057494342,0.0800246,0.325,0.675,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.025157453,0.045418903,0.057494342,0.007905769,-0.07220463,-0.097715855,0.13751894
68054971,B1(OC(C(O1)(C)C)(C)C)C2=CCCN(CC2)C(=O)OC(C)(C)C,w/o EMA,2,0.12993461,0.12925884,0.00067576766,0.2459016393442623,0.7540983606557377,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.070933625,0.12993461,0.050545074,0.07669884,-0.08932889,-0.10563609,0.12925884
72221518,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)OC)C3CC3,w/o EMA,2,0.09243383,0.079530366,0.012903467,0.3488372093023256,0.6511627906976745,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.043387376,0.09243383,0.07575237,0.033658866,-0.07300707,-0.08374815,0.079530366
66583732,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)(C)C(=O)OCC,w/o EMA,7,0.14617781,0.063640095,0.08253772,0.3157894736842105,0.6842105263157895,104,DPD-COOCH2CH3,CC1(COB(OC1)C1=C(C(=O)OCC)C=CC=C1)C,SP2,carbonyl (C=O); ester (-COOR); ether (-O-); benzene ring; boronate (B-O),-0.058563273,0.063640095,0.031285893,0.03673892,-0.08109216,-0.08651703,0.14617781
53217278,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(CCCC3)N=C2,w/o EMA,3,0.09847739,0.0895001,0.008977294,0.38461538461538464,0.6153846153846154,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.0895001,0.058445364,0.09847739,0.027517902,-0.05932641,-0.07542967,0.083663024
57992079,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)CC(=O)OCC,w/o EMA,7,0.10685791,0.06894949,0.03790842,0.3,0.7,104,DPD-COOCH2CH3,CC1(COB(OC1)C1=C(C(=O)OCC)C=CC=C1)C,SP2,carbonyl (C=O); ester (-COOR); ether (-O-); benzene ring; boronate (B-O),-0.087284274,0.06894949,0.009014419,0.048868157,-0.04276233,-0.06388058,0.10685791
44755163,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)N3CCN(CC3)C(=O)OCC,w/o EMA,7,0.14378169,0.092179224,0.051602468,0.3333333333333333,0.6666666666666667,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),0.061293,0.08738574,0.092179224,0.03969776,-0.10287584,-0.1340266,0.14378169
2769537,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)N3CCN(CC3)C,w/o EMA,7,0.14500178,0.06828042,0.07672136,0.45,0.55,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.0426416,0.053357333,0.06828042,0.028806249,-0.08023825,-0.114939384,0.14500178
16217713,B1(OC(C(O1)(C)C)(C)C)C2=C(NN=C2C)C,w/o EMA,1,0.14958711,0.09913523,0.050451882,0.34285714285714286,0.6571428571428571,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.14958711,0.076761685,0.09913523,0.06451269,-0.10085979,-0.14082727,0.0841585
57467612,B1(OC(C(O1)(C)C)(C)C)C2=CCCCC2(C)C,w/o EMA,7,0.14361072,0.057254195,0.08635652,0.3333333333333333,0.6666666666666667,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.03779168,0.057254195,0.035731025,0.020842956,-0.059360076,-0.09571877,0.14361072
45786332,B1(OC(C(O1)(C)C)(C)C)C2=NC(=CC=C2)N3CCOCC3,w/o EMA,7,0.14559266,0.045835435,0.099757224,0.32558139534883723,0.6744186046511628,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.028089207,0.029732166,0.037511162,0.045835435,-0.065769695,-0.09920238,0.14559266
66520976,B1(OC(C(O1)(C)C)(C)C)C2=C(N=C(S2)C(=O)OC)C3CC3,w/o EMA,3,0.11125671,0.10876366,0.0024930537,0.24489795918367346,0.7551020408163265,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.078423284,0.10876366,0.11125671,0.07824261,-0.094323166,-0.122343935,0.07752946
72221308,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)N3CCOCC3)Cl,w/o EMA,7,0.12544271,0.07270861,0.052734107,0.3333333333333333,0.6666666666666667,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.04968319,0.058015104,0.055984255,0.07270861,-0.07200878,-0.101436876,0.12544271
45786235,B1(OC(C(O1)(C)C)(C)C)C2=CN=CC(=N2)OC3CCCCC3,w/o EMA,7,0.1343741,0.05413904,0.08023506,0.3111111111111111,0.6888888888888889,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),0.010141908,0.019472966,0.05413904,0.03446897,-0.063120864,-0.08030129,0.1343741
59321167,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C(=O)N3CCN(CC3)CC,w/o EMA,7,0.15313557,0.052310012,0.100825556,0.3269230769230769,0.6730769230769231,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),-0.020371987,0.023452904,0.052310012,0.0073095122,-0.08091108,-0.104741566,0.15313557
53216815,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2C)C(=O)OC(C)(C)C,w/o EMA,2,0.17962381,0.16696087,0.012662947,0.32142857142857145,0.6785714285714286,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),0.057244603,0.17962381,0.16696087,0.06693458,-0.1396856,-0.17016295,0.111199245
72218562,B1(OC(C(O1)(C)C)(C)C)C2=COCCN2C(=O)OC(C)(C)C,w/o EMA,2,0.16483839,0.1348873,0.029951096,0.25,0.75,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.017470919,0.16483839,0.096898645,0.01240886,-0.12511799,-0.13298118,0.1348873
