cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
21423,B(OCCCCCC)(OCCCCCC)OCCCCCC,w/o top-K,6,0.25719494,0.20411308,0.053081855,0.7777777777777778,0.2222222222222222,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.10485684,-0.19008163,-0.24355267,-0.030000025,0.20411308,0.25719494,-0.24341014
11241344,B(CC(C)C)(OCC(C)C)OCC(C)C,w/o top-K,6,0.25719556,0.2041131,0.053082466,0.25,0.75,64,TPB,B(OCCC)(OCCC)OCCC ,SP2,boronate (B-O),-0.10485758,-0.1900807,-0.2435541,-0.02999809,0.2041131,0.25719556,-0.24340892
71350748,B(CCCC)(CCCC)SC,w/o top-K,6,0.2571963,0.20411311,0.053083196,0.2916666666666667,0.7083333333333333,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.10485834,-0.19007973,-0.24355564,-0.029996067,0.20411311,0.2571963,-0.24340749
408690,B(OC1(CCCCC1)C#C)(OC2(CCCCC2)C#C)OC3(CCCCC3)C#C,w/o top-K,6,0.25719073,0.20411423,0.053076506,0.12903225806451613,0.8709677419354839,1,TCEB,B(OCCC#N)(OCCC#N)OCCC#N,SP2,boronate (B-O),-0.10485645,-0.19008957,-0.24354556,-0.030012758,0.20411423,0.25719073,-0.24341907
71386314,B(CCCCCC)(CCCCCC)C(=CCCCC)CCCCCC,w/o top-K,6,0.25719503,0.20411484,0.053080186,0.20588235294117646,0.7941176470588236,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.10486018,-0.19008231,-0.24355535,-0.029998923,0.20411484,0.25719503,-0.24341027
2736203,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,w/o top-K,6,0.25719455,0.20411368,0.05308087,1.0,0.0,63,B(HFIP)3,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,SP2,halide (C-X); boronate (B-O),-0.104857825,-0.19008245,-0.2435529,-0.030000811,0.20411368,0.25719455,-0.24341103
12496359,B(CCCCCCCC)(CCCCCCCC)C(C)(C)C(C)C,w/o top-K,6,0.25719482,0.20411307,0.05308175,0.23333333333333334,0.7666666666666666,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.10485672,-0.19008167,-0.24355234,-0.030000366,0.20411307,0.25719482,-0.24341068
89239536,B(OCC(CCC)CCCCC)(OCC(CCC)CCCCC)OCC(CCC)CCCCC,w/o top-K,6,0.25719428,0.20411341,0.05308087,0.4074074074074074,0.5925925925925926,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.10485713,-0.19008239,-0.24355225,-0.030001247,0.20411341,0.25719428,-0.24341106
79559,B(OCC(C)(C)C)(OCC(C)(C)C)OCC(C)(C)C,w/o top-K,6,0.25719514,0.20411378,0.053081363,0.47368421052631576,0.5263157894736843,46,TFEB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F ,SP2,halide (C-X); boronate (B-O),-0.10485847,-0.1900816,-0.24355434,-0.029999066,0.20411378,0.25719514,-0.24340978
5326254,B(N(CC)CC)(N(CC)CC)N(CC)CC,w/o top-K,6,0.25719556,0.20411292,0.053082645,0.21052631578947367,0.7894736842105263,47,BF3·DE,B(F)(F)F.CCOCC,SP2,ether (-O-),-0.104857326,-0.1900805,-0.24355373,-0.029998355,0.20411292,0.25719556,-0.2434092
292409,B(OCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC,w/o top-K,6,0.25719416,0.20411287,0.05308129,0.7777777777777778,0.2222222222222222,114,TBB,B(OCCCC)(OCCCC)OCCCC,SP2,boronate (B-O),-0.104855925,-0.19008236,-0.2435509,-0.030002166,0.20411287,0.25719416,-0.24341169
5326254,B(N(CC)CC)(N(CC)CC)N(CC)CC,w/o top-K,6,0.25719556,0.20411292,0.053082645,0.21052631578947367,0.7894736842105263,47,BF3·DE,B(F)(F)F.CCOCC,SP2,ether (-O-),-0.104857326,-0.1900805,-0.24355373,-0.029998355,0.20411292,0.25719556,-0.2434092
