cid,doi,literature_type,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
5462311,10.1371/journal.pone.0298331,paper,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
6331,10.1039/b507805a,paper,BH3,B,00000371020000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,14.0327803,1,LIB,0
6331,10.1097/00001813-199012000-00004,paper,BH3,B,00000371020000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,14.0327803,1,Other,0
10125044,10.1371/journal.pone.0298331,paper,B,[11B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
25058173,10.1002/cssc.201601104,paper,C9H7BF2N2,[B-]1(N2C=CC=C2C=C3[N+]1=CC=C3)(F)F,0000037182730180000000000000000000000000000162000000200000000000000040018000141C00000000000808C116043C8092081000A0013467440082802031022008D8203864980820E2C09191840008608000C8C8061000000000000000000000000000000000000000000000000000,7.9,192.0670347,14,Other,0
25058173,10.1021/ol1014762,paper,C9H7BF2N2,[B-]1(N2C=CC=C2C=C3[N+]1=CC=C3)(F)F,0000037182730180000000000000000000000000000162000000200000000000000040018000141C00000000000808C116043C8092081000A0013467440082802031022008D8203864980820E2C09191840008608000C8C8061000000000000000000000000000000000000000000000000000,7.9,192.0670347,14,Other,0
23033858,EP-3396768-B1,patent,C18H15BO2,B(C1=CC=CC=C1C2=CC=CC(=C2)C3=CC=CC=C3)(O)O,00000371C27830000000000000000000000000000000000000003060C0000000000000015000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080C00E80000200000000000000040000000000000000000000,40.5,274.1165099,21,LIB,1
23033858,KR-20180026462-A,patent,C18H15BO2,B(C1=CC=CC=C1C2=CC=CC(=C2)C3=CC=CC=C3)(O)O,00000371C27830000000000000000000000000000000000000003060C0000000000000015000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080C00E80000200000000000000040000000000000000000000,40.5,274.1165099,21,LIB,1
23033858,KR-102584322-B1,patent,C18H15BO2,B(C1=CC=CC=C1C2=CC=CC(=C2)C3=CC=CC=C3)(O)O,00000371C27830000000000000000000000000000000000000003060C0000000000000015000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080C00E80000200000000000000040000000000000000000000,40.5,274.1165099,21,LIB,1
2758659,CN-118315657-A,patent,C14H22BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N(C)C,00000371E2723000000000000000000000000000000120000000300000000000000000010000281E00000000000C4C81900432C083000000800024424000820000210200088800086488092022C0919184200860800048C8071000000880000000000000000000000000000000000000000000,21.7,247.1743591,18,LIB,1
2758659,US-9480166-B2,patent,C14H22BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N(C)C,00000371E2723000000000000000000000000000000120000000300000000000000000010000281E00000000000C4C81900432C083000000800024424000820000210200088800086488092022C0919184200860800048C8071000000880000000000000000000000000000000000000000000,21.7,247.1743591,18,Other,0
10153988,JP-2011514936-A,patent,BNi,[B].[Ni],00000371020000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,68.944647,2,LIB,1
13862916,CN-102471729-A,patent,C7H9BO3,B(O)(O)OC1=CC=CC=C1C,00000371C2603000000000000000000000000000000000000000300000000000000000010000081A00000800000C0480980032068000000080022042000002000020200008880006088808262280111280300024C01108880780C0200E00000000000800000000000000100000000000000000,49.7,152.0644743,11,LIB,0
94214,US-6143443-A,patent,C7H14O6,CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,00000371C0603800000000000000000000000000000000000000240000000000000000000000001A00000800000814B08003020800000600000000000000000000000000000000000000111002000000224000050000070001C0600C0000000000000000000000000000000000000000000000,99.4,194.07903816,13,Other,0
2783239,KR-100788162-B1,patent,C8H5BF6O2,B(C1=C(C=CC=C1C(F)(F)F)C(F)(F)F)(O)O,00000371827031C0000000000000000000000000000000000000300000000000000000010000281900000800000C008018103000800000008002204200000200002000000888000000880820228011108020002080000888070080400E00000200000000000000040000000000000000000000,40.5,258.0286785,17,LIB,0
9816075,US-11075406-B2,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,ZIB,0
