UMAP1,UMAP2,additives,SMILES
-4.2586293,5.0271463,TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
-4.4085927,5.6632214,TCEB,B(OCCC#N)(OCCC#N)OCCC#N
-4.856682,6.405943,TMBx,COB1OB(OC)OB(OC)O1
-5.459094,6.6000276,PFPBO,FC1=C(F)C(F)=C(F)C(B(OC2=O)OC2=O)=C1F
-4.3742313,2.5459723,LiPVAOB,CCC1O[B-](OC2=O)(OC2=O)OC(C)C1.[Li+]
-2.568857,1.8034395,(C6H3F)O2B(C8H3F6),Fc1cccc2c1OB(c3cc(C(F)(F)F)ccc3C(F)(F)F)O2
-5.152494,6.6902633,TBDB,CC1(COB(OC1)B1OCC(CO1)(C)C)C
-2.437162,2.3797276,TRIFM,FC(C1=CC=NC=C1)(F)F.FB(F)F
-3.3638098,2.2467365,LBBPB,C1(C2=C(O[B-]34OC5=C(C6=C(O3)C=CC=C6)C=CC=C5)C=CC=C2)=C(O4)C=CC=C1.[Li+]
-2.3736691,2.1986344,TPhBX,B1(OB(OB(O1)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4
-4.541854,6.5856223,ITD,C(C)(C)OB1OC(C(O1)(C)C)(C)C
-6.954308,1.7782321,LBO,[Li+].[O-]B=O
8.219208,3.780596,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F
-2.3150535,2.6814468,(C3HF6O)2B(C6H5),FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F
8.340136,3.8662033,DPD-CN-OCH3,CC1(COB(OC1)C1=C(C#N)C=CC=C1OC)C
-2.5585933,1.8176628,(C6H3F)O2B(C6H3F2),Fc1cccc2c1OB(c3ccc(F)cc3F)O2
-4.7984896,6.4666424,TiPBx,CC(C)OB1OB(OC(C)C)OB(OC(C)C)O1
-4.3686924,6.0014114,THFBuBO,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F 
-3.7973979,2.26787,LBSB,O=C(O1)C2=CC=CC=C2O[B-]13OC4=CC=CC=C4C(O3)=O.[Li+]
-4.747298,3.6981542,C-LiMCFB,F[B-](F)(F)OCC1OCCOCCOCCOCCOC1
-5.1854606,4.8439455,L-LiMCFB,F[B-](F)(OCCOCCOCCOCCOCCOC)F.[Li+]
-8.067926,-3.4565885,Li2TB,[Li+].[Li+].B(=O)OB([O-])OB([O-])OB=O
-5.329233,5.429152,TME,COCCB(CCOC)CCOC
-4.182478,2.4523482,LiBFSB,FC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(F)=C3O2)=O)C)=O)=CC=C1.[Li+]
-5.7936864,5.76939,NHCABT,FB(F)F.CN1CCN(C)C1
-2.315156,2.724305,(C3HF6O)2B(C6F5),FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F.[F]
-5.2168064,6.0054855,HBC,C=C(C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C
-4.783725,6.1040907,TnPBx,CCCOB1OB(OCCC)OB(OCCC)O1
-3.3437665,2.2431488,LBNB,C12=CC=CC=C1C=C(O[B-]3(OC4=CC5=CC=CC=C5C=C4O3)O6)C6=C2.[Li+]
-5.202632,6.016154,LBC,C=C(C(OCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C
7.4797816,4.806947,ADM,B1(OC(=O)CN(CC(=O)O1)C)C  
-2.1916611,2.6127841,(C3HF6O)2B(C6H3F2),Fc1cc(B(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)cc(F)c1
8.3777685,3.6204617,DPD,CC1(COB(OC1)C1=CC=CC=C1)C
-4.707844,3.5743275,PRZ,F[B-](F)(F)[N+]1=CC=[N+]([B-](F)(F)F)C=C1
