id,name
0,BEG-1
1,LBNB
2,THB
3,LBBB
4,LBBPB
5,LBO
6,TAB
7,TFPB
8,TFPBO
9,TPF
10,TPFPB
11,3-MLBSB
12,DCLBSB
13,LBSB
14,LiBSB
15,PBA
16,TCLBSB
17,(C3HF6O)2B(C6F5)
18,(C3HF6O)2B(C6H3F2)
19,(C3HF6O)2B(C6H5)
20,(C6F12)O2B(C6F5)
21,(C6F12)O2B(C6H3F2)
22,(C6F12)O2B(C6H5)
23,(C6F4)O2B(C6F5)
24,(C6F4)O2B(C6H3F2)
25,(C6F4)O2B(C6H4F)
26,(C6F4)O2B(C7H3F6)
27,(C6F4)O2B(C8H3F6)
28,(C6H3F)O2B(C6H3F2)
29,(C6H3F)O2B(C7H4F3)
30,(C6H3F)O2B(C8H3F6)
31,LiMOB
32,ABA#1
33,LiBOB
34,LiDFOB
35,PFPTFBB
36,TEB
37,THFPB
38,LBDOB
39,LiBF4
40,PFPBO
41,TEBx
42,TMB
43,TMBx
44,TiPBx
45,TnPBx
46,LiODFB
47,LBC
48,LBCB
49,LBDCB
50,LOCB
51,4FLBDOB
52,LiBBrSB
53,LiBCl2SB
54,LiBClSB
55,LiBFSB
56,LiBMSB
57,LiPAAOB
58,LiPVAOB
59,LiSOB
60,2F-PBF
61,3F-PBF
62,LUTID
63,Li3BO3
64,PBF
65,PCN
66,PRZ
67,TRIFM
68,VPBF
69,B-HEMA
70,HBC
71,LiBO2
72,THFB
73,THFBuBO
74,LDFOB
75,Li[BScB]
76,TFEB
77,TPB
78,TTFEB
79,B-PEGMA
80,B2O3
81,DEBA
82,TMSB
83,ADM
84,DiOB-An
85,DiOB-Py
86,TPhBX
87,BDB
88,BF3·DE
89,LiBMAB
90,TBDB
91,TCEB
92,BF₃·DE
93,BPC
94,H3BO3
95,B(OPh)3
96,DPD
97,DPD-CHO
98,DPD-CN
99,DPD-CN-OCH3
100,DPD-COOCH2CH3
101,DPD-F
102,FBA
103,TME
104,TMF
105,TRIZIN
106,B(HFIP)3
107,ITD
108,K2B4O5(OH)4
109,LiB5AB
110,NaDFOB
111,Na[B(hfip)4]
112,SOFPB
113,TBB
114,TMSPB
115,TTFB
116,BF3-THF
117,C-LiMCFB
118,L-LiMCFB
119,Li2TB
120,LiBPh4
121,LiFPB
122,LiT4PAB
123,MDMB
124,NHCABT
125,NaTFPB
