cid,formula,SMILES,fingerprint,topological,weight,heavy_atom,label
2762526,C7H16BBrO2,B(CBr)(OC(C)C)OC(C)C,00000371E2603000001000000000000000000000000000000000000000000000000000000000281A00400000004814A080020200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,18.5,222.04267,11,1
72698549,C10H23BCl3N,[B-]([N+](C)(C)CCCCCCCC)(Cl)(Cl)Cl,00000371E2720000060000000000000000000000000000000000000000000000000000000000105C00000000000800C100040200030000000000000000000000000000000000000800000000020080000400000000000000011080800000000000000000000000000000000000000000000000,0.0,273.098913,15,1
10899860,C12H23BO2,B(C#CCCCC)(OC(C)C)OC(C)C,00000371E2703000000000000000000000000000000000000000000000000000000000000000281A00000000000814A080020200000000004010000000080000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000,18.5,210.1791101,15,1
5326226,C8H19BO2,B(C(C)(C)C(C)C)(OC)OC,00000371E2703000000000000000000000000000000000000000000000000000000000000000281A00000000000D008000020200000000000000000000000000000000000000000000000000000000000000000000000000000000000880000000000000000000000000000000000000000000,18.5,158.14781,11,1
11183996,C14H27BO2,B(C#CCCCCCC)(OC(C)C)OC(C)C,00000371E2703000000000000000000000000000000000000000000000000000000000000000281A00000000000814A080020200000000004010000000080000000000000000000000000000020000000000000000000000010080000000000000000000000000000000000000000000000000,18.5,238.2104103,17,1
11241344,C12H27BO2,B(CC(C)C)(OCC(C)C)OCC(C)C,00000371E2703000000000000000000000000000000000000000000000000000000000000000281A00000000000D00A080020200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,18.5,214.2104103,15,1
12146098,C14H30BO2,[B](OC(CC)(CC)CC)OC(CC)(CC)CC,00000371E2703000000000000000000000000000000000000000000000000000000000000000081A00000000000C448080000200000000000000000000000000000000000000000000000000020000000000000000000000000000000A00000000000000000000000000000000000000000000,18.5,241.2338854,17,1
12776540,C7H16BClO2,B(CCl)(OC(C)C)OC(C)C,00000371E2603000040000000000000000000000000000000000000000000000000000000000281A02000000000814A080420200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,18.5,178.0931876,11,1
71340550,C12H24BBrO2,B(C=C(CCCC)Br)(OC(C)C)OC(C)C,00000371E2703000001000000000000000000000000000000000000000000000000000000000281A00400000018814A080020200000000008000004200000000002000000000000000280000020001000000000080000000000000000000000000000000000000000000000000000000000000,18.5,290.10527,16,1
85692790,C11H23BO2,B(C(=C)C)(OCCCC)OCCCC,00000371E2703000000000000000000000000000000000000000000000000000000000000000281A00000000000800A080020200000000008000004200000000000000000000000000000000000001000000000400000000000000000000000000000000000000000000000000000000000000,18.5,198.1791101,14,1
