cid,formula,SMILES,fingerprint,topological,weight,heavy_atom,label
122587,C15H33B,B(C(C)C(C)C)(C(C)C(C)C)C(C)C(C)C,,0.0,224.2,16,1
137205,C9H21B,B(C(C)C)(C(C)C)C(C)C,,0.0,140.08,10,1
13680388,C16H35B,B(CCCCCC)(C(C)C(C)C)C(C)C(C)C,,0.0,238.3,17,1
13173740,C17H33B,B(C1CCCCC1)(C2CCCCC2)C(C)C(C)C,,0.0,248.3,18,1
18006355,C22H26BCl,B(C1CCCC1C2=CC=CC=C2)(C3CCCC3C4=CC=CC=C4)Cl,,0.0,336.7,24,1
18006318,C23H29B,B(C)(C1CCCC1C2=CC=CC=C2)C3CCCC3C4=CC=CC=C4,,0.0,316.3,24,1
90226054,C10H11BF2O,B([C@H]1C[C@H]1OCC2=CC=CC=C2)(F)F,,0.0,196.0,14,1
59103255,C23H29B,B(C)([C@H]1CCC[C@@H]1C2=CC=CC=C2)[C@H]3CCC[C@@H]3C4=CC=CC=C4,,0.0,316.3,24,1
86231752,C17H35B,B(C1CCCCCC1)(C(C)C(C)C)C(C)C(C)C,,0.0,250.3,18,1
10108682,C16H22BF3O,B(C1=C(C=CC(=C1)O[C@@H]2C[C@@H](CC[C@H]2C(C)C)C)F)(F)F,,0.0,298.2,21,1
86231748,C18H37B,B(C1CCCCCCC1)(C(C)C(C)C)C(C)C(C)C,,0.0,264.3,19,1
59103247,C22H26BCl,B([C@H]1CCC[C@@H]1C2=CC=CC=C2)([C@H]3CCC[C@@H]3C4=CC=CC=C4)Cl,,0.0,336.7,24,1
10804449,C20H37BO,B(CCCCCCC1=COC=C1)(C(C)C(C)C)C(C)C(C)C,,0.0,304.3,22,1
10991326,C22H26BCl,B([C@@H]1CCC[C@H]1C2=CC=CC=C2)([C@H]3CCC[C@@H]3C4=CC=CC=C4)Cl,,0.0,336.7,24,1
11758892,C23H29B,B(C)([C@@H]1CCC[C@H]1C2=CC=CC=C2)[C@H]3CCC[C@@H]3C4=CC=CC=C4,,0.0,316.3,24,1
56635468,C15H33B,B([C@H](C)C(C)C)([C@H](C)C(C)C)[C@H](C)C(C)C,,0.0,224.2,16,1
12567886,C18H39B,B(CCCCCCCC)(C(C)C(C)C)C(C)C(C)C,,0.0,266.3,19,1
11816807,C15H27B,B(C1CCCC1)(C2CCCC2)C3CCCC3,,0.0,218.19,16,1
3056362,C39H69BO3,B(OC(C1CCCCC1)C2CCCCC2)(OC(C3CCCCC3)C4CCCCC4)OC(C5CCCCC5)C6CCCCC6,,0.0,596.8,43,1
352516,C21H45BO3,B(OC(C(C)C)C(C)C)(OC(C(C)C)C(C)C)OC(C(C)C)C(C)C,,0.0,356.4,25,1
59423038,C36H63BO3,B(OC1CCC(CC1)C2CCCCC2)(OC3CCC(CC3)C4CCCCC4)OC5CCC(CC5)C6CCCCC6,,0.0,554.7,40,1
10036275,C12H26BCl,B(CCCCCC)(CCCCCC)Cl,00000371E27000000400000000000000000000000000000000000000000000000000000000002058000000000008008000000200000000000000000000000000000000000000000000000000020000000000000000000000010000000000000000000000000000000000000000000000000000,0.0,216.1816087,14,2
88036148,C14H30BCl,B(CCCCCCC)(CCCCCCC)Cl,00000371E27000000400000000000000000000000000000000000000000000000000000000002058000000000008008000000200000000000000000000000000000000000000000000000000020000000000000000000000010080000000000000000000000000000000000000000000000000,0.0,244.2129088,16,2
11129793,C8H17BBr2,B(CCCCCCCC)(Br)Br,00000371E27000000018000000000000000000000000000000000000000000000000000000002038000000000008008000000200000000000000000000000000000000000000000000000000020000000000000000000000010080800000000000000000000000000000000000000000000000,0.0,281.97901,11,2
14387776,C11H25BO2S,B(CCSC)(OCCCC)OCCCC,00000371E2703000400000000000000000000000000000000000000000000000000000000000281A04000000000800A4C0028200000000080000000000000000000000100000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000,43.8,232.1668314,15,2
86634945,C8H17BO2-,[B]([O-])OCCCCCCCC,00000371E2703000000000000000000000000000000000000000000000000000000000000000081A00000000000800A0800202000000000000000000000000000000000000000000000000000200000000000004000000000180C0A00000000000000000000000000000000000000000000000,32.3,156.1321599,11,2
