cid,formula,SMILES,fingerprint,topological,weight,heavy_atom,label
20773371,C12H22BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CCN(CC2)C,00000371E2723000000000000000000000000000000120000000200000000000000000000000281E00000000000C44C180040200030000008000204200008000002000000008000800080100000001000400000000008800020000000880000000000000000000000000000000000000000000,21.7,223.1743591,16,1
15012628,C21H39B,B(CC1CCCCC1)(CC2CCCCC2)CC3CCCCC3,00000371F27800000000000000000000000000000000000000003060C0000000000000000000201800000000000D008000000000000000000000000000000000000000000000000000000000020000000000000000000000010080000E00000000000000000000000000000000000000000000,0.0,302.3144814,22,1
3697076,C14H23BO4,B1(OC(C(O1)(C)C)(C)C)C2=CCC3(CC2)OCCO3,00000371E2703800000000000000000000000000000122400000200000000000000000000000281A00000000000C44A0800202080000040080002042000000000020000000080000000811000200010022000004C0000E00030000000880000000000000000000000000000000000000000000,36.9,266.1689394,19,1
10932675,C12H21BO2,B1(OC(C(O1)(C)C)(C)C)C2=CCCCC2,00000371E2703000000000000000000000000000000120000000200000000000000000000000281A00000000000C448080000200000000008000204200000000002000000008000000080100020001000000000080000800030000000880000000000000000000000000000000000000000000,18.5,208.1634601,15,1
42614649,C11H21BO3,B1(OC(C(O1)(C)C)(C)C)C2CCOCC2,00000371E2703000000000000000000000000000000120000000240000000000000000000000281A00000000000C44A080020200000004000000000000000000000000000000000000000100020000000200000400000000008000000880000000000000000000000000000000000000000000,27.7,212.1583747,15,1
59351432,C13H23BO3,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)OC,00000371E2703000000000000000000000000000000120000000200000000000000000000000281A00000000000C54A0800202000000040080002042000000000020000000080000000801000200010000000004C0000800030000000880000000000000000000000000000000000000000000,27.7,238.1740248,17,1
2758015,C9H17BO2,B1(OC(C(O1)(C)C)(C)C)C2CC2,00000371E2703000000000000000000000001800000120000000000000000000000000000000281A00000000000C448080000200000000000000000000000000000000000000000000000100000000000000000000000000000000000880000000000000000000000000000000000000000000,18.5,168.1321599,12,1
45790007,C12H24BNO2,B1(OC(C(O1)(C)C)(C)C)C2CCN(CC2)C,00000371E27230000000000000000000000000000001200000002C0000000000000000000000281E00000000000C44C180040200030000000000000000000000000000000000000800000100020080000400000000008000001000000880000000000000000000000000000000000000000000,21.7,225.1900092,16,1
59238690,C16H28BNO3,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)N3CCOCC3,00000371E27A30000000000000000000000000000001200000002C4000000000000000000000281E00000000000C6CE180060200030004008000204200000000002000000008000800080300020081000700000080009800030000000880000000000000000000000000000000000000000000,30.9,293.2162239,21,1
10901594,C7H14BIO2,B1(OC(C(O1)(C)C)(C)C)CI,00000371C2603000000200000000000000000000000120000000000000000000000000000000281A00200000000C448080000200000000000000000000000000000000000000000000000100000000000000000000000000000000000880000000000000000000000000000000000000000000,18.5,268.01316,11,1
11311685,C13H26B2O4,B1(OC(C(O1)(C)C)(C)C)CB2OC(C(O2)(C)C)(C)C,00000371E3703800000000000000000000000000000122400000000000000000000000000000281A00000000000C448080000200000000000000000000000000000000000000000000000100000000000000000000000000000000000880000000000000000000000000000000000000000000,36.9,268.2017196,19,1
12569888,C13H23BO2,B1(OC(C(O1)(C)C)(C)C)C=C2CCCCC2,00000371E2703000000000000000000000000000000120000000300000000000000000000000281A00000000000C448080000200000000008002004200000000002000000000000000080100020001000000000080000000010000000880000000000000000000000000000000000000000000,18.5,222.1791101,16,1
13201843,C11H21BO2,B1(OC(C(O1)(C)C)(C)C)C2CCCC2,00000371E27030000000000000000000000000000001A2000000000000000000000000000000281A00000000000C448080000200000000000000000000000000000000000000000000000100020000000000000000000000000000000880000000000000000000000000000000000000000000,18.5,196.1634601,14,1
15486605,C16H29BO2,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)C(C)(C)C,00000371E2783000000000000000000000000000000120000000200000000000000000000000281A00000000000F448080000200000000008000204200000000002000000008000000080100020001000000000080000800030000000F80000000000000000000000000000000000000000000,18.5,264.2260603,19,1
23142541,C14H23BO2,B1(OC(C(O1)(C)C)(C)C)C2=CCC3(CC2)CC3,00000371E2703000000000000000000000001800000120000000200000000000000000000000281A00000000000E448080000200000000008000204200000000002000000008000000080100020001000000000080000800030000000F80000000000000000000000000000000000000000000,18.5,234.1791101,17,1
23141576,C16H27BO2,B1(OC(C(O1)(C)C)(C)C)C2=CCC3(CCCC3)CC2,00000371E27830000000000000000000000000000001A2000000200000000000000000000000281A00000000000E448080000200000000008000204200000000002000000008000000080100020001000000000080000800030080800F80000000000000000000000000000000000000000000,18.5,262.2104103,19,1
45787285,C11H21BO3,B1(OC(C(O1)(C)C)(C)C)C2CCCOC2,00000371E2703000000000000000000000000000000120000000240000000000000000000000281A00000000000C44A080020200000004000000000000000000000000000000000000000100020000000200000400000000008000000880000000000000000000000000000000000000000000,27.7,212.1583747,15,1
46850670,C12H21BO2,B1(OC(C(O1)(C)C)(C)C)C2(CC2)C3CC3,00000371E2703000000000000000000000001830000120000000000000000000000000000000281A00000000000D448080000200000000000000000000000000000000000000000000000100020000000000000000000000010000000C80000000000000000000000000000000000000000000,18.5,208.1634601,15,1
