cid,formula,SMILES,fingerprint,topological,weight,heavy_atom,label
11090867,C17H14BClFNO7,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)Cl)C3CC3,00000371C27A3900040000000000000000001800000000000000304000000000000000810000081F02000000000C2EC1982C32C8830000008802A4D648008200002507000088010866C808243EC9969184218864A000C8C9C798D9A39E04000000020200000800000004040000000000000000,99.2,409.0535878,28,1
15877487,C9H13BO3,B(C1=CC=CC=C1OC)(OC)OC,00000371C2703000000000000000000000000000000000000000300000000000000000010000281A000000000008048090023206800004008000204200000208002020000888000608880C262284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,27.7,180.0957744,13,1
57041839,C14H25BO2Si2,B(C1=CC(=CC=C1)C=C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C000000000000000000000000000000000000300000000000000000010000281810000040000C008018007200800000018002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,18.5,292.1486133,19,1
3980668,C12H13BF2O2,[B-]1(OC(=CC(=[O+]1)C2=C(C=C(C=C2)C)C)C)(F)F,00000371C27031800000000000000000000000000000000000003040000000000000000100000C1A00000000000C048098003200800000008802A05200000200002420000888010000C80820328015108021002080000889870888C08EC0000200001000008000040000200000000000000000,10.2,238.0976661,17,1
15091546,C8H12B2O8,B(B(OC(=O)C)OC(=O)C)(OC(=O)C)OC(=O)C,00000371C3703C00000000000000000000000000000000000000000000000000000000000000481A000000000000008080000208000000000800009008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,105.0,258.0718277,18,1
18762943,C4H6BO4,[B](OC(=O)C)OC(=O)C,0000037182603800000000000000000000000000000000000000000000000000000000000000081A000000000000008080000208000000000800009008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,52.6,129.0359138,9,1
71390453,C14H25BO2Si2,B(C1=CC=CC=C1C=C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C000000000000000000000000000000000000300000000000000000010000281810000040000C008018007200800000018002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,18.5,292.1486133,19,1
78020,C9H27BO3Si3,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000810100000400000000000004200000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,278.1361045,16,1
425307,C6H9BO6,B(OC(=O)C)(OC(=O)C)OC(=O)C,00000371C2603800000000000000000000000000000000000000000000000000000000000000081A000000000000008080000208000000000800009008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,78.9,188.0492182,13,1
12418354,C12H23BO2Si2,B(C1=CC=CC=C1)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C0000000000000000000000000000000000003000000000000000000100002818100000400008008010007200800000018000204200000200002000000888000000880820228011108020002080000888070000000000000000000000000000000000000000000000000000,18.5,266.1329632,17,1
22338812,C13H13BF2O3,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F,00000371C27031800000000000000000000000000000000000003040000000000000008100000C1A00000000000C048098023206800004008802A05200000208002020000888010608C80C263284311A80302024C01108A90788E8FC8EA0000100001000004000020000200000000000000000,35.5,266.0925808,19,1
56973279,C11H10BBrClNO4,B1(OC(=O)CN(CC(=O)O1)C)C2=CC(=CC(=C2)Br)Cl,00000371C2723800041000000000000000000000000000000000300000000000160000010000281E0240000001A802C19024320883000000880020D208000200002005040088008802A80A2022811330802000208000988A170000000000000000004000000000000000800000000000000000,55.8,344.95748,19,1
517955,C4H11B,B(C)(C)CC,,0.0,69.94,5,1
86676488,C9H13BO5,B(C1=CC=CC=C1OC)(OOC)OOC,,0.0,212.01,15,1
71197713,C8H6BCl3O2S,B(=CS(=O)(=O)C1=CC(=C(C=C1Cl)Cl)Cl)C,,0.0,283.4,15,1
70248074,C11H13BO3,B(C1=CC(=CC=C1)OC)(OC=C)OC=C,,0.0,204.03,15,1
88314229,C8H5BCl6O2,B(C1=CC=CC=C1)(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,,0.0,356.6,17,1
59264358,C13H15BO,B(C)(C)C1=CC2=C(C=C1)C(=CC(=C)O2)C,,0.0,198.07,15,1
59456390,C16H27BO5,B(C1=C(C=C(C=C1OC)COC)OC)(OC(C)C)OC(C)C,,0.0,310.2,22,1
59560920,C3H9BO2S,B(C)(C)S(=O)(=O)C,,0.0,119.98,7,1
59744592,C9H13BO2S,B(C)(C)C1=CC=C(C=C1)S(=O)(=O)C,,0.0,196.08,13,1
59773273,C11H15BO6,B(C1=C(C=CC2=C1OCO2)OCOC)(OC)OC,,0.0,254.05,18,1
70250985,C10H9BCl2O2,B(C1=CC(=CC(=C1)Cl)Cl)(OC=C)OC=C,,0.0,242.89,15,1
59346439,C5H13BO2S,B(C)(C)S(=O)(=O)CCC,,0.0,148.04,9,1
138247,C3H9BO,B(C)(C)OC,,0.0,71.92,5,1
13301362,C11H15BO4,B(C1=CC2=C(C=C1)OCO2)(OCC)OCC,,0.0,222.05,16,1
13789232,C6H4B2Cl4,B(C1=CC=CC=C1B(Cl)Cl)(Cl)Cl,,0.0,239.5,12,1
68979,C3H9B,B(C)(C)C,,0.0,55.92,4,1
25068199,C18H17BFNO8,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=C(C1=O)C=CC(=C2OC)F)C3CC3,,0.0,405.1,29,1
21617059,C18H45BO3Si3,B(O[Si](CC)(CC)CC)(O[Si](CC)(CC)CC)O[Si](CC)(CC)CC,,0.0,404.6,25,1
17824463,C4H11BO3,B(OC)(OC)OCC,,0.0,117.94,8,1
88388940,C10H23BO3S,B(OCC)(OCC)OCCSC(C)(C)C,,0.0,234.17,15,1
68449401,C45H51BO3,B(OC1=C(C(=C(C=C1)CC=C)CC=C)CC=C)(OC2=C(C(=C(C=C2)CC=C)CC=C)CC=C)OC3=C(C(=C(C=C3)CC=C)CC=C)CC=C,,0.0,650.7,49,1
21732502,C4H6BF2O4-,[B-](OC(=O)C)(OC(=O)C)(F)F,,0.0,166.9,11,1
70231289,C24H21BO9,B(OC1=CC=C(C=C1)C(=O)OC)(OC2=CC=C(C=C2)C(=O)OC)OC3=CC=C(C=C3)C(=O)OC,,0.0,464.2,34,1
86756789,C8H7BO5-2,B([O-])([O-])OC1=CC=C(C=C1)C(=O)OC,,0.0,193.95,14,1
86587031,C5H4BNO2-,[B]([O-])OC1=CC=CC=N1,00000371826230000000000000000000000000000000000000002C0000000000000000018000081E00000000000800C192043C8492081000A0003067440082802031222008D8203E6C980826E2C0919384300864C011C8C8069010000000000000000000000000000000000000000000000000,45.2,121.0335085,9,2
66709077,C8H15BN2O2,B(C1=CN(N=C1)C)(OCC)OCC,00000371C2733000000000000000000000000000000160000000000000000000000000018000281E00080000000800E192062E8092080000A200106744009004001180001050202844100000804041400484080008004000000000000000000000000000000000000000000000000000000000,36.3,182.1226579,13,2
23358743,C23H17BCl2F2N2O,B(C1=CC=C(C=C1)F)(C2=CC=C(C=C2)F)OC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,,0.0,457.1,31,2
88897064,C13H13BFNO,BC1=C(C=C(C=C1)OCCC2=CC=NC=C2)F,,0.0,229.06,17,2
23358748,C17H13BF2N2O,B(C1=CC=C(C=C1)F)(C2=CC=C(C=C2)F)OCC3=CN=CN=C3,,0.0,310.1,23,2
53941433,C27H21BN6,B(C1=C(NN=C1)C2=CC=CC=C2)(C3=C(NN=C3)C4=CC=CC=C4)C5=C(NN=C5)C6=CC=CC=C6,,0.0,440.3,34,2
54011501,C18H27BN6,B(C1=CC(=NN1)C(C)C)(C2=C(NN=C2)C(C)C)C3=C(NN=C3)C(C)C,,0.0,338.3,25,2
88897081,C10H10BFN2O,BC1=C(C=C(C=C1)OCC2=CC=NN2)F,,0.0,204.01,15,2
88897100,C12H11BFNO,BC1=C(C=C(C=C1)OCC2=CC=CC=N2)F,,0.0,215.03,16,2
22369691,C29H19BCl2F2N2O,B(C1=CC=C(C=C1)F)(C2=CC=C(C=C2)F)OC(C3=CC=C(C=C3)Cl)(C4=CC=CC=C4Cl)C5=CN=CN=C5,,0.0,531.2,37,2
11530866,C19H19BCl2N2O,B(C1=CC(=C(C=C1)C)Cl)(C2=CC(=C(C=C2)C)Cl)OCC3=NC=CN3C,,0.0,373.1,25,2
53650066,C21H15BN6S3,B(C1=C(NN=C1)C2=CC=CS2)(C3=C(NN=C3)C4=CC=CS4)C5=C(NN=C5)C6=CC=CS6,,0.0,458.4,31,2
57596338,C8H12BN,B(C)(C)C1=C(C=CC=N1)C,,0.0,133.0,10,2
11501640,C19H19BCl2N2O,B(C1=CC(=C(C=C1)C)Cl)(C2=CC(=C(C=C2)C)Cl)OCC3=CN(C=N3)C,,0.0,373.1,25,2
11668180,C20H21BCl2N2O,B(C1=CC(=C(C=C1)C)Cl)(C2=CC(=C(C=C2)C)Cl)OCC3=NC=CN3CC,,0.0,387.1,26,2
54356631,C30H30BN9,B(C1=C(NN=C1C2=C(N=CC=C2)C)C)(C3=C(NN=C3C4=C(N=CC=C4)C)C)C5=C(NN=C5C6=C(N=CC=C6)C)C,,0.0,527.4,40,2
67395572,C20H18BCl2NO,B(CC1=CC=CC=N1)(C2=CC(=C(C=C2)C)Cl)OC3=CC(=C(C=C3)C)Cl,,0.0,370.1,25,2
69337687,C19H19BCl2N2O,B(C1=CC(=C(C=C1)C)Cl)(C2=CC(=C(C=C2)C)Cl)OCC3=NC=C(N3)C,,0.0,373.1,25,2
69421823,C25H23BCl2N2,B(C1=CC(=C(C=C1)C)Cl)(C2=CC(=C(C=C2)C)Cl)C(C3=CC=CC=C3)C4=C(NC=N4)C,,0.0,433.2,30,2
10225777,C25H23BCl2N2O,B(C1=CC(=C(C=C1)C)Cl)(C2=CC(=C(C=C2)C)Cl)OC(C3=CC=CC=C3)C4=C(NC=N4)C,,0.0,449.2,31,2
58343912,C11H13BN2O,B(C)(C)C1=CC=C(C=C1)CC2=NC=NO2,,0.0,200.05,15,2
59420151,C6H11BN2,B(C)(C)C1=CN(N=C1)C,,0.0,121.98,9,2
59561143,C36H27BN6,B(C1=CN=C2C(=N1)CC3=C2C=CC(=C3)C)(C4=CN=C5C(=N4)CC6=C5C=CC(=C6)C)C7=CN=C8C(=N7)CC9=C8C=CC(=C9)C,,0.0,554.5,43,2
54278664,C18H27BN6,B(N1C=CC(=N1)CCC)(N2C=CC(=N2)CCC)N3C=CC(=N3)CCC,,0.0,338.3,25,2
59027542,C11H13BN6,B(N1C=CC=N1)(N2C=CC=N2)N3C(=CC(=N3)C)C,,0.0,240.07,18,2
