cid,formula,SMILES,fingerprint,topological,weight,heavy_atom,label
45933666,C10H14BF3N2O2,B1(OC(C(O1)(C)C)(C)C)C2=C(NN=C2)C(F)(F)F,00000371C2733180000000000000000000000000000162400000000000000000000000018000281F00180000000C4CC196142E8090630000A2011467400090040020800010392020441801208000C0C00084004008000040000000000880000000000000000000000000000000000000000000,47.1,262.1100423,18,-1
3592790,C14H17BO2S2,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(S2)C3=CC=CS3,00000371E270300060000000000000000000000000012244800000000000000000000001E000281A04000000000C4484D000B20180000008840020420000030080200810488818000088092022A011108020002080002888070080800880000000000000000000000000000000000000000000,74.9,292.0763023,19,-1
46739108,C15H24BNO4,B1(OC(C(O1)(C)C)(C)C)C2=CC=CN2C(=O)OC(C)(C)C,00000371E2723800000000000000000000000000000162400000000000000000000000018000281E00000000000C44C192043E88930C1400A80030675C0082802031022008D8203864980920C04081810C0008400600C040000000000880000000000000000000000000000000000000000000,49.7,293.1798384,21,-1
11241171,C11H16BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=N2,00000371E27230000000000000000000000000000001200000002C0000000000000000018000281E00000000000C44C192043E8092081000A0003067440082802031022008D8203864980920E2C09191842008608000C8C8061000000880000000000000000000000000000000000000000000,31.4,205.1274089,15,-1
11322471,C14H18BNO2,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CNC3=CC=C2,00000371E272300000000000000000000000000000016240000030000000000000005801F000281E00100000000C4CC19E043EC0F2C99000A0033467440082802031022008D9A03864980920E2C09191842008609000C8C8071080800E80000000000200000000000000040000000000000000,34.3,243.143059,18,-1
17998916,C20H32BN3O4,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)N3CCN(CC3)C(=O)OC(C)(C)C,00000371F27B38000000000000000000000000000001200000002C5800000000000000018000281E00000000000C44C192043FB893081400A80032677C0082802931022009D820386498896062C099919C2008688602C8C8261000000880000000000000000000000000000000000000000000,64.1,389.2485867,28,-1
12067060,C11H15BClNO2,B1(OC(C(O1)(C)C)(C)C)C2=C(N=CC=C2)Cl,00000371C27230000400000000000000000000000001200000002C0000000000000000018000281E02000000000C46C192243E8092081000A0003067440082802031062008D8203866980920E2C19391842008608000C8C8061000000880000000000000000000000000000000000000000000,31.4,239.0884366,16,-1
45480187,C14H19BN2O2,B1(OC(C(O1)(C)C)(C)C)C2=C3C=NN(C3=CC=C2)C,00000371E273300000000000000000000000000000016240000030000000000000005801F000281E00080000000C4CC19E043EC0F2080000A2033467440092040021820018D8203864980920A2C0D1D184A40860880048C8071080000E80000000000200000000000000040000000000000000,36.3,258.153958,19,-1
16218385,C13H21BN2O4,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CC(=O)OCC,00000371E2733800000000000000000000000000000162400000000000000000000000018000281E00080000000C44E192062E8892080400AA0010F74C00900400118000105020A84410030080404160078408000800D000000000000880000000000000000000000000000000000000000000,62.6,280.1594373,20,-1
16414228,C15H25BN4O2,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(N=C2)N3CCN(CC3)C,00000371E273B0000000000000000000000000000001200000002C5800000000000000018000281E00000000000C44C192042F9097081000A000106764008080291100A0015020284410814880404940140408080002C000200000000880000000000000000000000000000000000000000000,50.7,304.2070562,22,-1
10658979,C14H17BO2S,B1(OC(C(O1)(C)C)(C)C)C2=CSC3=CC=CC=C23,00000371E270300040000000000000000000000000012240000030000000000000004801F000281A04000000000C4484D800B201C0000008840220420000030080200810488818000088092022A011108020002080002888070080800E80000000000400000000000000080000000000000000,46.7,260.1042311,18,-1
46738035,C14H19BN2O2,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)N=C(N3)C,00000371E273300000000000000000000000000000016240000030000000000000005801F000281E00100000000C4C81970033D0B6C99000A0012662640082802DA112A00999203074988968A2C09991942008689002C8C8271000000880000000000000200000000000000040000000000000,47.1,258.153958,19,-1
42614587,C12H18BNO2,B1(OC(C(O1)(C)C)(C)C)C2=NC=C(C=C2)C,00000371E27230000000000000000000000000000001200000002C0000000000000000018000281E00000000000C44C19A043E8092081000A0023067440082802031022008D8203864980920E2C09191842008608000C8C8061000000C80000000000000000000000000000000000000000000,31.4,219.143059,16,-1
