cid,formula,SMILES,fingerprint,topological,weight,heavy_atom,label
17750283,C12H18BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2)C,00000371E27230000000000000000000000000000001200000002C0000000000000000018000281E00000000000C44C19A043E8092081000A0023067440082802031002000D8202844980920E2C09191842008608000C8C8061000000C80000000000000000000000000000000000000000000,31.4,219.143059,16,5
4912748,C11H19BN2O2,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NN2C)C,00000371E2733000000000000000000000000000000162400000000000000000000000018000281E00080000000C4C819604328092080000A2012462440090040021820010582038641801200040C1C00484084008004040000000000880000000000000000000000000000000000000000000,36.3,222.153958,16,5
17998916,C20H32BN3O4,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)N3CCN(CC3)C(=O)OC(C)(C)C,00000371F27B38000000000000000000000000000001200000002C5800000000000000018000281E00000000000C44C192043FB893081400A80032677C0082802931022009D820386498896062C099919C2008688602C8C8261000000880000000000000000000000000000000000000000000,64.1,389.2485867,28,5
58474539,C15H24BN3O3,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CCN3CCCC3=O,00000371E2733000000000000000000000000000000162C48000000000000000000000018000281E00080000000C44C192042E8093080000AA001177540090040011800010502128441001409040C140148408000E00C000000400000880000000000000000000000000000000000000000000,56.6,305.1910718,22,5
10959856,C12BClF10,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)Cl,,0.0,380.38,24,7
12626668,C6BCl2F5,B(C1=C(C(=C(C(=C1F)F)F)F)F)(Cl)Cl,,0.0,248.77,14,7
15794329,C18H6BF9,B(C1=CC(=C(C(=C1)F)F)F)(C2=CC(=C(C(=C2)F)F)F)C3=CC(=C(C(=C3)F)F)F,,0.0,404.0,28,7
12994093,C36BF27,B(C1=C(C(=C(C(=C1F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F)C5=C(C(=C(C(=C5F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F,,0.0,956.2,64,7
12144236,C12HBF10,B(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,,0.0,345.93,23,7
21880957,C18H3BF12,B(C1=CC(=C(C(=C1F)F)F)F)(C2=CC(=C(C(=C2F)F)F)F)C3=CC(=C(C(=C3F)F)F)F,,0.0,458.0,31,7
22395112,C18H6BF9,B(C1=C(C=C(C=C1F)F)F)(C2=C(C=C(C=C2F)F)F)C3=C(C=C(C=C3F)F)F,,0.0,404.0,28,7
23065717,C18H11BF10,B(C1CCCCC1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,,0.0,428.1,29,7
57648520,C51H48BF9,B(C1=C(C(=C(C(=C1C)C)C2=CC=C(C=C2)C(F)(F)F)C)C)(C3=C(C(=C(C(=C3C)C)C4=CC=C(C=C4)C(F)(F)F)C)C)C5=C(C(=C(C(=C5C)C)C6=CC=C(C=C6)C(F)(F)F)C)C,,0.0,842.7,61,7
89036453,C12H2BF17O2,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,,0.0,511.93,32,7
578972,C18H29BN2,B(CC)(N1C(=C(C(=C1C)C)C)C)N2C(=C(C(=C2C)C)C)C,,0.0,284.2,21,7
71350376,C20H7BF10,B(C=CC1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,,0.0,448.1,31,7
15520534,C14H5BF10,B(CC)(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,,0.0,373.99,25,7
85750037,C14H5BF10O,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)OCC,,0.0,389.99,26,7
11159923,C6HBF6,B(C1=CC(=C(C(=C1F)F)F)F)(F)F,,0.0,197.88,13,7
71420187,C32H13BF10,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F,,0.0,598.2,43,7
22501010,C33H9BF18,B(C1=C(C(=C(C2=C1C(=C(C(=C2F)F)F)F)F)F)C)(C3=C(C(=C(C4=C3C(=C(C(=C4F)F)F)F)F)F)C)C5=C(C(=C(C6=C5C(=C(C(=C6F)F)F)F)F)F)C,,0.0,758.2,52,7
11378851,C6H2BF5,B(C1=C(C=C(C=C1F)F)F)(F)F,,0.0,179.89,12,7
87220114,C18H12BF3,B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(C=C(C=C3F)F)F,,0.0,296.1,22,7
86043659,C18BF15O,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)OC3=C(C(=C(C(=C3F)F)F)F)F,,0.0,528.0,35,7
22561586,C21H9BF12O3,B(C1=C(C(=C(C(=C1F)F)OC)F)F)(C2=C(C(=C(C(=C2F)F)OC)F)F)C3=C(C(=C(C(=C3F)F)OC)F)F,,0.0,548.1,37,7
58437010,C8H7BF4,B(C)(C)C1=C(C(=CC(=C1F)F)F)F,,0.0,189.95,13,7
71812850,C29H16BF10P,B(C1=P(CC(=C1)C)(C2=CC=CC=C2)C3=CC=CC=C3)(C4=C(C(=C(C(=C4F)F)F)F)F)C5=C(C(=C(C(=C5F)F)F)F)F,,0.0,596.2,41,7
22501000,C18H3BF12,B(C1=C(C(=C(C=C1F)F)F)F)(C2=C(C(=C(C=C2F)F)F)F)C3=C(C(=C(C=C3F)F)F)F,,0.0,458.0,31,7
88897106,C12H8BF3O,BC1=C(C(=C(C=C1)OC2=CC(=CC=C2)F)F)F,,0.0,236.0,17,7
18625300,C14H18BF5,B(CC(C)C)(CC(C)C)C1=C(C(=C(C(=C1F)F)F)F)F,,0.0,292.1,20,7
22501012,C30H3BF18,B(C1=C2C(=C(C(=C1F)F)F)C(=CC(=C2F)F)F)(C3=C4C(=C(C(=C3F)F)F)C(=CC(=C4F)F)F)C5=C6C(=C(C(=C5F)F)F)C(=CC(=C6F)F)F,,0.0,716.1,49,7
22501023,C21H9BF12,B(C1=C(C(=C(C(=C1F)F)F)C)F)(C2=C(C(=C(C(=C2F)F)F)C)F)C3=C(C(=C(C(=C3F)F)F)C)F,,0.0,500.1,34,7
22456529,C42BF27,B(C1=C2C(=C(C(=C1F)F)F)C(=C3C(=C2F)C(=C(C(=C3F)F)F)F)F)(C4=C5C(=C(C(=C4F)F)F)C(=C6C(=C5F)C(=C(C(=C6F)F)F)F)F)C7=C8C(=C(C(=C7F)F)F)C(=C9C(=C8F)C(=C(C(=C9F)F)F)F)F,,0.0,1028.2,70,7
44481407,C18H10BF6NO,B(C1=CC(=C(C(=C1)F)F)F)(C2=CC(=C(C(=C2)F)F)F)OCC3=CC=CC=N3,,0.0,381.1,27,7
87742295,C24H18BF9O3,B(C1=C(C(=CC(=C1F)F)F)OCC)(C2=C(C(=CC(=C2F)F)F)OCC)C3=C(C(=CC(=C3F)F)F)OCC,,0.0,536.2,37,7
87393879,C10BF9,B(C1=C2C(=C(C(=C1F)F)F)C(=C(C(=C2F)F)F)F)(F)F,,0.0,301.91,20,7
90189960,C24BF19,B(C1=C(C(=C(C(=C1F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F)F)F,,0.0,660.0,44,7
87742486,C24H15BF12,B(C1=C(C(=C(C(=C1F)F)CC)F)F)(C2=C(C(=C(C(=C2F)F)CC)F)F)C3=C(C(=C(C(=C3F)F)CC)F)F,,0.0,542.2,37,7
20735944,C48H44B2F8,B(C1=C(C=C(C=C1C)C)C)(C2=C(C=C(C=C2C)C)C)C3=C(C(=C(C(=C3F)F)C4=C(C(=C(C(=C4F)F)B(C5=C(C=C(C=C5C)C)C)C6=C(C=C(C=C6C)C)C)F)F)F)F,,0.0,794.5,58,7
57648529,C48H48BF3,B(C1=C(C(=C(C(=C1C)C)C2=CC=C(C=C2)F)C)C)(C3=C(C(=C(C(=C3C)C)C4=CC=C(C=C4)F)C)C)C5=C(C(=C(C(=C5C)C)C6=CC=C(C=C6)F)C)C,,0.0,692.7,52,7
90421544,C24BF27,B(C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)C(F)(F)F)(C2=C(C(=C(C(=C2F)F)C(F)(F)F)F)C(F)(F)F)C3=C(C(=C(C(=C3F)F)C(F)(F)F)F)C(F)(F)F,,0.0,812.0,52,7
11987409,C17H5BF10,B(C1C=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,,0.0,410.0,28,7
59900753,C42H44AlB2F5O2,B(C1=C(C=C(C=C1C)C)C)(C2=C(C=C(C=C2C)C)C)O[Al](C3=C(C(=C(C(=C3F)F)F)F)F)OB(C4=C(C=C(C=C4C)C)C)C5=C(C=C(C=C5C)C)C,,0.0,724.4,52,7
91417876,C20H9BCl3F5,B(C1=CC=CC=C1)(C2=C3C(=CC=C2)C(C3(Cl)Cl)Cl)C4=C(C(=C(C(=C4F)F)F)F)F,,0.0,461.4,29,7
