cid,smiles
72213449,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NN2)C3CC3
66583732,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)(C)C(=O)OCC
2769537,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)N3CCN(CC3)C
57467612,B1(OC(C(O1)(C)C)(C)C)C2=CCCCC2(C)C
45786332,B1(OC(C(O1)(C)C)(C)C)C2=NC(=CC=C2)N3CCOCC3
66520976,B1(OC(C(O1)(C)C)(C)C)C2=C(N=C(S2)C(=O)OC)C3CC3
72221308,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)N3CCOCC3)Cl
53216815,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2C)C(=O)OC(C)(C)C
79559,B(OCC(C)(C)C)(OCC(C)(C)C)OCC(C)(C)C
11781822,B(C1=CC=C(C=C1)F)(C2=CC=C(C=C2)F)OCC3=CC=CC=N3
11781822,B(C1=CC=C(C=C1)F)(C2=CC=C(C=C2)F)OCC3=CC=CC=N3
5326254,B(N(CC)CC)(N(CC)CC)N(CC)CC
66977628,B1(OC(C(O1)(C)C)(C)C)C2=C3CCN(C3=CC=C2)C(=O)OC(C)(C)C
11276591,[B]=P(C)(C1=CC=CC=C1)C2=CC=CC=C2OC
71420187,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F
16218387,B1(OC(C(O1)(C)C)(C)C)C2=C(N(N=C2C)C(=O)OC(C)(C)C)C
72220685,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2)OC3CCCC3
56965741,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C=C2)N3CCOCC3)Cl
57914141,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NN2C3CCCCO3)C(F)(F)F
53217165,B1(OC(C(O1)(C)C)(C)C)C2=COCC2
73977890,B1(OC(C(O1)(C)C)(C)C)C2=CC=NN2C3COC3
45786028,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)N3CCCC3
43811073,B1(OC(C(O1)(C)C)(C)C)C2CCN(CC2)C(=O)OC(C)(C)C
37132,B(OCCN(CC)CC)(OCCN(CC)CC)OCCN(CC)CC
25130127,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C(=C2)[N+](=O)[O-])N)C
68229229,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C3CCCN(C3)C(=O)OC(C)(C)C
