cid,smiles
85534205,B(CCCCCCCC)(CCCCCCCC)OCCCC
21423,B(OCCCCCC)(OCCCCCC)OCCCCCC
25058171,[B-]1(N2C(=CC(=C2C(=C3[N+]1=C(C=C3C)C)C4=CC=C(C=C4)I)C)C)(F)F
57496422,B1(OC(C(O1)(C)C)(C)C)C2=CC(=O)CCC2
16218385,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CC(=O)OCC
91658869,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2C3CC3)C(=O)OC(C)(C)C
72214340,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=N2)F)C(=O)OC
51034569,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=C2Cl)N)F
72213449,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NN2)C3CC3
86723268,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC(=C2)OCC3=CC=C(C=C3)OC)F
57826915,B1(OC(C(O1)(C)C)(C)C)C2=C(C=NN2CC)C
53398541,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)Cl)F
57416467,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N=C2)N(CC3)C(=O)OC(C)(C)C
2760605,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C(F)(F)F
90414968,B1(OC(C(O1)(C)C)(C)C)C2=C(N=C(C=C2)C(F)(F)F)F
53398525,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2)OC3=CC=CC=C3
66520624,B1(OC(C(O1)(C)C)(C)C)C2=C(C=NC=C2)CCC
3734506,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)CBr
87917498,B(/C=C/CCCCOC)(OC)OC
24978114,B(CCCCCC)(CCCCCC)/C=C/C(=C)C
15638650,B(CCCCCCl)(CCCCCCl)CCCCCCl
21590676,B(C#CCCCC)(OCCCC)OCCCC
71138711,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)N3CCC(CC3)N(C)C(=O)C
72214353,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=O)N2)C(=O)C
72221518,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)OC)C3CC3
57992079,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)CC(=O)OCC
68054971,B1(OC(C(O1)(C)C)(C)C)C2=CCCN(CC2)C(=O)OC(C)(C)C
69132664,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2OCC3=CC(=CC=C3)F
59619646,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)C)OC
66583732,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)(C)C(=O)OCC
45786114,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=N2)C(C)C
22346720,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)OC3=CC=CC=C3
17750212,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(N=C2)N
57416439,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(N=C2C(F)(F)F)N
45785720,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=N2)F
56924434,B1(OC(C(O1)(C)C)(C)C)C2=C(N=CC=C2)C(F)(F)F
54378249,B(OC1=C(C(=CC(=C1F)F)F)F)(OC2=C(C(=CC(=C2F)F)F)F)OC3=C(C(=CC(=C3F)F)F)F
71386314,B(CCCCCC)(CCCCCC)C(=CCCCC)CCCCCC
70541952,B(CCCCCC)(CCCCCC)C1=CC=CC=C1CCCCCC
