cid,smiles
21423,B(OCCCCCC)(OCCCCCC)OCCCCCC
71386314,B(CCCCCC)(CCCCCC)C(=CCCCC)CCCCCC
2736203,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
12496359,B(CCCCCCCC)(CCCCCCCC)C(C)(C)C(C)C
89239536,B(OCC(CCC)CCCCC)(OCC(CCC)CCCCC)OCC(CCC)CCCCC
79559,B(OCC(C)(C)C)(OCC(C)(C)C)OCC(C)(C)C
5326254,B(N(CC)CC)(N(CC)CC)N(CC)CC
292409,B(OCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC
5326254,B(N(CC)CC)(N(CC)CC)N(CC)CC
3056362,B(OC(C1CCCCC1)C2CCCCC2)(OC(C3CCCCC3)C4CCCCC4)OC(C5CCCCC5)C6CCCCC6
565757,B(C1CCCCC1)(C2CCCCC2)C3CCCCC3
565757,B(C1CCCCC1)(C2CCCCC2)C3CCCCC3
102825,B(OC1CCCCC1)(OC2CCCCC2)OC3CCCCC3
102825,B(OC1CCCCC1)(OC2CCCCC2)OC3CCCCC3
37132,B(OCCN(CC)CC)(OCCN(CC)CC)OCCN(CC)CC
37132,B(OCCN(CC)CC)(OCCN(CC)CC)OCCN(CC)CC
13736786,B(C1CCCCCC1)(C2CCCCCC2)C3CCCCCC3
13736786,B(C1CCCCCC1)(C2CCCCCC2)C3CCCCCC3
64670,B(OCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC
44149305,B(OCCCCCCC(C)C)(OCCCCCCC(C)C)OCCCCCCC(C)C
61587,B(OCC(C)C)(OCC(C)C)OCC(C)C
31078,B(OCCCl)(OCCCl)OCCCl
12705651,B(CC(C)C)(CC(C)C)OC
46850670,B1(OC(C(O1)(C)C)(C)C)C2(CC2)C3CC3
286987,B(OCCN(C)C)(OCCN(C)C)OCCN(C)C
78020,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
12421685,B(CC)(CC)SCCCCCC
71346374,[B](N(C(C)C)C(C)C)N(C(C)C)C(C)C
45787285,B1(OC(C(O1)(C)C)(C)C)C2CCCOC2
71369887,B(OC(C)C)(OC(C)C)Cl
71386269,B(CCCC)(CCCC)CCCCOCC
16205057,B(OCCOCCOCCOCC)(OCCOCCOCCOCC)OCCOCCOCCOCC
14402222,B(OCCOCCOCCOC)(OCCOCCOCCOC)OCCOCCOCCOC
12507441,B(CCCC)(CCCC)OCCC
86208752,B(N1C2=CC=CC=C2C3=CC=CC=C31)(N4C5=CC=CC=C5C6=CC=CC=C64)N7C8=CC=CC=C8C9=CC=CC=C97
73556646,B(OCCOCCOCCOCCOCCOC)(OCCOCCOCCOCCOCCOC)OCCOCCOCCOCCOCCOC
73556646,B(OCCOCCOCCOCCOCCOC)(OCCOCCOCCOCCOCCOC)OCCOCCOCCOCCOCCOC
137205,B(C(C)C)(C(C)C)C(C)C
57377059,B(OCCOCCOCCCC)(OCCOCCOCCCC)OCCOCCOCCCC
84742,B(OCCOC)(OCCOC)OCCOC
263098,B(OCCC(C)C)(OCCC(C)C)OCCC(C)C
12421678,B(CCCC)(CCCC)OCCCCCC
71390346,B(OCCCC)(OCCCC)O[Sn](CCCCCCCC)(CCCCCCCC)OCCCC
71447200,B(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
269853,B(N(CCCl)CCCl)(N(CCCl)CCCl)N(CCCl)CCCl
72698549,[B-]([N+](C)(C)CCCCCCCC)(Cl)(Cl)Cl
74789504,B1(OC(C(O1)(C)C)(C)C)C2CCC(CC2)(F)F
12712,B(OCCCC)(OCCCC)OCCCC
12421677,B(CCC)(CCC)OCCCCCC
89593817,B(CCC)(OCCCC)OCCCC
251727,B(OCCCCl)(OCCCCl)OCCCCl
251727,B(OCCCCl)(OCCCCl)OCCCCl
16212785,[10B](OCCCC)(OCCCC)OCCCC
236543,B(C=C)(OCCCC)OCCCC
286986,B(C1CCCC1)(OC)OC
286986,B(C1CCCC1)(OC)OC
12134,B(OCCCCC)(OCCCCC)OCCCCC
12134,B(OCCCCC)(OCCCCC)OCCCCC
352104,B(CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC
13173740,B(C1CCCCC1)(C2CCCCC2)C(C)C(C)C
13173740,B(C1CCCCC1)(C2CCCCC2)C(C)C(C)C
3697076,B1(OC(C(O1)(C)C)(C)C)C2=CCC3(CC2)OCCO3
3697076,B1(OC(C(O1)(C)C)(C)C)C2=CCC3(CC2)OCCO3
13680388,B(CCCCCC)(C(C)C(C)C)C(C)C(C)C
57351051,B(OCOCCOCCOCCOCC)(OCOCCOCCOCCOCC)OCOCCOCCOCCOCC
551430,B(CC)(CC)C(=C(CC)COC)CC
54472851,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F
11597250,B(CCCCCCCCCC)(CCCCCCCCCC)CCCCCCCCCC
42614649,B1(OC(C(O1)(C)C)(C)C)C2CCOCC2
42614649,B1(OC(C(O1)(C)C)(C)C)C2CCOCC2
32712,B(OC(C)CCCCCC)(OC(C)CCCCCC)OC(C)CCCCCC
144241,B(N=C(C(F)(F)F)C(F)(F)F)(N(C)C)N(C)C
73556645,B(OCCOCCOCCOCCOCCOCCCC)(OCCOCCOCCOCCOCCOCCCC)OCCOCCOCCOCCOCCOCCCC
17178,B(OCCCCCCCCCCCC)(OCCCCCCCCCCCC)OCCCCCCCCCCCC
88422,B(OCCCCCCCCCC)(OCCCCCCCCCC)OCCCCCCCCCC
71386271,B(CCCC)(CCCC)CCCCOC
71384846,B(C(C)CCCCCC)(C(C)CCCCCC)C(C)CCCCCC
122587,B(C(C)C(C)C)(C(C)C(C)C)C(C)C(C)C
12711,B(OCCC)(OCCC)OCCC
71336105,B(CCCCCC)(CCCCCC)C=CCCCCCC
12434719,B(CC)(CC)OCCCC
12569888,B1(OC(C(O1)(C)C)(C)C)C=C2CCCCC2
15584534,B(C(C)C)(OCCCCCCC)OCCCCCCC
21425,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC
13201843,B1(OC(C(O1)(C)C)(C)C)C2CCCC2
70691,B(CC(C)C)(CC(C)C)CC(C)C
11816807,B(C1CCCC1)(C2CCCC2)C3CCCC3
11816807,B(C1CCCC1)(C2CCCC2)C3CCCC3
8470,B(OC)(OC)OC
8470,B(OC)(OC)OC
289737,B(OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C
