cid,smiles
58050304,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=CC3=C(C4=CC=CC=C24)C5=CC=CC6=CC=CC=C65
87917498,B(/C=C/CCCCOC)(OC)OC
24978114,B(CCCCCC)(CCCCCC)/C=C/C(=C)C
87147076,B(OCC(C)CCCC(C)C)(OCC(C)CCCC(C)C)OCC(C)CCCC(C)C
20743212,B(C1=C(C=C(C=C1C)C)C)(C2=C3C=CC=CC3=CC4=CC=CC=C24)C5=C6C=CC=CC6=C(C7=CC=CC=C57)B(C8=C(C=C(C=C8C)C)C)C9=C1C=CC=CC1=CC1=CC=CC=C91
22171963,B(C)(C)CCCCCC/C=C/C
15400622,B(C1=CC=CC=C1B(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)(C4=C(C(=C(C(=C4F)F)F)F)F)C5=C(C(=C(C(=C5F)F)F)F)F
10397716,B(/C(=C/CCC)/CCC)(Cl)Cl
89840252,B(N1C(=CC(=C1/C=C\2/C(=CC(=N2)C3=CC=C(C=C3)C)C4=C(C=C(C(=C4)C)C)C)C5=C(C=C(C(=C5)C)C)C)C6=CC=C(C=C6)C)(F)F
59228359,B(C)(C)C1=CC=C(C=C1)C2=NN=C(O2)C
89593994,B(C1=CN=CN=C1)(OCC)OCC
2736203,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
70152734,B(OC1=CC=C(C2=CC=CC=C21)C)(OC3=CC=C(C4=CC=CC=C43)C)OC5=CC=C(C6=CC=CC=C65)C
57694509,B(C)(/C=C/C)C1=CC=CC=C1
57413186,B(C1=CC2=C(C=C1)N(C3=C2C=C(C=C3)/C=C/C4=CC5=C(C=C4)N(C6=C5C=C(C=C6)B(C7=C(C=C(C=C7C)C)C)C8=C(C=C(C=C8C)C)C)CC)CC)(C9=C(C=C(C=C9C)C)C)C1=C(C=C(C=C1C)C)C
88085269,B(OC1=C(C(=C(C2=C1C(=C3C(=C2F)C(=C(C(=C3F)F)F)F)F)F)F)F)(OC4=C(C(=C(C5=C4C(=C(C(=C5F)F)F)F)F)F)F)OC6=C(C(=C(C(=C6F)F)F)F)F
85766699,B(C1=CC(=CC(=C1)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
85749946,B(C1=CCC2=CC=CC=C12)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F
58343965,B(C)(C)C1=CC=C(C=C1)CC2=NOC=N2
59390406,B(C1=CC(=C2C=CC3=C4C2=C1C=CC4=C(C=C3)C5=CC6=CC=CC=C6O5)C7=CC8=CC=CC=C8O7)(C9=C(C=C(C=C9C)C)C)C1=C(C=C(C=C1C)C)C
57648541,B(C1=CC=C(C=C1)N2C3=CC=CC=C3C4=CC=CC=C42)(C5=C(C=CC=C5C)C)C6=C(C=CC=C6C)C
89239536,B(OCC(CCC)CCCCC)(OCC(CCC)CCCCC)OCC(CCC)CCCCC
87578279,B(C(CCCC)(F)F)(C(CCCC)(F)F)C(CCCC)(F)F
22338812,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F
59561143,B(C1=CN=C2C(=N1)CC3=C2C=CC(=C3)C)(C4=CN=C5C(=N4)CC6=C5C=CC(=C6)C)C7=CN=C8C(=N7)CC9=C8C=CC(=C9)C
70849038,B(C1=CC=C(C=C1)C2=CC=CC=C2)(C3=CC=C(C=C3)C4=CC=CC=C4)/C(=C(\CSC)/C5=CC=C(C=C5)C)/C6=CC=C(C=C6)C7=CC=CC=C7
86045668,B(C1=C2C(=CC3=C1C(=CC=C3)OC)C=CC=C2OC)(Cl)Cl
58856482,B(C)(C)C1=C2C=CC=CC2=CC3=CC=CC=C13
71420187,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F
15520533,B(CC)(CC)C1=C(C(=C(C(=C1F)F)F)F)F
70793414,B(C1=CC=C(C=C1)C2=CC=CC=C2)(C3=CC=C(C=C3)C4=CC=CC=C4)/C(=C(/C5=CC=CC=C5)\C6=CC=CC=C6OC)/C7=CC=C(C=C7)C8=CC=CC=C8
59390446,B(C1=C2C=CC3=C4C2=C(C=C1)C=CC4=C(C=C3)C5=CC=CC=C5C)(C6=C(C=C(C=C6C)C)C)C7=C(C=C(C=C7C)C)C
87578278,B(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
