cid,smiles
58050304,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=CC3=C(C4=CC=CC=C24)C5=CC=CC6=CC=CC=C65
2736203,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
89239536,B(OCC(CCC)CCCCC)(OCC(CCC)CCCCC)OCC(CCC)CCCCC
22338812,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F
71420187,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F
18373965,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC)OC
425307,B(OC(=O)C)(OC(=O)C)OC(=O)C
11727684,[B](C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F
68979,B(C)(C)C
138247,B(C)(C)OC
71428744,B(C1=CC(=C(C(=C1F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
4072412,B(B(N1CCCC1)N2CCCC2)(N3CCCC3)N4CCCC4
71350376,B(C=CC1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
71390453,B(C1=CC=CC=C1C=C)(O[Si](C)(C)C)O[Si](C)(C)C
3599767,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F
21846318,B(C1=CC=C(C2=CC=CC=C12)F)(OC)OC
78020,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
71346374,[B](N(C(C)C)C(C)C)N(C(C)C)C(C)C
4121732,B(N1CCCC1)(N2CCCC2)N3CCCC3
13789232,B(C1=CC=CC=C1B(Cl)Cl)(Cl)Cl
15877487,B(C1=CC=CC=C1OC)(OC)OC
