cid,smiles
8470,B(OC)(OC)OC
12711,B(OCCC)(OCCC)OCCC
12712,B(OCCCC)(OCCCC)OCCCC
17179,B(OCC1=CC=CC=C1)(OCC2=CC=CC=C2)OCC3=CC=CC=C3
21423,B(OCCCCCC)(OCCCCCC)OCCCCCC
21425,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC
21427,B(OC1=CC=CC=C1Cl)(OC2=CC=CC=C2Cl)OC3=CC=CC=C3Cl
31078,B(OCCCl)(OCCCl)OCCCl
37132,B(OCCN(CC)CC)(OCCN(CC)CC)OCCN(CC)CC
61587,B(OCC(C)C)(OCC(C)C)OCC(C)C
70691,B(CC(C)C)(CC(C)C)CC(C)C
76232,B(OCCCC)(OCCCC)OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C
78020,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
79559,B(OCC(C)(C)C)(OCC(C)(C)C)OCC(C)(C)C
84742,B(OCCOC)(OCCOC)OCCOC
102825,B(OC1CCCCC1)(OC2CCCCC2)OC3CCCCC3
103394,B(OCC(C)CC1=CC=C(C=C1)C(C)C)(OCC(C)CC2=CC=C(C=C2)C(C)C)OCC(C)CC3=CC=C(C=C3)C(C)C
123022,[BH3-][N+]1=CC=CC=C1
136678,B(C1=CC=CC=C1)(Cl)Cl
144241,B(N=C(C(F)(F)F)C(F)(F)F)(N(C)C)N(C)C
236543,B(C=C)(OCCCC)OCCCC
246979,B(OCCCC)(OCCCC)OC1=C(C=CC=C1C(C)(C)C)C(C)(C)C
251727,B(OCCCCl)(OCCCCl)OCCCCl
263098,B(OCCC(C)C)(OCCC(C)C)OCCC(C)C
269853,B(N(CCCl)CCCl)(N(CCCl)CCCl)N(CCCl)CCCl
286986,B(C1CCCC1)(OC)OC
286987,B(OCCN(C)C)(OCCN(C)C)OCCN(C)C
289737,B(OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C
352104,B(CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC
534667,B(CC)(CC)C(=C(C)CC)CC
546082,B(CC)(CC)OC(=O)C(C)(C)C
551430,B(CC)(CC)C(=C(CC)COC)CC
560820,B1(OC(C(O1)C2=CC=CC=C2)C3=CC=CC=C3)CCCC
565757,B(C1CCCCC1)(C2CCCCC2)C3CCCCC3
577268,B(C1=CC=CC=C1)(C2=CC=CC=C2)OC
582056,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
607501,B(CCC)(CCC)N1C=CC=C1C2=CC=CC=N2
631938,B1(OB(OB(O1)C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C4=CC=C(C=C4)C
633786,B(OC1=CC=C(C=C1)Cl)(OC2=CC=C(C=C2)Cl)OC3=CC=C(C=C3)Cl
2734620,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N
2734648,B1(OC(C(O1)(C)C)(C)C)C2=CC=NC=C2
2734651,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C(=O)OC
2734652,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2N
2734655,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)N
2734656,B1(OC(C(O1)(C)C)(C)C)C2=CN=CC=C2
2736203,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
2736779,B(C1=CN=C(N=C1)OC)(OC)OC
2736881,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(O2)C
2757340,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)N(C=C3)C(=O)OC(C)(C)C
2758487,B1(OC(C(O1)(C)C)(C)C)C2=C(N=C(C=C2)OC)OC
2760077,B1(OC(C(O1)(C)C)(C)C)C2=NN(C=C2)C
2760141,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C(=O)N3CCOCC3
2760174,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC3=CC=CC=C23
2760487,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CCC
2760586,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C=O
2760589,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)OCO3
2760592,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)OCCO3
