cid,smiles
18525862,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)N(N=C3)C(=O)OC(C)(C)C
68211018,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C4(C5=CC=CC=C5C6=CC=CC=C64)C7=CC=CC=C73
45786383,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CO2)C3=CC(=CC=C3)OC
66521124,B1(OC(C(O1)(C)C)(C)C)C2=C(N=CS2)C
58498962,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C=CC(=C3)B4OC(C(O4)(C)C)(C)C
44717655,B1(OC(C(O1)(C)C)(C)C)C2=C(N=C(C=C2)C)F
71413452,B(CC)(CCC(C)CC)OC1=C(C=C(C=C1C)C)C
67187423,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CCCOC
14024414,B(CC)(OCCC)OCCC
78020,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
56846420,B1(OC(C(O1)(C)C)(C)C)CC2=CC=CC=C2Br
45785991,B1(OC(C(O1)(C)C)(C)C)C2=NC=CC(=C2)OC
66521510,B1(OC(C(O1)(C)C)(C)C)C2=NC=C(C=C2)N3C=C(C=N3)C
58174852,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C4=C(C=C(C=C4)B5OC(C(O5)(C)C)(C)C)C6=CC=CC=C63
66521541,B1(OC(C(O1)(C)C)(C)C)C2=CN(C=N2)C3=CC(=CC=C3)F
57497337,B1(OC(C(O1)(C)C)(C)C)CC2=CC(=CC=C2)C(F)(F)F
52915087,B(OCC(C(F)F)(F)F)(OCC(C(F)F)(F)F)OCC(C(F)F)(F)F
59238596,B1(OC(C(O1)(C)C)(C)C)C2=CC(CCC2)C
53428875,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CO2)C(=O)OCC
5237642,B(C1=CC=CC=C1OCCCCC)(C2=CC=CC=C2OCCCCC)C3=CC=CC=C3OCCCCC
