cid,smiles
70697686,[B-]1(N2C(=CC(=C2C=C3[N+]1=C(C=C3)CCC(=O)N4CCN(CC4)C(=O)C5=C(C=CC(=C5)CC6=NNC(=O)C7=CC=CC=C76)F)C)C)(F)F
71240628,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC3=C2C=NN3S(=O)(=O)C4=CC=C(C=C4)C)C(C)C
71310855,B1(OC(=O)CN(CC(=O)O1)C)C2=CC=CN2S(=O)(=O)C3=CC=C(C=C3)C
74890426,B1(OC(C(O1)(C)C)(C)C)C2=CN(C(=C2)C(=O)OC)CC3=CC=C(C=C3)OC
11276591,[B]=P(C)(C1=CC=CC=C1)C2=CC=CC=C2OC
59694428,B1(OC(C(O1)(C)C)(C)C)C2=CN(C(=C2)C(=O)OC)S(=O)(=O)C3=CC=C(C=C3)C
86222914,B1(OC(C(O1)(C)C)(C)C)C2=CN(C3=C2C=CC=N3)S(=O)(=O)C4=CC=C(C=C4)OC
99779877,B1(OC(=O)CN(CC(=O)O1)C)C2=CC3=CC=CC=C3N2C
71309963,B1(OC(=O)CN(CC(=O)O1)C)C2=CC3=C(C=C2)N=C(C=C3)C
71334559,B(C1=CC=CC=C1[N+](=O)[O-])(OC(C)C)OC(C)C
71310675,B1(OC(=O)CN(CC(=O)O1)C)C2=C(N=CC=C2)OC
86202055,B1(OB(OB(O1)C2=CC=C(C=C2)OC(F)(F)F)C3=CC=C(C=C3)OC(F)(F)F)C4=CC=C(C=C4)OC(F)(F)F
66889277,B1(OC(C(O1)(C)C)(C)C)C2=CN(C3=C2C=C(C=N3)OC)S(=O)(=O)C4=CC=CC=C4
11717931,B(C1=CC(=C(C=C1)C)Cl)(C2=CC(=C(C=C2)C)Cl)OCCC3=CC=CC=N3
90035151,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CCOCC3=CC=CC=C3
59477197,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)NC=C3C(=O)OC
58494102,B1(OC(C(O1)(C)C)(C)C)C2=C(C(=CC=C2)C3=CCN(CC3)CC4=CC=CC=C4)CC
71311083,B1(OC(=O)CN(CC(=O)O1)C)C2=NC3=CC=CC=C3C=C2
71310926,B1(OC(=O)CN(CC(=O)O1)C)C2=NC(=CC=C2)OC
44138340,B1(OC(=O)CN(CC(=O)O1)C)C2=CC3=CC=CC=C3N2S(=O)(=O)C4=CC=CC=C4
