cid,smiles
15879611,[B]N1CCCCC1
13114426,B(N1C(CCCC1(C)C)(C)C)(Cl)Cl
4121732,B(N1CCCC1)(N2CCCC2)N3CCCC3
23005375,B1(OCC(CO1)(C)C)C2=CC3=CC=CC=C3N2C
4072412,B(B(N1CCCC1)N2CCCC2)(N3CCCC3)N4CCCC4
45787285,B1(OC(C(O1)(C)C)(C)C)C2CCCOC2
44755202,B1(OCC(CO1)(C)C)C2=CN(N=C2)C3CCCCO3
23005376,B1(OCC(CO1)(C)C)C2=CC3=C(C=C2)N(C=C3)C
2795158,B1(OCC(CO1)(C)C)C2=CN=CC3=CC=CC=C23
2794717,B1(OCC(CO1)(C)C)C2=CN=CC=C2
71331857,B(N1CCCCC1)(Cl)Cl
72220329,B1(OC(C(O1)(C)C)(C)C)C2=C(N=CC=C2)N3CCN(CC3)C
23005321,B1(OCCCO1)C2=CC=NC=C2
42614649,B1(OC(C(O1)(C)C)(C)C)C2CCOCC2
59292152,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)N3CCCN(CC3)C
84223807,B1(OC(C(O1)(C)C)(C)C)C2COC2
56972880,B1(OCC(CO1)(C)C)C2=C(N(N=C2C)C3CCCCO3)C
16217859,B1(OCCN(CCO1)C2=CC=CC=C2)C3=NC=C(C=C3)C
4197994,B1(OCC(CO1)(C)C)C2=CC=CC=C2C=O
4198005,B1(OCCCO1)C2=CN=CC=C2
43811062,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)N3CCCC3
45785761,B1(OC(C(O1)(C)C)(C)C)C2=NC(=CC=C2)C3CCCCC3
45785716,B1(OC(C(O1)(C)C)(C)C)C2=NC(=CC=C2)N3CCCCC3
86811226,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C3(CC3)N4CCN(CC4)C
44119139,B1(OCCCO1)C2=CC=CC=C2C=C
16119965,B1(OCCN(CCO1)C2=CC=CC=C2)C3=CC=CC=N3
59239786,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2)OCCN3CCOCC3
53217278,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(CCCC3)N=C2
72218828,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC=N2)OCC
13724531,B(C(C)C)(N1C(CCCC1(C)C)(C)C)F
642685,B1(OCCCO1)C2=CC=CC=C2
70701162,B1(OC(C(O1)(C)C)(C)C)C2=C3CCCCN3N=C2
23141576,B1(OC(C(O1)(C)C)(C)C)C2=CCC3(CCCC3)CC2
11543279,B1(OCC(CO1)(C)C)C2=C(C=CC=C2OC)C#N
16414273,B1(OCC(CO1)(C)C)C2=C(N=CC=C2)C#N
23141941,B1(OC(C(O1)(C)C)(C)C)C2=CCC3(CCCCC3)CC2
