Prototype,Number of records,Mechanism,Count,Frequency,Frequency (%)
P1,17,SEI/CEI formation,15,0.8823529411764706,88.23529411764706
P1,17,LiF/B-O interface,12,0.7058823529411765,70.58823529411765
P1,17,Lewis acid/anion receptor,0,0.0,0.0
P1,17,Solvation/desolvation,12,0.7058823529411765,70.58823529411765
P1,17,HF/H2O scavenging,0,0.0,0.0
P1,17,Polymer/gel strengthening,11,0.6470588235294118,64.70588235294117
P1,17,Thermal/corrosion stability,12,0.7058823529411765,70.58823529411765
P2,32,SEI/CEI formation,26,0.8125,81.25
P2,32,LiF/B-O interface,24,0.75,75.0
P2,32,Lewis acid/anion receptor,25,0.78125,78.125
P2,32,Solvation/desolvation,17,0.53125,53.125
P2,32,HF/H2O scavenging,0,0.0,0.0
P2,32,Polymer/gel strengthening,0,0.0,0.0
P2,32,Thermal/corrosion stability,18,0.5625,56.25
P3,69,SEI/CEI formation,68,0.9855072463768116,98.55072463768117
P3,69,LiF/B-O interface,55,0.7971014492753623,79.71014492753623
P3,69,Lewis acid/anion receptor,0,0.0,0.0
P3,69,Solvation/desolvation,0,0.0,0.0
P3,69,HF/H2O scavenging,39,0.5652173913043478,56.52173913043478
P3,69,Polymer/gel strengthening,37,0.5362318840579711,53.62318840579711
P3,69,Thermal/corrosion stability,49,0.7101449275362319,71.01449275362319
P4,26,SEI/CEI formation,15,0.5769230769230769,57.692307692307686
P4,26,LiF/B-O interface,14,0.5384615384615384,53.84615384615385
P4,26,Lewis acid/anion receptor,9,0.34615384615384615,34.61538461538461
P4,26,Solvation/desolvation,0,0.0,0.0
P4,26,HF/H2O scavenging,22,0.8461538461538461,84.61538461538461
P4,26,Polymer/gel strengthening,0,0.0,0.0
P4,26,Thermal/corrosion stability,19,0.7307692307692307,73.07692307692307
P5,34,SEI/CEI formation,26,0.7647058823529411,76.47058823529412
P5,34,LiF/B-O interface,22,0.6470588235294118,64.70588235294117
P5,34,Lewis acid/anion receptor,15,0.4411764705882353,44.11764705882353
P5,34,Solvation/desolvation,0,0.0,0.0
P5,34,HF/H2O scavenging,13,0.38235294117647056,38.23529411764706
P5,34,Polymer/gel strengthening,0,0.0,0.0
P5,34,Thermal/corrosion stability,25,0.7352941176470589,73.52941176470588
P6,19,SEI/CEI formation,15,0.7894736842105263,78.94736842105263
P6,19,LiF/B-O interface,17,0.8947368421052632,89.47368421052632
P6,19,Lewis acid/anion receptor,15,0.7894736842105263,78.94736842105263
P6,19,Solvation/desolvation,0,0.0,0.0
P6,19,HF/H2O scavenging,14,0.7368421052631579,73.68421052631578
P6,19,Polymer/gel strengthening,0,0.0,0.0
P6,19,Thermal/corrosion stability,11,0.5789473684210527,57.89473684210527
P7,30,SEI/CEI formation,28,0.9333333333333333,93.33333333333333
P7,30,LiF/B-O interface,16,0.5333333333333333,53.333333333333336
P7,30,Lewis acid/anion receptor,24,0.8,80.0
P7,30,Solvation/desolvation,18,0.6,60.0
P7,30,HF/H2O scavenging,0,0.0,0.0
P7,30,Polymer/gel strengthening,19,0.6333333333333333,63.33333333333333
P7,30,Thermal/corrosion stability,0,0.0,0.0
