trial,new_prototype,old_prototype,cosine_similarity
1,New P1,Old P1,0.96808016
1,New P1,Old P2,0.37677887
1,New P1,Old P3,0.5411123
1,New P1,Old P4,0.5296811
1,New P1,Old P5,-0.45637226
1,New P1,Old P6,-0.49367583
1,New P1,Old P7,-0.41722822
1,New P1,Old P8,-0.119970195
1,New P1,Old P9,0.16755593
1,New P1,Old P10,-0.17988393
1,New P2,Old P1,0.44783798
1,New P2,Old P2,0.9625273
1,New P2,Old P3,0.5870228
1,New P2,Old P4,0.72318804
1,New P2,Old P5,-0.6110278
1,New P2,Old P6,-0.7285278
1,New P2,Old P7,-0.6426053
1,New P2,Old P8,-0.048617966
1,New P2,Old P9,0.20672107
1,New P2,Old P10,-0.21398386
1,New P3,Old P1,0.5666883
1,New P3,Old P2,0.49731955
1,New P3,Old P3,0.962562
1,New P3,Old P4,0.697481
1,New P3,Old P5,-0.6485539
1,New P3,Old P6,-0.7086733
1,New P3,Old P7,-0.6993567
1,New P3,Old P8,-0.14901942
1,New P3,Old P9,0.13882744
1,New P3,Old P10,-0.23985167
1,New P4,Old P1,0.3707209
1,New P4,Old P2,0.43627733
1,New P4,Old P3,0.48081517
1,New P4,Old P4,0.9757643
1,New P4,Old P5,-0.592625
1,New P4,Old P6,-0.5980288
1,New P4,Old P7,-0.6685491
1,New P4,Old P8,-0.1644997
1,New P4,Old P9,0.1297105
1,New P4,Old P10,-0.24738768
1,New P5,Old P1,-0.37176585
1,New P5,Old P2,-0.612743
1,New P5,Old P3,-0.58613545
1,New P5,Old P4,-0.64517975
1,New P5,Old P5,0.9745796
1,New P5,Old P6,0.5886457
1,New P5,Old P7,0.56238484
1,New P5,Old P8,-0.0034055426
1,New P5,Old P9,-0.06895665
1,New P5,Old P10,0.27639028
1,New P6,Old P1,-0.42735186
1,New P6,Old P2,-0.71056783
1,New P6,Old P3,-0.65562844
1,New P6,Old P4,-0.7177143
1,New P6,Old P5,0.4388001
1,New P6,Old P6,0.9779895
1,New P6,Old P7,0.7555649
1,New P6,Old P8,-0.26749906
1,New P6,Old P9,-0.48196247
1,New P6,Old P10,-0.07272232
1,New P7,Old P1,-0.32649058
1,New P7,Old P2,-0.6072644
1,New P7,Old P3,-0.5971574
1,New P7,Old P4,-0.72160137
1,New P7,Old P5,0.42335778
1,New P7,Old P6,0.7211387
1,New P7,Old P7,0.97636974
1,New P7,Old P8,-0.06489172
1,New P7,Old P9,-0.3521915
1,New P7,Old P10,-0.17737485
1,New P8,Old P1,-0.003391847
1,New P8,Old P2,0.0014923662
1,New P8,Old P3,-0.04779982
1,New P8,Old P4,0.053772073
1,New P8,Old P5,0.0073781367
1,New P8,Old P6,-0.21795784
1,New P8,Old P7,-0.0030341689
1,New P8,Old P8,0.958732
1,New P8,Old P9,0.2382203
1,New P8,Old P10,0.035908807
1,New P9,Old P1,0.30612895
1,New P9,Old P2,0.23834753
1,New P9,Old P3,0.23194304
1,New P9,Old P4,0.39645347
1,New P9,Old P5,-0.007925084
1,New P9,Old P6,-0.42107272
1,New P9,Old P7,-0.32958853
1,New P9,Old P8,0.22999863
1,New P9,Old P9,0.96249044
1,New P9,Old P10,0.25267795
1,New P10,Old P1,-0.080924295
1,New P10,Old P2,-0.18874715
1,New P10,Old P3,-0.14812207
1,New P10,Old P4,-0.074860685
1,New P10,Old P5,0.4113721
1,New P10,Old P6,0.12893409
1,New P10,Old P7,-0.04524281
1,New P10,Old P8,0.045859683
1,New P10,Old P9,0.24379794
1,New P10,Old P10,0.9665144
2,New P1,Old P1,0.98061705
2,New P1,Old P2,0.3020615
2,New P1,Old P3,0.3056103
2,New P1,Old P4,0.42175955
2,New P1,Old P5,-0.23224162
2,New P1,Old P6,-0.2694899
2,New P1,Old P7,-0.3732313
2,New P1,Old P8,-0.37747478
2,New P1,Old P9,-0.303178
2,New P1,Old P10,0.1899552
2,New P2,Old P1,0.34608018
2,New P2,Old P2,0.9702312
2,New P2,Old P3,0.6987564
2,New P2,Old P4,0.55320334
2,New P2,Old P5,-0.21207862
2,New P2,Old P6,-0.18495756
2,New P2,Old P7,-0.7197163
2,New P2,Old P8,-0.66757756
2,New P2,Old P9,0.07525809
2,New P2,Old P10,0.30978066
2,New P3,Old P1,0.26808593
2,New P3,Old P2,0.6417309
2,New P3,Old P3,0.9680808
2,New P3,Old P4,0.505373
2,New P3,Old P5,-0.30618078
2,New P3,Old P6,-0.2587924
2,New P3,Old P7,-0.76104647
2,New P3,Old P8,-0.6761144
