,Old P1,Old P2,Old P3,Old P4,Old P5,Old P6,Old P7,Old P8,Old P9,Old P10
New P1,0.9786183,0.39228415,0.3513989,0.25065595,0.026227832,-0.30822125,-0.4580304,-0.286818,0.07440873,0.19766518
New P2,0.37442884,0.9763211,0.45965004,0.3473421,0.013074124,-0.5036615,-0.64749223,-0.4396821,0.07721494,0.16171458
New P3,0.3598314,0.4599585,0.97798574,0.26307133,-0.079242565,-0.49736947,-0.5917242,-0.40417045,0.025105113,0.0208329
New P4,0.24261828,0.35461226,0.2886761,0.9754747,0.15075007,-0.30127022,-0.47983932,-0.3865602,-0.037262008,0.041267216
New P5,0.029056257,0.01971944,-0.07195987,0.117041804,0.9792404,0.15884359,-0.14525907,-0.26368585,0.008084136,0.19166008
New P6,-0.3242345,-0.5374321,-0.53139937,-0.32051787,0.111213684,0.9785244,0.565858,0.18443592,-0.073917806,-0.012790889
New P7,-0.45587888,-0.65821815,-0.6020086,-0.4546867,-0.18585333,0.5057777,0.9788205,0.46542263,-0.24097273,-0.31050104
New P8,-0.26150733,-0.42822862,-0.3996006,-0.35944334,-0.26047415,0.19510901,0.4921154,0.9756444,-0.037363093,-0.19088015
New P9,0.087554574,0.10669662,0.047920093,-0.016159002,0.034914486,-0.036963083,-0.22098139,-0.01844272,0.9773939,0.21692939
New P10,0.22715771,0.20211396,0.051831663,0.0938952,0.21096644,0.06274064,-0.26829934,-0.18192048,0.19961771,0.98027813
