,Old P1,Old P2,Old P3,Old P4,Old P5,Old P6,Old P7,Old P8,Old P9,Old P10
New P1,0.0059103705,0.13621971,0.17058553,0.31139493,0.43633547,0.2391904,0.1402863,0.16878623,0.22418496,0.17601646
New P2,0.16575643,0.0071801655,0.17645684,0.37929937,0.49991202,0.16606641,0.081126004,0.2187341,0.18389083,0.19571225
New P3,0.191364,0.1659625,0.007360508,0.38568482,0.44778618,0.2502573,0.13269974,0.1959925,0.17401883,0.22104621
New P4,0.3069763,0.38526732,0.39573354,0.0057370984,0.4297674,0.38872725,0.40694728,0.2826865,0.18131417,0.19404571
New P5,0.3861122,0.48566848,0.41461566,0.40898657,0.005757342,0.46182016,0.50791365,0.27926785,0.24677755,0.20482638
New P6,0.25167507,0.14604186,0.24381106,0.38008273,0.41280097,0.00714303,0.1736878,0.22633731,0.27149355,0.19343868
New P7,0.142133,0.08498574,0.16482584,0.36874974,0.45037946,0.19514683,0.00777729,0.38901946,0.18273538,0.11100434
New P8,0.20802046,0.24210754,0.2572479,0.29603308,0.30984193,0.23608193,0.38267574,0.009669706,0.22368367,0.20119068
New P9,0.19727504,0.18994106,0.16288869,0.18497898,0.24013124,0.28086346,0.18596846,0.20400326,0.0074743754,0.15114336
New P10,0.16318224,0.18504165,0.23165844,0.16963157,0.1948715,0.1793297,0.12501402,0.19794144,0.14355986,0.0069488203
