new_prototype,best_matched_old_prototype,best_mean_cosine_similarity,top2_margin,mean_similarity_sum,recombination_index,normalized_similarity_entropy
New P1,Old P1,0.9786183,0.58633417,1.2181896,0.19666171073913574,0.7700969443252182
New P2,Old P2,0.9763211,0.51667106,0.8189099,-0.19222044944763184,0.6276313950170337
New P3,Old P3,0.97798574,0.51802725,0.53427815,-0.8304804563522339,-0.04015590604775913
New P4,Old P4,0.9754747,0.6208625,0.848467,-0.14969086647033691,0.6006652052372112
New P5,Old P5,0.9792404,0.7875804,1.022741,0.042533278465270996,0.4813249375012037
New P6,Old P6,0.9785244,0.41266638,0.03973958,-23.62342071533203,-55.029045855667306
New P7,Old P7,0.9788205,0.4730428,-0.95809835,,
New P8,Old P8,0.9756444,0.483529,-0.27462828,,
New P9,Old P9,0.9773939,0.76046455,1.1788629,0.1709011197090149,0.48286442780923516
New P10,Old P10,0.98027813,0.7531204,1.5783817,0.37893468141555786,0.7716316198431418
