epoch,mean_normalized_drift_rate,std_normalized_drift_rate_across_trials,smooth_mean_normalized_drift_rate,smooth_std_normalized_drift_rate,trial_1_normalized_drift_rate,trial_1_smooth_normalized_drift_rate,trial_2_normalized_drift_rate,trial_2_smooth_normalized_drift_rate,trial_3_normalized_drift_rate,trial_3_smooth_normalized_drift_rate,trial_4_normalized_drift_rate,trial_4_smooth_normalized_drift_rate,trial_5_normalized_drift_rate,trial_5_smooth_normalized_drift_rate,trial_6_normalized_drift_rate,trial_6_smooth_normalized_drift_rate,trial_7_normalized_drift_rate,trial_7_smooth_normalized_drift_rate,trial_8_normalized_drift_rate,trial_8_smooth_normalized_drift_rate,trial_9_normalized_drift_rate,trial_9_smooth_normalized_drift_rate,trial_10_normalized_drift_rate,trial_10_smooth_normalized_drift_rate
2,0.9275405,0.048478257,0.9666827246546745,0.05749027291312814,0.90566134,1.0364567,0.94129175,0.9724964,0.9596081,0.95401746,0.981195,1.0444841,0.9860116,0.9435801,0.98180133,0.97225964,0.8556725,0.96125805,0.9229665,0.9172458,0.8917249,0.99668103,0.84947205,0.86834776
3,0.9424685,0.047981393,0.9698880314826965,0.05623509859045347,0.9320229,1.0367653,0.95876014,0.9741179,0.9717694,0.95359486,1.0165716,1.0486184,0.9585329,0.94542515,0.97098625,0.97464436,0.8935151,0.97034764,0.902246,0.9198769,0.9776757,0.99899656,0.8426054,0.87649304
4,0.9606698,0.0585216,0.9728681206703186,0.05454053580760956,1.0510111,1.0357503,0.9679415,0.9757369,0.96413684,0.953393,1.0267106,1.0512924,0.9299243,0.94923985,0.96729386,0.9775474,0.91982955,0.97723913,0.9098431,0.92277694,1.0218999,1.0010802,0.8481071,0.88462496
5,0.9673687,0.063345045,0.9751592061736367,0.05259816043756225,1.0848006,1.0324165,0.97043735,0.97693336,0.95465606,0.9535187,1.0396297,1.0519851,0.9268763,0.9521469,0.96373963,0.9813884,0.9587628,0.9826008,0.90563524,0.9253463,1.0159817,1.0024974,0.85316753,0.8927584
6,0.9721506,0.06353886,0.9768063326676687,0.05064982843274871,1.0876497,1.026972,0.97866106,0.9782484,0.94582576,0.95357805,1.0565352,1.0512011,0.92767334,0.95535636,0.9585972,0.98413324,0.98093534,0.98683065,0.908346,0.9282831,1.0115098,1.0036644,0.865772,0.8997957
7,0.98247117,0.0631035,0.978186887044173,0.048945746886042446,1.0899388,1.021642,0.98421854,0.97921836,0.9501638,0.95383924,1.0740081,1.0491674,0.93709993,0.95864207,0.9647134,0.9879547,1.0104127,0.9902285,0.92671615,0.930818,1.0129254,1.004237,0.8745142,0.9061215
8,0.9878214,0.0623072,0.9792357172284808,0.047618547188384194,1.0848526,1.0155699,0.98612875,0.97995126,0.94474703,0.9545712,1.0806738,1.0468762,0.9296731,0.96176136,0.97590417,0.9911324,1.0309737,0.99289995,0.9271156,0.9324491,1.0231173,1.004433,0.89502794,0.91271245
9,0.99297106,0.052646335,0.9801031192143758,0.046454675123095514,1.0557166,1.0097008,0.99253196,0.9803442,0.94123256,0.9555896,1.0805488,1.0443735,0.9528494,0.96450007,0.9950413,0.9928434,1.0399626,0.99514157,0.93509775,0.93407714,1.0186138,1.0047567,0.9181157,0.919704
10,0.9955305,0.046193704,0.9846590518951416,0.04515078427890937,1.0392343,1.0121437,0.98709005,0.98346794,0.9502143,0.9567035,1.0816928,1.0452504,0.9601853,0.96587336,0.9937224,0.99514043,1.0430644,1.0064652,0.9409255,0.9363752,1.0175208,1.0128131,0.94165546,0.93235725
11,0.9996889,0.03928947,0.9884612838427226,0.04358009658753872,1.0266147,1.0142455,0.9903081,0.9858883,0.95157605,0.9572792,1.0753583,1.0421287,0.9835722,0.969357,1.0036744,0.997843,1.0392628,1.0150108,0.9488778,0.94178665,1.0198326,1.0151181,0.9578121,0.9459551
12,0.99807006,0.033174407,0.9911933263142904,0.04140194430947304,0.9990786,1.0094366,0.9888975,0.9881319,0.95477575,0.9587291,1.0589125,1.0371931,0.9812172,0.97469133,1.0197985,1.0014353,1.0362176,1.0216358,0.95103973,0.947178,1.01667,1.0138882,0.97409356,0.95961356
13,0.9949247,0.029218176,0.9937379201253255,0.03917547749976317,0.9670841,1.0029373,0.9927144,0.99124473,0.9542307,0.96144414,1.0425771,1.0301741,0.99066097,0.9806219,1.0143262,1.0049158,1.033359,1.0248011,0.9605878,0.9543767,1.0165001,1.0134159,0.97720575,0.973447
14,0.99475354,0.028496768,0.996366027990977,0.03745845022300879,0.9576801,0.9967894,0.9908574,0.9942716,0.956974,0.96545255,1.0247618,1.0209194,0.9980703,0.98709494,1.0338119,1.0082504,1.0310023,1.0262028,0.96123743,0.9641175,1.0111094,1.0138247,0.98203033,0.9867368
15,0.9928705,0.030364951,0.9983946402867635,0.036147072538733484,0.936633,0.9911582,0.9894788,0.99765974,0.9640865,0.9693455,1.0170921,1.0096774,1.0023123,0.99281013,1.0324426,1.0108503,1.0276293,1.0254214,0.95365286,0.97366846,1.0069815,1.0136855,0.99839544,0.9996694
16,0.99224675,0.030160466,1.000407604376475,0.03509264426926772,0.9275328,0.9856197,0.9858452,1.0010221,0.96984726,0.9749796,1.0093355,0.9979965,1.0028417,0.9993213,1.0167973,1.0134225,1.0265236,1.0231855,0.9568695,0.98395264,1.0092883,1.0127163,1.0175854,1.0118597
17,0.9958795,0.028919894,1.0026265263557435,0.03458998737235864,0.9423062,0.98180604,0.9881481,1.0037786,0.976316,0.9817231,0.99434775,0.98827887,1.0066116,1.0050423,1.0162575,1.014237,1.0255275,1.0205579,0.9574376,0.9945288,1.0125704,1.0125083,1.0392712,1.0238043
18,0.999502,0.024421077,1.0050570527712503,0.03424160021046797,0.9635487,0.97902113,0.9950658,1.0066473,0.98040587,0.9892058,0.9697465,0.98134255,1.0107875,1.0102774,1.0115249,1.0150834,1.021699,1.0177712,0.98341787,1.004671,1.0122511,1.011717,1.0465728,1.0348336
19,1.0016505,0.025849314,1.0073442935943604,0.03452294506132603,0.9788789,0.9774588,1.0015954,1.0091277,0.9858843,0.9971896,0.9526755,0.9749223,1.0099388,1.0140029,1.0211785,1.0158286,1.0192044,1.015304,0.9907135,1.0152509,1.0034509,1.0097967,1.0529844,1.0445613
20,1.0055376,0.029948043,1.0096259872118631,0.035363929346203804,0.987311,0.97744787,1.0171303,1.0115454,0.9953822,1.0052484,0.9343459,0.9695709,1.0158342,1.0181946,1.0159469,1.0154358,1.0062431,1.0127326,1.0136154,1.0258936,1.0088978,1.0073142,1.0606688,1.0528764
21,1.0115722,0.037783448,1.0121201276779175,0.03675717736283938,0.99543023,0.9794204,1.0240633,1.0138072,1.005952,1.0141947,0.91771543,0.9647966,1.0247694,1.0224978,1.008615,1.0146309,1.0019593,1.0106324,1.0544584,1.0359538,1.0176415,1.0042573,1.0651188,1.06101
22,1.0129004,0.04343283,1.0146054784456888,0.03851710160573323,1.0054713,0.9819796,1.0350406,1.0157595,1.0085584,1.0239493,0.9053781,0.96112436,1.022828,1.0266984,1.0037137,1.011584,0.99869317,1.0086387,1.0699804,1.0463809,1.0108368,1.0012338,1.068503,1.0687063
23,1.0180159,0.046490777,1.0172696908315022,0.0402756292372942,1.0017753,0.9858099,1.0365653,1.0175865,1.0292574,1.0343485,0.90545976,0.95789975,1.0273408,1.0309703,1.0144866,1.0088829,0.9974347,1.0067192,1.0813781,1.0567977,1.0085785,0.9983923,1.0778824,1.0752896
24,1.0262549,0.04510648,1.0198968410491944,0.04188004160920779,0.9985111,0.99029917,1.0338778,1.0196558,1.0423858,1.0444103,0.9347835,0.95562625,1.0386637,1.0355,1.0072591,1.0071564,1.000549,1.0048585,1.0937394,1.0659227,1.015494,0.9952432,1.0972854,1.080296
25,1.0319884,0.040967897,1.022265096505483,0.04357954462369283,0.9974611,0.99393415,1.0301218,1.0211722,1.0624541,1.0549335,0.9776483,0.95495766,1.0387113,1.0393863,1.0064179,1.0059855,1.0012646,1.0026693,1.093059,1.0744805,1.0056523,0.9916043,1.107094,1.0835276
26,1.0339975,0.043509644,1.0245561838150024,0.04585346579551697,1.0031791,0.9958619,1.0275143,1.0223373,1.0713332,1.066289,0.9790547,0.9561763,1.0394557,1.0442204,1.0148532,1.0054213,1.0022537,1.0003433,1.1075767,1.0808587,0.99102813,0.9878986,1.1037269,1.086155
