trial,epoch,prototype,umap_1,umap_2
1,1,1,-10.997982,7.4272256
1,1,2,-8.628335,11.012212
1,1,3,-10.84672,3.7084713
1,1,4,19.268732,-1.28805
1,1,5,20.869389,-3.6759434
1,1,6,1.7847567,15.210195
1,1,7,-5.110378,4.6702046
1,2,1,-10.984803,7.4316607
1,2,2,-8.595344,10.953333
1,2,3,-10.809312,3.7169614
1,2,4,19.272772,-1.3368158
1,2,5,20.8574,-3.6909637
1,2,6,1.7372794,15.302289
1,2,7,-5.1527715,4.6345205
1,3,1,-10.986329,7.4251556
1,3,2,-8.636421,10.994479
1,3,3,-10.849942,3.7023737
1,3,4,19.26814,-1.3030515
1,3,5,20.854015,-3.6957757
1,3,6,1.7273607,15.194621
1,3,7,-5.0957627,4.6110225
1,4,1,-10.977538,7.425788
1,4,2,-8.636021,10.998033
1,4,3,-10.842194,3.6976888
1,4,4,19.27573,-1.2813444
1,4,5,20.858843,-3.6953676
1,4,6,1.7715231,15.25529
1,4,7,-5.1398063,4.6531506
1,5,1,-10.974913,7.425661
1,5,2,-8.64159,11.004106
1,5,3,-10.8466015,3.6918378
1,5,4,19.263527,-1.2837856
1,5,5,20.86047,-3.6968563
1,5,6,1.7986554,15.206036
1,5,7,-5.132532,4.6424737
1,6,1,-11.000548,7.436324
1,6,2,-8.657554,11.01527
1,6,3,-10.856732,3.7128587
1,6,4,19.25117,-1.2515364
1,6,5,20.868887,-3.6856496
1,6,6,1.7881652,15.2267475
1,6,7,-5.146021,4.6587267
1,7,1,-10.999264,7.446421
1,7,2,-8.652498,11.028059
1,7,3,-10.858198,3.717861
1,7,4,19.26967,-1.258626
1,7,5,20.871307,-3.6750615
1,7,6,1.7720177,15.246489
1,7,7,-5.1195474,4.680247
1,8,1,-10.992268,7.4397855
1,8,2,-8.661559,11.05743
1,8,3,-10.829631,3.6815457
1,8,4,19.268353,-1.2309297
1,8,5,20.884565,-3.654806
1,8,6,1.7759036,15.225428
1,8,7,-5.1144104,4.69732
1,9,1,-11.031912,7.4763126
1,9,2,-8.671533,11.072013
1,9,3,-10.86921,3.7370477
1,9,4,19.259712,-1.2053446
1,9,5,20.85004,-3.6843948
1,9,6,1.7694144,15.221163
1,9,7,-5.091805,4.709575
1,10,1,-11.064085,7.5035048
1,10,2,-8.673415,11.091805
1,10,3,-10.86816,3.7268314
1,10,4,19.2726,-1.1872519
1,10,5,20.903574,-3.6289072
1,10,6,1.7900832,15.18309
1,10,7,-5.0782046,4.7258096
1,11,1,-11.065753,7.5170894
1,11,2,-8.685191,11.105189
1,11,3,-10.897341,3.7767324
1,11,4,19.27294,-1.1957233
1,11,5,20.909786,-3.6227837
1,11,6,1.8009675,15.165692
1,11,7,-5.0735393,4.7441983
1,12,1,-11.034943,7.478435
1,12,2,-8.688723,11.110693
1,12,3,-10.905477,3.7822082
1,12,4,19.272345,-1.1485578
1,12,5,20.952173,-3.5716112
1,12,6,1.806642,15.136316
1,12,7,-5.0570984,4.753677
1,13,1,-11.097396,7.538285
1,13,2,-8.716033,11.130628
1,13,3,-10.906862,3.7623134
1,13,4,19.271402,-1.1218331
1,13,5,20.940086,-3.5767102
1,13,6,1.813426,15.130441
1,13,7,-5.0308022,4.778935
1,14,1,-11.062446,7.5396643
1,14,2,-8.702842,11.157702
1,14,3,-10.988986,3.8715343
1,14,4,19.266567,-1.0892464
1,14,5,20.948692,-3.562314
1,14,6,1.7791259,15.13508
1,14,7,-5.015938,4.8035874
1,15,1,-11.140037,7.5697846
1,15,2,-8.655662,11.139716
1,15,3,-11.003071,3.8874698
1,15,4,19.273018,-1.064291
1,15,5,20.957987,-3.544549
1,15,6,1.8714085,15.077992
1,15,7,-4.9997954,4.801389
1,16,1,-11.148671,7.5871606
1,16,2,-8.708377,11.204185
1,16,3,-10.981368,3.8692071
1,16,4,19.261654,-1.0577639
1,16,5,20.973263,-3.5155456
1,16,6,1.8591177,15.03233
1,16,7,-4.980251,4.828146
1,17,1,-11.159326,7.5983515
1,17,2,-8.67362,11.184955
1,17,3,-10.999868,3.8790848
1,17,4,19.26689,-1.0413319
1,17,5,20.986746,-3.4924433
1,17,6,1.832269,15.0829115
1,17,7,-4.9563584,4.8226757
1,18,1,-11.204056,7.647769
1,18,2,-8.70893,11.225908
1,18,3,-11.003089,3.8909988
1,18,4,19.26075,-0.99093336
1,18,5,20.988688,-3.4908917
1,18,6,1.8850489,14.974755
1,18,7,-4.944349,4.8597507
1,19,1,-11.2048645,7.6539903
1,19,2,-8.748223,11.290762
1,19,3,-11.028894,3.9250884
1,19,4,19.230253,-0.99311984
1,19,5,21.001541,-3.4673505
1,19,6,1.8931962,14.948834
1,19,7,-4.916912,4.863746
1,20,1,-11.24989,7.6946497
1,20,2,-8.755916,11.320927
1,20,3,-11.0474615,3.9513383
1,20,4,19.256039,-0.9513588
1,20,5,21.012566,-3.4509933
1,20,6,1.9201531,14.897134
1,20,7,-4.9158287,4.853739
1,21,1,-11.314815,7.761262
1,21,2,-8.78254,11.362769
1,21,3,-11.05964,3.9732158
1,21,4,19.258833,-0.92195475
1,21,5,21.032576,-3.4243877
1,21,6,1.9495399,14.826087
1,21,7,-4.8602586,4.9282994
1,22,1,-11.311942,7.758515
1,22,2,-8.792405,11.38932
1,22,3,-11.073101,3.99163
1,22,4,19.25285,-0.8484249
1,22,5,21.046852,-3.4018068
1,22,6,1.9582435,14.792459
1,22,7,-4.8526106,4.9468904
1,23,1,-11.3652115,7.8020515
1,23,2,-8.804984,11.426366
1,23,3,-11.086363,4.0229464
1,23,4,19.259277,-0.811061
1,23,5,21.10072,-3.3212564
1,23,6,1.9392656,14.794064
1,23,7,-4.8327346,4.9804416
1,24,1,-11.391973,7.8412924
1,24,2,-8.836703,11.483227
1,24,3,-11.095712,4.029232
1,24,4,19.241425,-0.7965654
1,24,5,21.09646,-3.3260026
1,24,6,1.9401581,14.756485
1,24,7,-4.7967196,4.9972134
1,25,1,-11.430569,7.879054
1,25,2,-8.832385,11.510418
1,25,3,-11.119216,4.075044
1,25,4,19.266573,-0.7055431
1,25,5,21.103247,-3.3195724
1,25,6,1.9401628,14.714729
