epoch,prototype,mean_umap_1,mean_umap_2,std_umap_1,std_umap_2
1,1,1.7687994,3.1820927,8.955309,9.41926
1,2,3.131713,5.499795,9.46791,6.9788175
1,3,2.3591704,4.6118093,9.252576,9.621281
1,4,6.016015,5.786542,7.6317425,6.963099
1,5,7.084714,5.3000803,9.988943,8.988746
1,6,3.706405,3.478252,3.3920057,7.205182
1,7,5.611689,4.4924617,7.178833,7.6249986
2,1,1.7656428,3.1773593,8.9428005,9.417299
2,2,3.130556,5.492684,9.461296,6.9827805
2,3,2.374207,4.6180654,9.253086,9.622701
2,4,6.0099087,5.7892523,7.6277757,6.9678955
2,5,7.0885477,5.298068,9.986261,8.990269
2,6,3.7015133,3.4843712,3.396751,7.213682
2,7,5.599868,4.490317,7.181043,7.613811
3,1,1.778281,3.1761775,8.943605,9.428249
3,2,3.122828,5.4940853,9.46493,6.97322
3,3,2.382111,4.615781,9.268764,9.624599
3,4,6.007956,5.789688,7.6350904,6.965164
3,5,7.0906625,5.286734,9.985985,8.9919815
3,6,3.7015052,3.471803,3.3962188,7.1941767
3,7,5.60452,4.498133,7.1754055,7.613087
4,1,1.7750804,3.171374,8.951148,9.413724
4,2,3.132143,5.4851456,9.461493,6.973456
4,3,2.3736935,4.613124,9.260572,9.623895
4,4,6.022127,5.808922,7.625676,6.9585514
4,5,7.085897,5.284002,9.987074,8.982998
4,6,3.7109833,3.480561,3.3959281,7.199115
4,7,5.5904913,4.5074916,7.183929,7.6311927
5,1,1.7816193,3.1644118,8.944291,9.436362
5,2,3.1235554,5.486041,9.470042,6.961025
5,3,2.3670526,4.6139894,9.260773,9.620555
5,4,6.0077085,5.8050175,7.6337876,6.981216
5,5,7.0872755,5.2942624,9.9882965,8.994334
5,6,3.7047775,3.476226,3.396766,7.2041745
5,7,5.601241,4.5008802,7.1827703,7.626469
6,1,1.7697465,3.1682782,8.956955,9.417826
6,2,3.129012,5.48709,9.476949,6.968229
6,3,2.3593838,4.6208696,9.270814,9.621244
6,4,6.004168,5.7926874,7.6265883,6.964223
6,5,7.085889,5.294876,9.990881,8.993851
6,6,3.7191017,3.48544,3.3946528,7.2090845
6,7,5.605742,4.4936223,7.1900973,7.6220107
7,1,1.7708845,3.1680791,8.959308,9.415197
7,2,3.117508,5.4906507,9.462427,6.9621153
7,3,2.3639145,4.619139,9.262944,9.620632
7,4,6.005801,5.8036065,7.629966,6.9565034
7,5,7.0819907,5.2941027,9.986177,8.990109
7,6,3.7128785,3.4791245,3.3937058,7.207595
7,7,5.6022034,4.4892282,7.187127,7.6131573
