epoch,mean_raw_proto_drift,std_raw_proto_drift_across_trials,smooth_mean_raw_proto_drift,smooth_std_raw_proto_drift_across_trials,trial_1_raw_proto_drift,trial_1_smooth_raw_proto_drift,trial_2_raw_proto_drift,trial_2_smooth_raw_proto_drift,trial_3_raw_proto_drift,trial_3_smooth_raw_proto_drift,trial_4_raw_proto_drift,trial_4_smooth_raw_proto_drift,trial_5_raw_proto_drift,trial_5_smooth_raw_proto_drift,trial_6_raw_proto_drift,trial_6_smooth_raw_proto_drift,trial_7_raw_proto_drift,trial_7_smooth_raw_proto_drift,trial_8_raw_proto_drift,trial_8_smooth_raw_proto_drift,trial_9_raw_proto_drift,trial_9_smooth_raw_proto_drift,trial_10_raw_proto_drift,trial_10_smooth_raw_proto_drift
2,0.0011763878,5.1519222e-05,0.0012112315744161606,8.186533523257822e-05,0.0011201118,0.0012519137,0.0012630345,0.0012927243,0.0011712174,0.0011707183,0.0012559224,0.0013108769,0.0011692775,0.0011215963,0.0011297797,0.0011144548,0.0010978945,0.0011826683,0.0011617366,0.0011451732,0.0012012625,0.0013252428,0.0011936419,0.0011969479
3,0.0011963627,7.1988776e-05,0.0012173716677352786,8.487000013701618e-05,0.0011527155,0.0012679321,0.0012864738,0.0012973759,0.0011860605,0.0011688804,0.0013012042,0.0013215179,0.0011366914,0.001119876,0.0011173346,0.0011137316,0.0011464496,0.0012016299,0.0011356557,0.0011487204,0.0013170487,0.0013317914,0.0011839932,0.0012022617
4,0.0012199229,9.000604e-05,0.0012227817704635008,8.754047615054463e-05,0.0012998788,0.0012784752,0.0012987935,0.0013010646,0.0011767448,0.0011666231,0.0013141821,0.0013303374,0.0011027654,0.0011173891,0.0011130857,0.0011150548,0.0011802131,0.0012189427,0.0011452181,0.0011513259,0.0013766242,0.0013384303,0.001191724,0.001210175
5,0.0012285425,9.595475e-05,0.0012276589695829898,8.850735230225837e-05,0.0013416692,0.0012818781,0.0013021424,0.0013049053,0.0011651734,0.001164394,0.0013307184,0.001336932,0.001099151,0.0011189594,0.0011089958,0.0011187999,0.0012301675,0.001233369,0.0011399217,0.0011545359,0.0013686515,0.0013426512,0.0011988346,0.0012201653
6,0.001234942,9.985789e-05,0.001231839453491072,8.90067975787032e-05,0.001345193,0.0012822597,0.001313177,0.001307081,0.0011543959,0.0011638781,0.0013523573,0.0013422238,0.0011000962,0.0011211474,0.0011030782,0.001121544,0.0012586166,0.0012450317,0.0011433337,0.0011578477,0.0013626273,0.0013457705,0.0012165459,0.0012316107
7,0.0012480721,9.9893325e-05,0.0012357078259810806,8.887195799616166e-05,0.0013480241,0.0012810043,0.0013206342,0.0013092534,0.0011596904,0.0011636318,0.0013747225,0.0013456466,0.0011112748,0.0011256711,0.0011101163,0.0011248846,0.0012964383,0.001253874,0.0011664563,0.001161498,0.0013645344,0.0013485774,0.0012288301,0.0012430373
8,0.0012552424,0.00010356333,0.0012449223548173904,9.219444982591085e-05,0.0013417335,0.001292558,0.0013231973,0.0013156412,0.0011530792,0.0011630419,0.0013832545,0.0013555943,0.0011024675,0.0011251025,0.0011229938,0.001129257,0.0013228196,0.0012770394,0.0011669591,0.0011650316,0.001378264,0.001365409,0.0012576551,0.0012605486
9,0.0012617994,9.5275485e-05,0.0012517531402409076,9.343683195766062e-05,0.0013056985,0.0012968944,0.0013317892,0.0013201972,0.0011487898,0.0011609014,0.0013830945,0.001358923,0.0011299516,0.0011289126,0.0011450152,0.0011342443,0.0013343532,0.0012949824,0.0011770062,0.001172375,0.0013721973,0.0013706392,0.001290097,0.001279462
10,0.0012652833,9.300236e-05,0.0012561773182824254,9.240856306860223e-05,0.0012853133,0.0012853513,0.0013244872,0.0013232721,0.0011597521,0.0011600271,0.0013845589,0.0013586736,0.0011386509,0.0011369938,0.0011434975,0.0011418987,0.0013383329,0.0013092468,0.0011843415,0.001178844,0.0013707249,0.0013691855,0.0013231741,0.0012982803
11,0.0012705232,8.76584e-05,0.0012595195090398192,9.121259281528183e-05,0.0012697055,0.0012670262,0.0013288052,0.0013258271,0.0011614142,0.0011611781,0.0013764506,0.0013557888,0.0011663847,0.0011459393,0.0011549495,0.0011498044,0.0013334552,0.0013180829,0.0011943511,0.0011848881,0.0013738392,0.001367973,0.0013458767,0.0013186871
12,0.0012685331,8.474414e-05,0.0012621847563423216,9.026699262904003e-05,0.0012356492,0.001247223,0.0013269124,0.0013267911,0.0011653195,0.00116411,0.0013554002,0.0013497472,0.001163592,0.0011548534,0.0011735039,0.0011565017,0.001329548,0.0013239322,0.0011970723,0.0011909957,0.0013695788,0.0013676739,0.0013687548,0.0013400193
13,0.0012646705,8.44126e-05,0.001264019508380443,8.962669016909786e-05,0.0011960788,0.001228964,0.001332034,0.0013273184,0.0011646543,0.0011673019,0.0013344911,0.0013395507,0.001174791,0.0011630965,0.0011672068,0.001162433,0.0013258802,0.0013258716,0.0012090905,0.0011948625,0.0013693499,0.001367626,0.0013731279,0.0013631703
14,0.0012641647,7.972335e-05,0.001265599043108523,8.846961354720406e-05,0.001184448,0.0012139613,0.0013295423,0.0013285176,0.0011680025,0.0011716541,0.0013116875,0.0013253521,0.0011835775,0.0011727156,0.0011896294,0.0011665319,0.0013228564,0.0013246816,0.0012099082,0.0012019493,0.0013620879,0.0013661622,0.0013799071,0.0013844647
15,0.0012619644,8.3995044e-05,0.0012667808448895812,8.803506862022913e-05,0.0011584172,0.0012044581,0.0013276924,0.0013297336,0.0011766833,0.001177104,0.0013018704,0.0013089845,0.0011886079,0.0011794856,0.0011880537,0.0011695395,0.0013185284,0.0013220181,0.0012003614,0.0012089497,0.0013565272,0.0013641196,0.0014029028,0.0014034159
16,0.0012615945,9.040189e-05,0.001268121332395822,8.825323748169467e-05,0.0011471622,0.0011980362,0.0013228168,0.0013337645,0.0011837145,0.0011826168,0.001291942,0.0012901241,0.0011892357,0.0011860848,0.0011700504,0.001172097,0.0013171098,0.0013172936,0.0012044102,0.0012180991,0.0013596347,0.001362958,0.0014298676,0.0014201391
17,0.0012664197,9.34903e-05,0.0012697084457613528,8.951545751187951e-05,0.0011654338,0.0011941794,0.0013259068,0.0013382938,0.0011916097,0.0011892534,0.0012727578,0.001269946,0.0011937063,0.0011909703,0.0011694293,0.0011726655,0.0013158318,0.0013125073,0.0012051252,0.0012313885,0.0013640561,0.0013626628,0.0014603396,0.0014352174
18,0.0012710377,9.1992566e-05,0.001271669880952686,9.152302081929519e-05,0.0011917063,0.0011949701,0.0013351891,0.0013444853,0.0011966014,0.0011958177,0.0012412684,0.0012502937,0.0011986584,0.0011959048,0.0011639834,0.0011708146,0.0013109194,0.0013076926,0.0012378267,0.0012463595,0.0013636261,0.001361877,0.0014705996,0.0014484834
19,0.0012736174,9.0930036e-05,0.0012746521621011197,9.363548815599643e-05,0.0012106665,0.0011992606,0.0013439506,0.0013503693,0.001203288,0.0012049748,0.0012194177,0.0012327428,0.001197652,0.0012002545,0.0011750918,0.0011708331,0.0013077187,0.0013030833,0.0012470096,0.0012615634,0.001351771,0.0013608099,0.0014796087,0.0014626301
20,0.0012786882,9.518405e-05,0.0012787566403858364,9.647244369261898e-05,0.0012210952,0.0012043106,0.0013647955,0.0013561419,0.0012148803,0.0012153995,0.0011959559,0.0012212256,0.001204643,0.0012050683,0.0011690718,0.0011677776,0.0012910884,0.0012991759,0.0012758361,0.0012782414,0.0013591087,0.0013614005,0.0014904067,0.0014788252
21,0.0012863943,0.0001002806,0.0012838081107474863,9.861346770776436e-05,0.001231137,0.0012118337,0.0013740984,0.0013615954,0.001227781,0.0012274054,0.001174669,0.0012161769,0.001215239,0.0012093848,0.0011606348,0.0011647829,0.001285592,0.0012957931,0.0013272451,0.0012957884,0.0013708875,0.0013612214,0.0014966596,0.0014940992
22,0.0012881474,0.000104819774,0.0012891156715340913,9.982287010643632e-05,0.0012435557,0.0012211895,0.0013888277,0.0013671865,0.001230962,0.0012397919,0.0011588773,0.001212301,0.0012129367,0.0012137267,0.0011549948,0.0011645592,0.0012814013,0.0012926791,0.0013467828,0.001314758,0.0013617208,0.0013587616,0.0015014149,0.0015062033
23,0.0012944933,0.00010553727,0.0012937028077431023,0.00010058755433419719,0.0012389844,0.0012281908,0.0013908736,0.0013721532,0.0012562255,0.0012519169,0.0011589818,0.0012102905,0.0012182883,0.0012181714,0.0011673913,0.0011642885,0.0012797865,0.0012891017,0.001361129,0.0013340466,0.0013586786,0.0013542975,0.0015145944,0.001514571
24,0.0013052095,0.00010809291,0.0012978268554434181,0.0001017270638840273,0.0012349474,0.0012322876,0.0013872675,0.00137639,0.0012722489,0.0012651009,0.001196516,0.0012104462,0.0012317159,0.0012234391,0.0011590746,0.0011632215,0.0012837824,0.0012865558,0.0013766881,0.001350167,0.0013679945,0.0013486929,0.0015418587,0.0015219672
25,0.0013124791,0.000105405285,0.0013016475364565848,0.000103224981285166,0.0012336487,0.0012344136,0.0013822276,0.0013788785,0.0012967426,0.0012794305,0.0012513826,0.0012126225,0.0012317722,0.0012295037,0.0011581065,0.0011594163,0.0012847006,0.0012842325,0.0013758317,0.0013661437,0.0013547366,0.001343615,0.0015556413,0.001528219
26,0.0013146701,0.00010249591,0.0013050426496192813,0.00010420374164823442,0.0012407206,0.0012352517,0.0013787289,0.0013788455,0.0013075797,0.0012946496,0.0012531828,0.0012170228,0.0012326549,0.001235499,0.0011678133,0.001156652,0.0012859696,0.0012832822,0.0013941053,0.0013782639,0.001335036,0.0013376151,0.00155091,0.0015333445
27,0.001312291,0.00010113714,0.0013075088849291206,0.00010433177012600937,0.0012354467,0.0012351825,0.0013755729,0.0013778822,0.0013128595,0.0013086639,0.0012526537,0.001224385,0.0012381535,0.0012409564,0.0011667231,0.0011546134,0.0012800578,0.0012828526,0.0013980112,0.0013832089,0.0013194153,0.0013301264,0.0015440162,0.0015372175
28,0.0013122782,0.00010338766,0.001309743314050138,0.00010369019801146351,0.001232674,0.0012341138,0.0013775573,0.0013746421,0.0013284415,0.0013239942,0.0012428258,0.0012344894,0.0012513356,0.0012459462,0.0011533134,0.0011540359,0.0012854602,0.0012820825,0.0013990307,0.0013852007,0.0013075803,0.0013230069,0.0015445624,0.0015399212
29,0.0013118242,0.00010590921,0.0013116268790327012,0.0001029498853313271,0.0012319258,0.0012329625,0.0013688352,0.0013714189,0.0013465842,0.0013388211,0.0012411801,0.0012450577,0.0012582969,0.0012525821,0.0011370387,0.0011527212,0.0012844859,0.0012807191,0.0014067773,0.0013849125,0.0013009916,0.0013160136,0.0015421257,0.0015410598
30,0.0013126393,0.00010497165,0.0013126716134138406,0.00010172424226766452,0.001229476,0.001232805,0.0013644665,0.0013672134,0.0013670705,0.0013536933,0.0012399583,0.0012530314,0.0012645979,0.0012607962,0.0011414291,0.0011521744,0.0012815858,0.0012784015,0.0013970382,0.0013811478,0.0012991094,0.0013086951,0.0015416623,0.0015387579
31,0.0013110567,0.00010156089,0.0013124059070833028,0.00010053805817733519,0.0012304455,0.0012322055,0.001364465,0.0013634948,0.0013679238,0.001366823,0.0012482911,0.0012551597,0.0012698115,0.0012702281,0.00114025,0.0011500563,0.001281296,0.0012760386,0.0013766944,0.001375264,0.0012960008,0.001302894,0.0015353898,0.0015318954
32,0.0013104917,9.840405e-05,0.0013115531066432596,9.878580531221814e-05,0.0012328697,0.0012312378,0.0013564267,0.0013601356,0.0013842661,0.0013772765,0.0012599214,0.0012568688,0.0012628342,0.0012808734,0.0011492186,0.001147457,0.0012737007,0.0012733546,0.0013667007,0.0013666768,0.001290526,0.0012993386,0.0015284515,0.0015223118
33,0.001313329,9.813414e-05,0.0013106425059959293,9.721333990455605e-05,0.00122747,0.0012293528,0.0013586415,0.0013568748,0.0014044946,0.001386232,0.0012646653,0.0012580772,0.0012846481,0.0012932594,0.0011542446,0.0011437667,0.001266152,0.0012718474,0.0013582475,0.001357159,0.0012887459,0.0012983882,0.0015259805,0.0015114677
34,0.0013156568,9.5836476e-05,0.0013099337229505181,9.505739581072703e-05,0.001233373,0.0012270334,0.0013452122,0.0013522132,0.0014209703,0.0013941309,0.0012762535,0.0012603911,0.001313857,0.0013051151,0.0011536072,0.0011426004,0.0012606063,0.0012707666,0.0013390409,0.0013463676,0.0012948088,0.0013026922,0.0015188396,0.001498027
35,0.0013098221,9.3543444e-05,0.0013092811102978885,9.265913249691948e-05,0.0012276538,0.0012245319,0.0013450418,0.0013482331,0.0014280401,0.0013997508,0.0012726651,0.0012632213,0.0013260908,0.0013181694,0.001136924,0.0011432118,0.0012610712,0.0012691349,0.0013169938,0.0013347841,0.0012967251,0.0013080402,0.0014870156,0.001483734
36,0.0013061421,8.4973384e-05,0.0013086888240650297,9.067240680451504e-05,0.001231044,0.0012218917,0.0013451374,0.0013445602,0.0014121147,0.0014020097,0.001270274,0.0012672389,0.0013391087,0.001330164,0.0011418221,0.0011423867,0.0012591301,0.0012676058,0.0013082323,0.0013246029,0.0012994827,0.0013157619,0.0014550749,0.0014706668
37,0.001303185,8.541249e-05,0.0013083366909995675,8.942412750911899e-05,0.0012165963,0.0012176577,0.0013429649,0.0013398351,0.0014024144,0.0014042787,0.0012647372,0.0012699893,0.0013620139,0.0013418689,0.0011298192,0.0011423017,0.0012649854,0.0012658644,0.0013028336,0.001316812,0.0013099111,0.0013251458,0.0014355748,0.0014596136
38,0.0013051904,8.182822e-05,0.0013088515494018792,8.909785756259226e-05,0.0012094805,0.0012122892,0.0013309412,0.0013369124,0.0014074297,0.0014048774,0.0012659647,0.0012736152,0.0013698918,0.0013562607,0.0011416508,0.0011407589,0.0012746524,0.0012652671,0.0012911173,0.0013118216,0.0013506209,0.0013361777,0.0014101549,0.0014505356
39,0.0013052981,8.192658e-05,0.0013090073363855482,8.875802595866844e-05,0.00120691,0.0012070931,0.0013290333,0.0013346579,0.0014027839,0.0014027351,0.0012694822,0.0012782828,0.0013888406,0.0013674608,0.001143153,0.001138487,0.001268169,0.0012650496,0.0012909427,0.0013070903,0.0013544712,0.0013481742,0.0013991956,0.0014410429
40,0.0013067165,8.5104395e-05,0.0013086732011288404,8.875828789314255e-05,0.0012030745,0.0012004595,0.0013277374,0.0013358017,0.0013896599,0.0013990435,0.0012801338,0.0012823074,0.0013845438,0.0013749573,0.0011331772,0.0011349805,0.0012662949,0.0012652322,0.0012952249,0.0013048482,0.0013763274,0.0013587666,0.001410991,0.0014303353
41,0.0013075353,8.9078094e-05,0.0013087416300550103,8.840965892886743e-05,0.0011881049,0.0011955376,0.0013172153,0.001337018,0.0013906135,0.0013935668,0.0012757953,0.0012865858,0.0013868596,0.0013813553,0.0011394004,0.0011333546,0.0012638812,0.0012653964,0.0012987868,0.0013059364,0.0013898391,0.0013677519,0.0014248575,0.0014209137
42,0.0013156403,9.514135e-05,0.0013093484682030975,8.889598466339521e-05,0.0011791853,0.0011905764,0.0013271983,0.0013382566,0.0013902526,0.001389387,0.0012961806,0.0012909361,0.0014067529,0.0013861927,0.00113379,0.0011310388,0.0012677283,0.0012664469,0.0013167969,0.0013095794,0.0014008452,0.0013755272,0.0014376721,0.0014155438
43,0.0013148868,9.473583e-05,0.0013097182963974774,8.89801507582888e-05,0.0011755091,0.0011880039,0.0013360974,0.0013398317,0.0013830719,0.0013859504,0.0013113425,0.0012945882,0.0013966489,0.0013884964,0.0011315263,0.0011294892,0.0012639764,0.0012663653,0.0013109337,0.0013141187,0.00140871,0.0013811386,0.0014310529,0.001409201
44,0.0013123155,9.5839096e-05,0.0013101684395223855,8.963984146248549e-05,0.0011670367,0.001186022,0.0013566493,0.0013435653,0.0013840543,0.0013826048,0.0013164993,0.0012982948,0.0013888221,0.0013898254,0.001118542,0.0011265813,0.0012624332,0.001265618,0.00131662,0.0013209564,0.0014007334,0.0013816237,0.0014117642,0.0014065931
45,0.0013105064,9.0057154e-05,0.0013108226936310529,9.064909827429801e-05,0.0011784353,0.0011845608,0.0013572053,0.0013470965,0.0013732731,0.0013805698,0.0013154483,0.0013007744,0.0013900717,0.0013888782,0.0011206649,0.0011234431,0.0012627125,0.0012647401,0.001327876,0.0013297452,0.0013865771,0.0013809633,0.0013927992,0.0014074557
46,0.0013122105,8.983664e-05,0.0013118249480612576,9.16763900022488e-05,0.0011814311,0.0011835911,0.0013575244,0.0013510847,0.0013703163,0.0013800763,0.0013137771,0.0013020044,0.0013874819,0.0013885469,0.0011186636,0.0011217094,0.0012696356,0.0012646776,0.0013446622,0.0013389004,0.0013772371,0.0013772068,0.0014013761,0.0014104522
47,0.0013068833,8.625415e-05,0.0013127514044754206,9.251636656699702e-05,0.0011908725,0.0011848294,0.001358715,0.0013565599,0.0013680487,0.0013785972,0.0013012578,0.0013026454,0.0013850499,0.0013883375,0.0011143236,0.0011188342,0.0012641688,0.0012644689,0.0013482269,0.0013475718,0.001366024,0.0013725266,0.0013721458,0.0014131431
48,0.0013096918,8.842513e-05,0.0013124532997608185,9.268481371691451e-05,0.0011896597,0.0011873047,0.0013682778,0.0013610092,0.0013739738,0.0013725383,0.0013030302,0.0012988247,0.0013831827,0.0013858684,0.0011125723,0.0011169523,0.0012671797,0.0012633919,0.0013594936,0.0013569477,0.0013554724,0.001368174,0.0013840764,0.0014135217
49,0.0013118406,9.2019145e-05,0.0013117302558384835,9.326392828370444e-05,0.0011922998,0.001188824,0.001364345,0.0013646772,0.001382433,0.0013645858,0.0012942795,0.0012920406,0.0013793686,0.0013862288,0.0011117706,0.0011148629,0.0012593906,0.0012628995,0.0013788302,0.0013678782,0.0013478667,0.0013618022,0.0014078214,0.0014135032
50,0.001316739,9.537731e-05,0.001311140728648752,9.405878372490407e-05,0.0011933759,0.001191788,0.0013676189,0.0013667796,0.0013847257,0.0013554767,0.0012924342,0.0012846789,0.0013812302,0.0013887105,0.0011158392,0.0011132605,0.0012656703,0.0012615453,0.0013867782,0.0013793547,0.0013387619,0.0013551866,0.0014409559,0.0014146263
51,0.0013167999,9.747786e-05,0.0013110709493048488,9.508000366622582e-05,0.0012004884,0.0011933103,0.0013719677,0.0013691809,0.0013758224,0.0013490308,0.0012822052,0.0012806127,0.0013847651,0.0013909187,0.0011106502,0.0011118036,0.0012617934,0.0012609002,0.0013855008,0.0013904375,0.0013430379,0.0013486261,0.001451767,0.0014158887
52,0.0013126592,9.6825825e-05,0.0013108547311276198,9.550824615871534e-05,0.0012039393,0.0011946497,0.0013716917,0.0013721889,0.0013296643,0.0013450622,0.0012579728,0.0012784766,0.0013820634,0.001388644,0.00111497,0.0011112674,0.0012569582,0.0012603608,0.0014105557,0.0014003031,0.0013573187,0.0013424926,0.0014414575,0.0014151015
53,0.0013076564,0.00010052697,0.0013112104148603975,9.630173444747925e-05,0.0011907009,0.0011949292,0.0013727772,0.0013759545,0.001303547,0.0013405159,0.0012435019,0.0012814953,0.0014002527,0.001383565,0.0011106326,0.0011108951,0.0012590521,0.0012599695,0.0014202379,0.0014100627,0.0013449928,0.0013383268,0.0014308688,0.0014163896
54,0.0013064202,0.00010378765,0.0013111107400618494,9.707067511044443e-05,0.0011966771,0.0011946684,0.001377673,0.0013788447,0.0012929628,0.0013360641,0.0012428822,0.001284675,0.0014136387,0.0013780928,0.0011025184,0.001109947,0.001248892,0.0012590245,0.001431386,0.0014182337,0.0013345765,0.0013352458,0.0014229947,0.001416311
55,0.0013098086,0.00010026935,0.0013110523228533565,9.770875258254818e-05,0.0011936573,0.0011940483,0.0013812175,0.0013826456,0.0013088135,0.0013324725,0.0012747862,0.001288526,0.001412154,0.0013728023,0.0011060956,0.0011089608,0.0012562608,0.0012577006,0.001438703,0.001424222,0.0013209728,0.0013352106,0.0014054233,0.0014139342
56,0.0013100483,9.411907e-05,0.0013106051948852838,9.805097870412283e-05,0.0011948261,0.0011943774,0.0013876057,0.001385916,0.0013306307,0.0013279782,0.0012924155,0.0012921538,0.0013647347,0.0013674988,0.0011133017,0.0011071762,0.0012642426,0.0012553642,0.001443319,0.0014296406,0.0013159026,0.0013375918,0.0013935036,0.0014083545
57,0.0013104401,9.418903e-05,0.0013105698046274484,9.845085805864074e-05,0.0011936681,0.0011933199,0.0013963705,0.0013892323,0.001322586,0.0013249371,0.0013314451,0.0012968777,0.0013342603,0.0013634278,0.0011106005,0.0011057904,0.0012602553,0.0012541133,0.0014458223,0.0014356155,0.001324366,0.001341423,0.0013850273,0.0014009606
58,0.0013086951,9.6114534e-05,0.0013113877503201365,9.911913730320521e-05,0.0011870506,0.0011907681,0.0013971803,0.0013928384,0.0013294556,0.0013275924,0.0013348267,0.0013045454,0.0013284602,0.0013624309,0.0011030913,0.0011041792,0.0012577294,0.0012541636,0.0014412042,0.0014388756,0.0013246619,0.001343865,0.0013832905,0.0013946189
59,0.0013112564,9.839992e-05,0.0013127394719049334,9.909606596920639e-05,0.0011861,0.0011896789,0.0014023536,0.0013959673,0.0013465175,0.0013321458,0.0013327898,0.0013134418,0.0013264642,0.0013601049,0.0011019085,0.0011042029,0.0012461514,0.0012538471,0.0014387127,0.0014407289,0.0013475147,0.0013478891,0.0013840528,0.001389388
60,0.0013122677,9.879957e-05,0.0013141380622982979,9.857897239271552e-05,0.001196667,0.0011879371,0.0014003234,0.0013977658,0.0013397821,0.0013380148,0.0013287126,0.0013223365,0.0013281949,0.0013553967,0.0010979929,0.0011048616,0.0012423064,0.0012560687,0.0014409643,0.00144157,0.0013625746,0.0013531026,0.0013851594,0.0013843267
61,0.001316446,0.00010147665,0.0013150691404007376,9.833193253143691e-05,0.0011899129,0.0011863188,0.0014051312,0.0013998218,0.0013454116,0.0013421652,0.0013294445,0.0013279745,0.0013440552,0.0013501914,0.0010967924,0.0011052013,0.0012492844,0.0012578581,0.0014452499,0.0014411453,0.0013813499,0.0013595792,0.0013778288,0.001380436
62,0.0013208387,0.00010350862,0.0013154878513887524,9.816305100684986e-05,0.0011784211,0.0011847207,0.0014077525,0.0014015149,0.0013562167,0.0013429662,0.0013346502,0.0013311144,0.0013720933,0.0013494212,0.0010988584,0.001105695,0.0012574617,0.0012584601,0.0014431567,0.0014380177,0.0013817372,0.0013663743,0.0013780395,0.0013765941
63,0.0013211736,0.00010029626,0.0013156431028619408,9.850128190009854e-05,0.0011798094,0.0011826466,0.0014040656,0.0014036493,0.0013490815,0.0013437158,0.001332465,0.0013301795,0.0013769934,0.0013514769,0.0011108692,0.001105057,0.0012558872,0.0012591211,0.0014387707,0.0014347159,0.0013852345,0.0013724505,0.0013785597,0.0013734187
64,0.0013204061,9.8616714e-05,0.001316384633537382,9.833256845013239e-05,0.001179259,0.0011814005,0.0013956578,0.0014058702,0.0013516535,0.0013438809,0.0013318295,0.0013292321,0.0013665566,0.0013547866,0.0011091052,0.0011067276,0.0012711082,0.001260877,0.0014397971,0.0014318259,0.0013867117,0.0013788618,0.001372382,0.0013703841
65,0.0013191194,9.7798955e-05,0.0013170336605980992,9.799049366847612e-05,0.0011774736,0.0011802008,0.0014017784,0.0014073657,0.0013503163,0.0013442268,0.001331166,0.0013268575,0.0013601014,0.0013597608,0.0011094926,0.001108819,0.0012741544,0.0012641024,0.0014344563,0.0014296694,0.0013857383,0.0013829783,0.0013665165,0.0013663562
66,0.0013142354,9.243025e-05,0.0013173997052945197,9.763072011992335e-05,0.0011788451,0.0011775282,0.0014045353,0.0014083248,0.0013386412,0.0013458189,0.0013238157,0.0013237332,0.0013570329,0.0013646127,0.0011182392,0.0011115092,0.0012702626,0.0012672412,0.0014120428,0.0014276005,0.0013838547,0.0013852812,0.0013550842,0.0013623474
67,0.0013119926,9.757134e-05,0.0013170229038223624,9.700819209683687e-05,0.0011729273,0.0011747343,0.0014177159,0.0014088653,0.0013300822,0.00134526,0.0013220954,0.0013202098,0.0013548167,0.0013687458,0.0011042197,0.0011141511,0.0012668648,0.0012704388,0.0014128041,0.0014244228,0.0013851275,0.0013850423,0.0013532733,0.0013583588
68,0.0013161104,9.44274e-05,0.0013154701329767704,9.600080738891847e-05,0.0011745894,0.0011734896,0.0014193883,0.0014087115,0.0013311058,0.0013411033,0.0013253522,0.0013146927,0.0013615575,0.0013707889,0.0011197983,0.0011159821,0.0012752886,0.00127294,0.0014123044,0.0014207374,0.0013887754,0.0013823016,0.0013529444,0.0013539542
69,0.0013177467,9.497917e-05,0.0013132204301655292,9.518174556433223e-05,0.0011741032,0.0011717391,0.001417308,0.0014085142,0.0013499772,0.001336163,0.001309044,0.0013079311,0.0013762059,0.0013725564,0.0011228226,0.0011165687,0.0012784054,0.0012756886,0.0014171479,0.001416365,0.0013886789,0.0013777319,0.0013437737,0.001348946
70,0.0013159282,9.520184e-05,0.0013113366672769188,9.405249802512117e-05,0.0011699402,0.0011716826,0.0014099152,0.0014077597,0.0013557028,0.001333298,0.0012974702,0.0013026202,0.001376714,0.0013750835,0.001124894,0.0011173155,0.0012736941,0.0012770088,0.0014202757,0.0014115587,0.0013856038,0.0013729517,0.0013450722,0.0013440877
71,0.001312678,9.525137e-05,0.0013098475290462374,9.279202786274254e-05,0.0011619745,0.001173076,0.0014105362,0.0014060233,0.0013398227,0.001331019,0.0012942095,0.001298327,0.0013853867,0.0013797788,0.0011232117,0.0011181788,0.0012812606,0.0012784714,0.0014134732,0.0014061899,0.0013789615,0.0013681536,0.0013379424,0.0013392572
72,0.001305311,9.343477e-05,0.0013089406653307377,9.193682126351632e-05,0.0011659748,0.0011755917,0.0014062149,0.0014035247,0.0013146506,0.0013298846,0.0012794788,0.0012958276,0.0013925234,0.0013845772,0.0011171682,0.0011177678,0.0012824739,0.0012802335,0.0014063019,0.0014032964,0.0013543289,0.001363697,0.0013339935,0.0013350063
73,0.0012986766,9.210564e-05,0.0013076828559860586,9.036359115270898e-05,0.0011623034,0.0011788257,0.0014020924,0.0013988697,0.0012996776,0.0013272946,0.0012648503,0.001293126,0.0013946695,0.0013897113,0.0011167347,0.0011188237,0.0012833736,0.0012814505,0.0013950473,0.0013995628,0.001339538,0.0013584805,0.0013284785,0.0013306837
74,0.0013015685,8.732424e-05,0.0013058400596491992,8.892954429029487e-05,0.001178695,0.0011822187,0.0013881132,0.001394408,0.0013230036,0.0013233079,0.0012787202,0.0012908707,0.0013918265,0.0013934153,0.0011165737,0.0011183246,0.0012843098,0.0012819566,0.0013917341,0.0013948902,0.0013389101,0.0013533975,0.0013237981,0.001325611
75,0.001304228,8.519425e-05,0.0013038739678449928,8.773032313911245e-05,0.0011914074,0.0011867852,0.0013844132,0.0013893677,0.0013275262,0.001315798,0.0012882336,0.0012913805,0.0014070553,0.00139575,0.0011181266,0.0011161189,0.0012887811,0.0012829296,0.0013807671,0.0013907485,0.0013377576,0.0013486275,0.0013182126,0.0013212335
