epoch,mean_drift_acceleration,std_drift_acceleration_across_trials,smooth_mean_drift_acceleration,smooth_std_drift_acceleration_across_trials
3,1.9974841e-05,4.2008727e-05,1.433684792573331e-05,2.6556236116448416e-05
4,2.356025e-05,4.745797e-05,1.3142414900357835e-05,2.4243335246865172e-05
5,8.619571e-06,2.022235e-05,1.2201624355969085e-05,2.3461917797768755e-05
6,6.399576e-06,1.2312351e-05,1.1111930945162385e-05,2.2165528889672714e-05
7,1.3130002e-05,1.0779785e-05,1.0459478112857647e-05,2.111060105865666e-05
8,7.17025e-06,1.2678831e-05,9.214525289280572e-06,2.0580196542141492e-05
9,6.556881e-06,1.8773413e-05,6.8307693709357405e-06,1.787016535672592e-05
10,3.484077e-06,1.30908065e-05,4.424173101824635e-06,1.4289972114056582e-05
11,5.2398555e-06,1.2671178e-05,3.342193843991481e-06,1.3493183905666228e-05
12,-1.9900501e-06,1.5806556e-05,2.6652251790437733e-06,1.3435307391773676e-05
13,-3.862718e-06,1.4908415e-05,1.8347525610806769e-06,1.3586778186436277e-05
14,-5.0571344e-07,1.1656036e-05,1.5795499848536565e-06,1.4001981980982237e-05
15,-2.2002212e-06,1.2254467e-05,1.1818198800028767e-06,1.327900599790155e-05
16,-3.7011085e-07,1.1733586e-05,1.3404817991613526e-06,1.3497696727426955e-05
17,4.825276e-06,1.2294493e-05,1.5871179357418441e-06,1.4032651688467012e-05
18,4.618224e-06,1.6830869e-05,1.961426301022584e-06,1.352109666186152e-05
19,2.57958e-06,1.1543653e-05,2.982297087328334e-06,1.2943664023623569e-05
20,5.0706963e-06,1.5277714e-05,4.1044663760203545e-06,1.3150718768883962e-05
21,7.706217e-06,1.8020728e-05,5.05145806641849e-06,1.3789976674161152e-05
22,1.7530335e-06,1.0691006e-05,5.307572268975491e-06,1.3604528430732898e-05
23,6.3459897e-06,9.134089e-06,4.587132821143314e-06,1.2993536029171082e-05
24,1.0715979e-05,1.3726583e-05,4.124022713103415e-06,1.2245967764101805e-05
25,7.2696957e-06,1.8647046e-05,3.82067147031151e-06,1.2002682751699467e-05
26,2.1910312e-06,9.879103e-06,3.3951261014131264e-06,1.1253125785515295e-05
27,-2.3791185e-06,6.184569e-06,2.4662442126732744e-06,1.0184259008383378e-05
28,-1.2877069e-08,9.355186e-06,2.234417833069102e-06,1.0028625001723413e-05
29,-4.539324e-07,9.110803e-06,1.8835630624103317e-06,1.0127173572982428e-05
30,8.152426e-07,7.782144e-06,1.0447576312522245e-06,1.0135717366210883e-05
31,-1.5826021e-06,7.3320602e-06,-2.656913568266361e-07,9.569423491484486e-06
32,-5.6523027e-07,9.134666e-06,-8.528047703570962e-07,9.780358686839463e-06
33,2.837442e-06,1.0119575e-05,-9.105875153458954e-07,1.0375129249950987e-05
34,2.3279251e-06,1.3812021e-05,-7.087679591677443e-07,1.1147789018650656e-05
35,-5.834794e-06,1.2984107e-05,-6.526001456563791e-07,1.0999858704963118e-05
36,-3.680103e-06,1.1988455e-05,-5.922941156200068e-07,1.1240767116760253e-05
37,-2.956946e-06,1.2132275e-05,-3.521416076068817e-07,1.1393724344088696e-05
38,2.0053185e-06,1.7081784e-05,5.148691641920777e-07,1.1475121937110089e-05
39,1.0774575e-07,7.6315e-06,1.5579428378487136e-07,1.1256765174039173e-05
40,1.4183029e-06,1.0191228e-05,-3.341464648087822e-07,1.095066718335147e-05
41,8.18923e-07,8.8616325e-06,6.841771806875841e-08,1.0605023089738096e-05
42,8.104877e-06,9.9486415e-06,6.068529856406712e-07,1.0108163678523852e-05
43,-7.533068e-07,7.936007e-06,3.6982152238351775e-07,9.902964393404545e-06
44,-2.5714824e-06,1.0751041e-05,4.501477079088545e-07,8.864503433869686e-06
45,-1.8091523e-06,9.527666e-06,6.542349126448244e-07,9.194898848363663e-06
46,1.7042497e-06,7.019861e-06,1.00225283290456e-06,9.216930720867822e-06
47,-5.3272606e-06,1.0080282e-05,9.2644439604328e-07,8.997558870760258e-06
48,2.8085803e-06,6.6971743e-06,-2.9811022983494695e-07,9.885676536214306e-06
49,2.1486178e-06,1.0935454e-05,-7.230592544260617e-07,1.0328812822990586e-05
50,4.898482e-06,1.0411547e-05,-5.895317784165854e-07,1.0148046112590236e-05
51,6.0838644e-08,6.667914e-06,-6.979361870662615e-08,1.0534176817600383e-05
52,-4.140669e-06,1.8829818e-05,-2.1623470587428527e-07,1.167113114206586e-05
53,-5.002797e-06,1.236737e-05,3.556873863885812e-07,1.2326315936661558e-05
54,-1.2362076e-06,8.943374e-06,-9.968136538418548e-08,1.2096444834241993e-05
55,3.3882293e-06,1.33889735e-05,-5.840199293061232e-08,1.1965078692810494e-05
56,2.3983884e-07,1.8389404e-05,-4.4712210893749217e-07,1.158252503046242e-05
57,3.919603e-07,1.663213e-05,-3.5376012874621666e-08,1.172361812677991e-05
58,-1.7451072e-06,4.3984633e-06,8.179590736290265e-07,1.0816175517902593e-05
59,2.5614115e-06,9.621793e-06,1.3517323736778052e-06,1.0101525504069286e-05
60,1.0112809e-06,6.5860104e-06,1.3985916098135931e-06,9.883381972031203e-06
