cid,smiles,candidate_index,nearest_prototype,max_prototype_similarity,assigned_prototype,prototype_similarity,rank_within_prototype
68979,B(C)(C)C,11,1,0.82177204,1,0.82177204,1
138247,B(C)(C)OC,13,1,0.819822,1,0.819822,2
78020,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,22,1,0.8143486,1,0.8143486,3
71390453,B(C1=CC=CC=C1C=C)(O[Si](C)(C)C)O[Si](C)(C)C,19,1,0.8121702,1,0.8121702,4
11090867,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)Cl)C3CC3,34,1,0.81146127,1,0.81146127,5
25068199,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=C(C1=O)C=CC(=C2OC)F)C3CC3,49,1,0.8071502,1,0.8071502,6
57041839,B(C1=CC(=CC=C1)C=C)(O[Si](C)(C)C)O[Si](C)(C)C,41,1,0.80600876,1,0.80600876,7
13789232,B(C1=CC=CC=C1B(Cl)Cl)(Cl)Cl,25,1,0.8051367,1,0.8051367,8
22338812,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F,3,1,0.8051332,1,0.8051332,9
425307,B(OC(=O)C)(OC(=O)C)OC(=O)C,8,1,0.80499405,1,0.80499405,10
140062,B(OCCC)(Cl)Cl,38,1,0.80337876,1,0.80337876,11
517955,B(C)(C)CC,67,1,0.80289143,1,0.80289143,12
8470,B(OC)(OC)OC,76,1,0.79917103,1,0.79917103,13
12418354,B(C1=CC=CC=C1)(O[Si](C)(C)C)O[Si](C)(C)C,42,1,0.7973033,1,0.7973033,14
15877487,B(C1=CC=CC=C1OC)(OC)OC,26,1,0.7923679,1,0.7923679,15
11522786,B(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)OCC3=CN=CN3,39,2,0.83243436,2,0.83243436,1
71422784,B(C1=CC=C(C=C1)C2=CC(=NC(=C2)C3=CC=CC=N3)C4=CC=CC=N4)(C5=C(C=C(C=C5C)C)C)C6=C(C=C(C=C6C)C)C,72,2,0.83190316,2,0.83190316,2
15158954,B(CC)(CC)C1=CN=CN=C1,64,2,0.8277093,2,0.8277093,3
22663171,B(CC)(CC)C1=CC(=CN=C1)SC,31,2,0.82762283,2,0.82762283,4
2736779,B(C1=CN=C(N=C1)OC)(OC)OC,14,2,0.8220971,2,0.8220971,5
66709077,B(C1=CN(N=C1)C)(OCC)OCC,33,2,0.82168984,2,0.82168984,6
21846318,B(C1=CC=C(C2=CC=CC=C12)F)(OC)OC,21,3,0.83734894,3,0.83734894,1
23115783,B(C1=C(C=C(C=C1C)C)C)(C2=C(C=C(C=C2C)C)C)C3=C4C=CC=CC4=C(C5=CC=CC=C35)C6=CC=CC=C6,50,3,0.80706763,3,0.80706763,2
25112575,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C4=CC=CC=C4C(=C3C=C2)C5=CC6=CC=CC=C6C=C5)C7=CC8=CC=CC=C8C=C7,45,3,0.7904896,3,0.7904896,3
581701,B(CC)(OC1=CC2=CC=CC=C2C=C1)OC3=CC4=CC=CC=C4C=C3,70,3,0.7902612,3,0.7902612,4
58489416,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C3=CC4=C(C=C3)C5=CC=CC=C5C6=CC=CC=C64,35,3,0.78825617,3,0.78825617,5
11077956,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC4=CC=CC5=C4C3=C(C=C2)C=C5,71,3,0.78485286,3,0.78485286,6
58050304,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=CC3=C(C4=CC=CC=C24)C5=CC=CC6=CC=CC=C65,0,3,0.78383,3,0.78383,7
19048526,B(C1=CC=CC2=CC=CC=C12)(OC3=CC=CC4=CC=CC=C43)OC5=CC=CC6=CC=CC=C65,74,3,0.7833527,3,0.7833527,8
71384845,B(C(CC)CCCCC)(C(CC)CCCCC)C(CC)CCCCC,66,5,0.7499092,5,0.7499092,1
122587,B(C(C)C(C)C)(C(C)C(C)C)C(C)C(C)C,63,5,0.74952817,5,0.74952817,2
71346374,[B](N(C(C)C)C(C)C)N(C(C)C)C(C)C,23,5,0.7494205,5,0.7494205,3
108841,B(OCCCCCCCCCCC(C)C)(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C,59,5,0.7489742,5,0.7489742,4
219443,B(OC(CC(C)C)CC(C)C)(OC(CC(C)C)CC(C)C)OC(CC(C)C)CC(C)C,73,5,0.748165,5,0.748165,5
71384846,B(C(C)CCCCCC)(C(C)CCCCCC)C(C)CCCCCC,68,5,0.7469909,5,0.7469909,6
21424,B(OC(C)CC(C)C)(OC(C)CC(C)C)OC(C)CC(C)C,46,5,0.7407378,5,0.7407378,7
13680388,B(CCCCCC)(C(C)C(C)C)C(C)C(C)C,40,5,0.7400968,5,0.7400968,8
108816,B(OCCCCCCCCCCCCC)(OCCCCCCCCCCCCC)OCCCCCCCCCCCCC,7,5,0.73873425,5,0.73873425,9
89239536,B(OCC(CCC)CCCCC)(OCC(CCC)CCCCC)OCC(CCC)CCCCC,1,5,0.7375764,5,0.7375764,10
71334465,B(CCCCCCCCCCC(C)C)(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,58,5,0.73744935,5,0.73744935,11
292409,B(OCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC,4,5,0.73619753,5,0.73619753,12
44149305,B(OCCCCCCC(C)C)(OCCCCCCC(C)C)OCCCCCCC(C)C,12,5,0.7356507,5,0.7356507,13
352104,B(CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC,37,5,0.7332117,5,0.7332117,14
11096582,B(C#C)(N(C(C)C)C(C)C)N(C(C)C)C(C)C,60,5,0.7307011,5,0.7307011,15
71386315,B(CCCCCCCC)(CCCCCCCC)C(=CCCCCCC)CCCCCCCC,61,5,0.7300816,5,0.7300816,16
17177,B(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,56,5,0.7240414,5,0.7240414,17
64670,B(OCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC,10,5,0.7239757,5,0.7239757,18
21425,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC,75,5,0.7137601,5,0.7137601,19
11050988,B(C1=C2C(=C(C(=C1F)F)F)C(=C(C(=C2F)F)F)F)(C3=C4C(=C(C(=C3F)F)F)C(=C(C(=C4F)F)F)F)C5=C6C(=C(C(=C5F)F)F)C(=C(C(=C6F)F)F)F,48,6,0.81985205,6,0.81985205,1
10876447,B(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)(C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F)C5=C(C6=C(C(=C5F)F)C(=C(C(=C6F)F)F)F)F,27,6,0.8165456,6,0.8165456,2
12159360,B(C1=C(C(=C(C(=C1F)F)F)F)B(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)(C4=C(C(=C(C(=C4F)F)F)F)F)C5=C(C(=C(C(=C5F)F)F)F)F,53,6,0.8109764,6,0.8109764,3
582056,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,62,6,0.81005937,6,0.81005937,4
10959856,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)Cl,77,6,0.8088399,6,0.8088399,5
4438527,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,54,6,0.8084469,6,0.8084469,6
71428744,B(C1=CC(=C(C(=C1F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,16,6,0.808264,6,0.808264,7
71420187,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F,5,6,0.8070155,6,0.8070155,8
11115716,B(C)(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,36,6,0.8066543,6,0.8066543,9
18329245,B(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,30,6,0.8066335,6,0.8066335,10
11727684,[B](C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,9,6,0.8056677,6,0.8056677,11
71447200,B(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,32,6,0.8052476,6,0.8052476,12
11327649,B(C1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,69,6,0.80516845,6,0.80516845,13
2736203,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,2,6,0.80484116,6,0.80484116,14
75360847,B(OCC(C(F)(F)F)(F)F)(OCC(C(F)(F)F)(F)F)OCC(C(F)(F)F)(F)F,29,6,0.804656,6,0.804656,15
15520532,B(C)(C)C1=C(C(=C(C(=C1F)F)F)F)F,44,6,0.8046157,6,0.8046157,16
15605783,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC(C)C)OC(C)C,43,6,0.8044784,6,0.8044784,17
54472851,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F,47,6,0.8043332,6,0.8043332,18
71350376,B(C=CC1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,18,6,0.80394095,6,0.80394095,19
52915087,B(OCC(C(F)F)(F)F)(OCC(C(F)F)(F)F)OCC(C(F)F)(F)F,57,6,0.80188894,6,0.80188894,20
12626668,B(C1=C(C(=C(C(=C1F)F)F)F)F)(Cl)Cl,52,6,0.80061734,6,0.80061734,21
15887311,B(OC1=C(C(=C(C(=C1F)F)F)F)F)(OC2=C(C(=C(C(=C2F)F)F)F)F)OC3=C(C(=C(C(=C3F)F)F)F)F,65,6,0.797373,6,0.797373,22
4121732,B(N1CCCC1)(N2CCCC2)N3CCCC3,24,6,0.79679537,6,0.79679537,23
18373965,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC)OC,6,6,0.7956427,6,0.7956427,24
3599767,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,20,6,0.7924919,6,0.7924919,25
99779912,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(S2)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,15,6,0.79055285,6,0.79055285,26
85613962,B(C1=C(C(=C(C(=C1F)F)F)F)F)(SC)SC,28,6,0.7901176,6,0.7901176,27
22722373,B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(C(=C(C(=C3F)F)F)F)F,51,6,0.7892118,6,0.7892118,28
144241,B(N=C(C(F)(F)F)C(F)(F)F)(N(C)C)N(C)C,55,6,0.78481096,6,0.78481096,29
4072412,B(B(N1CCCC1)N2CCCC2)(N3CCCC3)N4CCCC4,17,6,0.78145653,6,0.78145653,30
