x,y,group
-2.1848676,5.5804887,Positive
-2.7402523,5.5079117,Positive
-1.7696776,5.3656144,Positive
-3.676576,8.275573,Positive
-4.193803,9.249341,Positive
-3.3440793,9.293831,Positive
1.422362,16.845467,Positive
-1.6533269,8.744948,Positive
-4.138793,9.245085,Positive
0.8895855,16.555891,Positive
-1.2489638,5.6104035,Positive
-0.9958639,4.118945,Positive
0.5010409,17.043472,Positive
-2.486899,7.762845,Positive
1.334031,16.872131,Positive
-3.3793523,9.379949,Positive
-1.8098153,5.4302645,Positive
-2.5566854,5.816784,Positive
-4.1698446,9.251004,Positive
-1.6830873,6.0769567,Positive
-2.3783782,5.5402575,Positive
-1.3004833,4.328227,Positive
-2.6536677,5.260792,Positive
-4.143207,9.2726555,Positive
-1.3977504,6.5436864,Positive
-2.524493,7.5947423,Positive
-2.6445844,5.5087996,Positive
-2.1028433,5.5599,Positive
-4.120754,9.241301,Positive
-2.674976,5.4895697,Positive
1.427958,16.484285,Positive
-2.5668712,7.2683434,Positive
1.290406,16.780712,Positive
-1.480379,5.8203616,Positive
-4.192413,9.245851,Positive
-1.6840174,3.5376186,Positive
-4.22732,9.222457,Positive
-2.8503008,4.6614213,Positive
0.5701839,11.050581,Positive
-1.0549353,5.695549,Positive
-2.6742544,4.6847754,Positive
-3.6173675,3.33273,Positive
0.84120494,16.431133,Positive
-1.5515543,5.7483087,Positive
-1.7562677,4.0706325,Positive
-3.6803923,8.142904,Positive
-2.5530553,5.8787436,Positive
-2.5599532,5.4434915,Positive
-2.5953143,5.462847,Positive
-4.1672482,9.263623,Positive
-3.3541036,9.3406105,Positive
-4.155637,9.247375,Positive
-4.1913066,9.23916,Positive
0.8949963,16.517836,Positive
-3.4841714,7.926995,Positive
-3.5609827,9.373107,Positive
-3.4938617,7.727379,Positive
-3.61785,3.3218071,Positive
-3.6203334,3.3344343,Positive
0.9572071,16.828892,Positive
-3.304968,9.297529,Positive
-4.221935,9.212432,Positive
-4.1421885,9.240386,Positive
-2.5392,6.1235533,Positive
-2.7368596,5.706388,Positive
0.89879584,11.950893,Positive
-1.1514487,5.628785,Positive
-4.2174697,9.217181,Positive
-2.4725356,6.105781,Positive
-4.2064285,9.246276,Positive
-4.1064134,9.254666,Positive
-3.631068,10.271377,Positive
-2.569087,5.463167,Positive
-4.2184963,9.227017,Positive
-1.3355122,8.072355,Positive
-3.5208716,7.713979,Positive
-4.1076956,9.258511,Positive
-3.5010562,7.7300563,Positive
-1.4071622,8.036811,Positive
-1.5966395,5.4331417,Positive
-2.5599837,5.383817,Positive
0.86255544,16.706877,Positive
-3.502394,9.331325,Positive
1.349932,16.84457,Positive
-1.894108,8.311363,Positive
-4.195242,9.247122,Positive
-1.7745798,8.506022,Positive
-3.2755044,9.127489,Positive
-3.5268805,9.365902,Positive
-4.181847,9.245249,Positive
-2.5194733,6.1549034,Positive
-1.5101612,5.8173575,Positive
1.250013,16.820951,Positive
-2.5508583,5.910096,Positive
-4.195788,9.235137,Positive
-0.9227217,5.638528,Positive
-3.6069949,3.3041348,Positive
-2.718163,8.69601,Positive
1.3228225,16.724293,Positive
-2.4609585,5.8211284,Positive
-2.5796316,9.520509,Positive
-4.2359476,9.220049,Positive
-4.2193,9.232157,Positive
-1.6701802,8.541726,Positive
1.3026793,16.669373,Positive
-4.2286634,9.220995,Positive
-2.08116,4.7740135,Positive
-4.1792326,9.247769,Positive
-2.5440457,5.8869658,Positive
