feature,feature_index,physical_meaning,positive,unlabeled,delta,abs_delta
N67,67,vdw_radius_scaled,0.12001418790774536,0.07250066142690656,0.0475135264808388,0.0475135264808388
N68,68,covalent_radius_scaled,0.09315615751059046,0.050264925099219954,0.04289123241137051,0.04289123241137051
N65,65,is_aromatic,0.027861974027746268,0.05999817210663082,-0.03213619807888455,0.03213619807888455
N59,59,SP2,0.049389799428085135,0.07665509624312662,-0.027265296815041487,0.027265296815041487
N0,0,C,0.059201519850931895,0.08593532101280778,-0.026733801161875882,0.026733801161875882
N74,74,n_hydrogens_1,0.017222260320271097,0.043891631441315124,-0.026669371121044026,0.026669371121044026
N64,64,is_in_a_ring,0.04587082796841436,0.07099687695698834,-0.025126048988573978,0.025126048988573978
N73,73,n_hydrogens_0,0.0766307784923601,0.05303800750302829,0.023592770989331803,0.023592770989331803
N60,60,SP3,0.060319310785180255,0.03932327537901599,0.020996035406164265,0.020996035406164265
N4,4,F,0.020410034466090504,0.0035111880993898325,0.016898846366700672,0.016898846366700672
N46,46,n_heavy_neighbors_3,0.023639208276141337,0.035546519744567455,-0.011907311468426118,0.011907311468426118
N45,45,n_heavy_neighbors_2,0.0437594450926119,0.05359908806249512,-0.009839642969883225,0.009839642969883225
N52,52,formal_charge_0,0.10693533270976019,0.11635478833062117,-0.009419455620860981,0.009419455620860981
N44,44,n_heavy_neighbors_1,0.034320321647847936,0.025158804602592514,0.009161517045255422,0.009161517045255422
N2,2,O,0.022438618013430132,0.013648801184616604,0.008789816828813529,0.008789816828813529
