prototype,motif,smarts,n_molecules_in_prototype,motif_count,motif_frequency
P1,tetra-alkoxy borate,[#5](-[#8])(-[#8])(-[#8])-[#8],16,0,0.0
P1,tri-alkoxy borate,[#5;D3;+0](-[#8])(-[#8])-[#8],16,2,0.125
P1,boron_oxalate,[#5]1[#8][#6](=[#8])[#6](=[#8])[#8]1,16,0,0.0
P1,BF3-like motif,[#5](-[#9])(-[#9])-[#9],16,3,0.1875
P1,fluorinated alkoxy,[#8]-[#6]-[#6](-[#9])(-[#9])-[#9],16,0,0.0
P1,C-B(OR)2 motif,[#6]-[#5;D3;+0](-[#8]-[#6])-[#8]-[#6],16,9,0.5625
P1,pentafluorophenyl group,[c;D3]1[c]([#9])[c]([#9])[c]([#9])[c]([#9])[c]1[#9],16,0,0.0
P1,catechol boronate,[#5]1-[#8]-c2ccccc2-[#8]-1,16,0,0.0
P2,tetra-alkoxy borate,[#5](-[#8])(-[#8])(-[#8])-[#8],12,3,0.25
P2,tri-alkoxy borate,[#5;D3;+0](-[#8])(-[#8])-[#8],12,1,0.08333333333333333
P2,boron_oxalate,[#5]1[#8][#6](=[#8])[#6](=[#8])[#8]1,12,2,0.16666666666666666
P2,BF3-like motif,[#5](-[#9])(-[#9])-[#9],12,0,0.0
P2,fluorinated alkoxy,[#8]-[#6]-[#6](-[#9])(-[#9])-[#9],12,0,0.0
P2,C-B(OR)2 motif,[#6]-[#5;D3;+0](-[#8]-[#6])-[#8]-[#6],12,2,0.16666666666666666
P2,pentafluorophenyl group,[c;D3]1[c]([#9])[c]([#9])[c]([#9])[c]([#9])[c]1[#9],12,6,0.5
P2,catechol boronate,[#5]1-[#8]-c2ccccc2-[#8]-1,12,2,0.16666666666666666
P3,tetra-alkoxy borate,[#5](-[#8])(-[#8])(-[#8])-[#8],14,8,0.5714285714285714
P3,tri-alkoxy borate,[#5;D3;+0](-[#8])(-[#8])-[#8],14,1,0.07142857142857142
P3,boron_oxalate,[#5]1[#8][#6](=[#8])[#6](=[#8])[#8]1,14,9,0.6428571428571429
P3,BF3-like motif,[#5](-[#9])(-[#9])-[#9],14,0,0.0
P3,fluorinated alkoxy,[#8]-[#6]-[#6](-[#9])(-[#9])-[#9],14,0,0.0
P3,C-B(OR)2 motif,[#6]-[#5;D3;+0](-[#8]-[#6])-[#8]-[#6],14,1,0.07142857142857142
P3,pentafluorophenyl group,[c;D3]1[c]([#9])[c]([#9])[c]([#9])[c]([#9])[c]1[#9],14,0,0.0
P3,catechol boronate,[#5]1-[#8]-c2ccccc2-[#8]-1,14,1,0.07142857142857142
P4,tetra-alkoxy borate,[#5](-[#8])(-[#8])(-[#8])-[#8],19,8,0.42105263157894735
P4,tri-alkoxy borate,[#5;D3;+0](-[#8])(-[#8])-[#8],19,1,0.05263157894736842
P4,boron_oxalate,[#5]1[#8][#6](=[#8])[#6](=[#8])[#8]1,19,0,0.0
P4,BF3-like motif,[#5](-[#9])(-[#9])-[#9],19,0,0.0
P4,fluorinated alkoxy,[#8]-[#6]-[#6](-[#9])(-[#9])-[#9],19,0,0.0
P4,C-B(OR)2 motif,[#6]-[#5;D3;+0](-[#8]-[#6])-[#8]-[#6],19,8,0.42105263157894735
P4,pentafluorophenyl group,[c;D3]1[c]([#9])[c]([#9])[c]([#9])[c]([#9])[c]1[#9],19,0,0.0
P4,catechol boronate,[#5]1-[#8]-c2ccccc2-[#8]-1,19,11,0.5789473684210527
P5,tetra-alkoxy borate,[#5](-[#8])(-[#8])(-[#8])-[#8],22,0,0.0
P5,tri-alkoxy borate,[#5;D3;+0](-[#8])(-[#8])-[#8],22,7,0.3181818181818182
P5,boron_oxalate,[#5]1[#8][#6](=[#8])[#6](=[#8])[#8]1,22,0,0.0
P5,BF3-like motif,[#5](-[#9])(-[#9])-[#9],22,9,0.4090909090909091
P5,fluorinated alkoxy,[#8]-[#6]-[#6](-[#9])(-[#9])-[#9],22,0,0.0
P5,C-B(OR)2 motif,[#6]-[#5;D3;+0](-[#8]-[#6])-[#8]-[#6],22,1,0.045454545454545456
P5,pentafluorophenyl group,[c;D3]1[c]([#9])[c]([#9])[c]([#9])[c]([#9])[c]1[#9],22,0,0.0
P5,catechol boronate,[#5]1-[#8]-c2ccccc2-[#8]-1,22,0,0.0
P6,tetra-alkoxy borate,[#5](-[#8])(-[#8])(-[#8])-[#8],14,1,0.07142857142857142
P6,tri-alkoxy borate,[#5;D3;+0](-[#8])(-[#8])-[#8],14,9,0.6428571428571429
P6,boron_oxalate,[#5]1[#8][#6](=[#8])[#6](=[#8])[#8]1,14,0,0.0
P6,BF3-like motif,[#5](-[#9])(-[#9])-[#9],14,0,0.0
P6,fluorinated alkoxy,[#8]-[#6]-[#6](-[#9])(-[#9])-[#9],14,12,0.8571428571428571
P6,C-B(OR)2 motif,[#6]-[#5;D3;+0](-[#8]-[#6])-[#8]-[#6],14,3,0.21428571428571427
P6,pentafluorophenyl group,[c;D3]1[c]([#9])[c]([#9])[c]([#9])[c]([#9])[c]1[#9],14,0,0.0
P6,catechol boronate,[#5]1-[#8]-c2ccccc2-[#8]-1,14,0,0.0
P7,tetra-alkoxy borate,[#5](-[#8])(-[#8])(-[#8])-[#8],24,1,0.041666666666666664
P7,tri-alkoxy borate,[#5;D3;+0](-[#8])(-[#8])-[#8],24,17,0.7083333333333334
P7,boron_oxalate,[#5]1[#8][#6](=[#8])[#6](=[#8])[#8]1,24,0,0.0
P7,BF3-like motif,[#5](-[#9])(-[#9])-[#9],24,3,0.125
P7,fluorinated alkoxy,[#8]-[#6]-[#6](-[#9])(-[#9])-[#9],24,0,0.0
P7,C-B(OR)2 motif,[#6]-[#5;D3;+0](-[#8]-[#6])-[#8]-[#6],24,0,0.0
P7,pentafluorophenyl group,[c;D3]1[c]([#9])[c]([#9])[c]([#9])[c]([#9])[c]1[#9],24,0,0.0
P7,catechol boronate,[#5]1-[#8]-c2ccccc2-[#8]-1,24,0,0.0
