method,nearest_proto_similarity,assigned_prototype
PCL,0.7831776738166809,3
PCL,0.8087852001190186,6
PCL,0.7318835258483887,5
PCL,0.8110509514808655,1
PCL,0.8066824078559875,6
PCL,0.7985974550247192,6
PCL,0.8051740527153015,1
PCL,0.805446982383728,6
PCL,0.8309971690177917,1
PCL,0.8226104974746704,1
PCL,0.8064225912094116,6
PCL,0.7829675674438477,6
PCL,0.8049266338348389,6
PCL,0.799542248249054,1
PCL,0.7890675067901611,6
PCL,0.8386082649230957,3
PCL,0.813106119632721,1
PCL,0.7547999620437622,5
PCL,0.7910694479942322,6
PCL,0.8106381893157959,1
PCL,0.8181096911430359,1
PCL,0.819926917552948,6
PCL,0.8048386573791504,6
PCL,0.8061168789863586,6
PCL,0.8262669444084167,2
PCL,0.8041571378707886,6
PCL,0.7943213582038879,1
PCL,0.8187013864517212,2
PCL,0.80858314037323,1
PCL,0.7347738742828369,5
PCL,0.7886683344841003,3
PCL,0.8072978258132935,6
PCL,0.7355378866195679,5
PCL,0.8291917443275452,2
PCL,0.741848349571228,5
PCL,0.8064130544662476,1
PCL,0.7976704239845276,1
PCL,0.8045473098754883,6
PCL,0.805101215839386,6
PCL,0.7902145385742188,3
PCL,0.7402580976486206,5
PCL,0.8045488595962524,6
PCL,0.7908748388290405,6
PCL,0.8191396594047546,6
PCL,0.8016871213912964,1
PCL,0.8072766661643982,3
PCL,0.7909173965454102,6
PCL,0.8008105754852295,6
PCL,0.8113754987716675,6
PCL,0.8085200190544128,6
PCL,0.7834188938140869,6
PCL,0.7266066074371338,5
PCL,0.7289940118789673,5
PCL,0.8017793893814087,6
PCL,0.7377424836158752,5
PCL,0.7474628686904907,5
PCL,0.7294492125511169,5
PCL,0.7288162708282471,5
PCL,0.809874415397644,6
PCL,0.7456690073013306,5
PCL,0.7432859539985657,5
PCL,0.824042558670044,2
PCL,0.7998053431510925,6
PCL,0.8054882884025574,1
PCL,0.7611169815063477,5
PCL,0.8061319589614868,6
PCL,0.7518817782402039,5
PCL,0.804053783416748,1
PCL,0.728503406047821,5
PCL,0.7908155918121338,3
PCL,0.8104361295700073,6
PCL encoder only,0.780157744884491,6
PCL encoder only,0.7793741226196289,6
PCL encoder only,0.7758461236953735,6
PCL encoder only,0.7908748984336853,6
PCL encoder only,0.8199268579483032,6
PCL encoder only,0.8191395998001099,6
PCL encoder only,0.8048386573791504,6
PCL encoder only,0.811375617980957,6
PCL encoder only,0.8098744750022888,6
PCL encoder only,0.8104361295700073,6
PCL encoder only,0.8072978258132935,6
PCL encoder only,0.8064226508140564,6
PCL encoder only,0.8054469227790833,6
PCL encoder only,0.8085200786590576,6
PCL encoder only,0.8087852001190186,6
PCL encoder only,0.804548978805542,6
PCL encoder only,0.8061319589614868,6
PCL encoder only,0.8051011562347412,6
PCL encoder only,0.8017792701721191,6
PCL encoder only,0.7890674471855164,6
PCL encoder only,0.8049266934394836,6
PCL encoder only,0.7922401428222656,6
PCL encoder only,0.8041571378707886,6
PCL encoder only,0.8045473098754883,6
PCL encoder only,0.8061168193817139,6
PCL encoder only,0.7998054027557373,6
PCL encoder only,0.7473879456520081,6
PCL encoder only,0.8008105754852295,6
PCL encoder only,0.7494359016418457,6
PCL encoder only,0.824042558670044,2
PCL encoder only,0.8066824078559875,6
PCL encoder only,0.7558863162994385,6
PCL encoder only,0.7985975742340088,6
PCL encoder only,0.7693023681640625,6
PCL encoder only,0.773409366607666,6
PCL encoder only,0.7425664663314819,6
PCL encoder only,0.7867038249969482,6
PCL encoder only,0.7684815526008606,6
PCL encoder only,0.7715495824813843,6
PCL encoder only,0.7688851952552795,6
PCL encoder only,0.794196605682373,2
PCL encoder only,0.7509860992431641,6
PCL encoder only,0.743913471698761,6
PCL encoder only,0.7980648279190063,2
