Method,Assignment quality,P1 fraction_percent,P2 fraction_percent,P3 fraction_percent,P4 fraction_percent,P5 fraction_percent,P6 fraction_percent,P7 fraction_percent
Full model,0.5914871337224125,19.230769230769234,7.6923076923076925,10.256410256410255,0.0,24.358974358974358,38.46153846153847,0.0
Morgan fingerprints,0.41600689679275205,5.7571964956195245,18.272841051314142,4.380475594493117,6.758448060075094,3.1914893617021276,32.60325406758448,29.036295369211512
PCL encoder only,0.29466605807796764,2.9702970297029703,38.86138613861386,0.0,0.0,0.0,58.168316831683164,0.0
Random selection,0.2763790924641763,4.7913446676970635,11.591962905718702,3.7094281298299845,0.46367851622874806,4.636785162287481,71.71561051004637,3.091190108191654
PCL encoder clustering,0.24364073940505176,6.451612903225806,1.1730205278592376,2.932551319648094,0.0,5.278592375366569,78.88563049853371,5.278592375366569
w/o EMA,0.09456762436219814,7.853403141361256,17.975567190226876,8.900523560209423,0.8726003490401396,0.17452006980802792,8.027923211169284,56.195462478184986
USL encoder only,0.029856358562741197,0.0,26.44882860665845,0.0,0.0,0.06165228113440197,71.33168927250308,2.157829839704069
USL encoder clustering,0.020793856805576837,0.0,0.6451612903225806,83.22580645161291,0.6451612903225806,0.0,0.0,15.483870967741936
w/o decorrelation,0.0029903358010323748,0.0,0.34462952326249285,0.34462952326249285,0.0,98.90867317633544,0.0,0.402067777139575
w/o top-K,-0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
