Method,Assignment quality,P1 fraction_percent,P2 fraction_percent,P3 fraction_percent,P4 fraction_percent,P5 fraction_percent,P6 fraction_percent,P7 fraction_percent
Full model,0.5914871337224125,19.230769230769237,7.6923076923076925,10.256410256410255,0.0,24.35897435897436,38.46153846153847,0.0
Morgan fingerprints,0.416006896792752,5.7571964956195245,18.272841051314145,4.380475594493117,6.758448060075094,3.191489361702128,32.60325406758448,29.036295369211512
PCL encoder only,0.2946660580779676,2.9702970297029703,38.86138613861386,0.0,0.0,0.0,58.16831683168317,0.0
Random selection,0.2763790924641763,4.791344667697064,11.591962905718702,3.709428129829985,0.463678516228748,4.636785162287481,71.71561051004637,3.091190108191654
PCL encoder clustering,0.2436407394050517,6.451612903225806,1.1730205278592376,2.932551319648094,0.0,5.278592375366569,78.88563049853371,5.278592375366569
w/o EMA,0.0945676243621981,7.853403141361256,17.975567190226876,8.900523560209423,0.8726003490401396,0.1745200698080279,8.027923211169284,56.195462478184986
USL encoder only,0.0298563585627411,0.0,26.44882860665845,0.0,0.0,0.0616522811344019,71.33168927250308,2.157829839704069
USL encoder clustering,0.0207938568055768,0.0,0.6451612903225806,83.22580645161291,0.6451612903225806,0.0,0.0,15.483870967741936
w/o decorrelation,0.0029903358010323,0.0,0.3446295232624928,0.3446295232624928,0.0,98.90867317633544,0.0,0.402067777139575
w/o top-K,-0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
