prototype,molecule_rank,x,x_label,prototype_similarity,candidate_index
1,1,1,M1,0.821772038936615,11
1,2,2,M2,0.8198220133781433,13
1,3,3,M3,0.814348578453064,22
1,4,4,M4,0.8121702075004578,19
1,5,5,M5,0.8114612698554993,34
1,6,6,M6,0.8071501851081848,49
1,7,7,M7,0.8060087561607361,41
1,8,8,M8,0.8051366806030273,25
1,9,9,M9,0.8051332235336304,3
1,10,10,M10,0.8049940466880798,8
1,11,11,M11,0.8033787608146667,38
1,12,12,M12,0.8028914332389832,67
1,13,13,M13,0.7991710305213928,76
1,14,14,M14,0.797303318977356,42
1,15,15,M15,0.7923678755760193,26
2,1,1,M1,0.832434356212616,39
2,2,2,M2,0.8319031596183777,72
2,3,3,M3,0.8277093172073364,64
2,4,4,M4,0.8276228308677673,31
2,5,5,M5,0.82209712266922,14
2,6,6,M6,0.8216898441314697,33
3,1,1,M1,0.8373489379882812,21
3,2,2,M2,0.8070676326751709,50
3,3,3,M3,0.7904896140098572,45
3,4,4,M4,0.7902612090110779,70
3,5,5,M5,0.7882561683654785,35
3,6,6,M6,0.7848528623580933,71
3,7,7,M7,0.7838299870491028,0
3,8,8,M8,0.7833526730537415,74
5,1,1,M1,0.7499092221260071,66
5,2,2,M2,0.749528169631958,63
5,3,3,M3,0.7494205236434937,23
5,4,4,M4,0.7489742040634155,59
5,5,5,M5,0.7481650114059448,73
5,6,6,M6,0.7469909191131592,68
5,7,7,M7,0.740737795829773,46
5,8,8,M8,0.7400968074798584,40
5,9,9,M9,0.738734245300293,7
5,10,10,M10,0.737576425075531,1
5,11,11,M11,0.7374493479728699,58
5,12,12,M12,0.7361975312232971,4
5,13,13,M13,0.7356507182121277,12
5,14,14,M14,0.7332116961479187,37
5,15,15,M15,0.7307010889053345,60
5,16,16,M16,0.7300816178321838,61
5,17,17,M17,0.7240414023399353,56
5,18,18,M18,0.7239757180213928,10
5,19,19,M19,0.7137600779533386,75
6,1,1,M1,0.8198520541191101,48
6,2,2,M2,0.8165456056594849,27
6,3,3,M3,0.8109763860702515,53
6,4,4,M4,0.8100593686103821,62
6,5,5,M5,0.8088399171829224,77
6,6,6,M6,0.8084468841552734,54
6,7,7,M7,0.8082640171051025,16
6,8,8,M8,0.8070154786109924,5
6,9,9,M9,0.8066542744636536,36
6,10,10,M10,0.806633472442627,30
6,11,11,M11,0.8056676983833313,9
6,12,12,M12,0.8052476048469543,32
6,13,13,M13,0.8051684498786926,69
6,14,14,M14,0.804841160774231,2
6,15,15,M15,0.8046560287475586,29
6,16,16,M16,0.8046156764030457,44
6,17,17,M17,0.8044784069061279,43
6,18,18,M18,0.8043332099914551,47
6,19,19,M19,0.8039409518241882,18
6,20,20,M20,0.8018889427185059,57
6,21,21,M21,0.8006173372268677,52
6,22,22,M22,0.7973729968070984,65
6,23,23,M23,0.7967953681945801,24
6,24,24,M24,0.7956426739692688,6
6,25,25,M25,0.7924919128417969,20
6,26,26,M26,0.7905528545379639,15
6,27,27,M27,0.790117621421814,28
6,28,28,M28,0.7892118096351624,51
6,29,29,M29,0.7848109602928162,55
6,30,30,M30,0.7814565300941467,17
