similarity_rank,cid,prototype,prototype_label,x_center,bar_width,similarity,assigned_prototype,assigned_prototype_label,max_prototype_similarity
1,11522786,1,NP1,-0.3514285714285714,0.10777142857142856,0.009838871657848358,2,NP2,0.832434356212616
1,11522786,2,NP2,-0.23428571428571426,0.10777142857142856,0.832434356212616,2,NP2,0.832434356212616
1,11522786,3,NP3,-0.11714285714285713,0.10777142857142856,0.05070241540670395,2,NP2,0.832434356212616
1,11522786,4,NP4,0.0,0.10777142857142856,-0.01429666392505169,2,NP2,0.832434356212616
1,11522786,5,NP5,0.11714285714285713,0.10777142857142856,-0.2810226082801819,2,NP2,0.832434356212616
1,11522786,6,NP6,0.23428571428571426,0.10777142857142856,-0.17264874279499054,2,NP2,0.832434356212616
1,11522786,7,NP7,0.3514285714285714,0.10777142857142856,-0.01836284063756466,2,NP2,0.832434356212616
2,15158954,1,NP1,0.6485714285714286,0.10777142857142856,0.015224415808916092,2,NP2,0.8277093172073364
2,15158954,2,NP2,0.7657142857142858,0.10777142857142856,0.8277093172073364,2,NP2,0.8277093172073364
2,15158954,3,NP3,0.8828571428571429,0.10777142857142856,0.03979513794183731,2,NP2,0.8277093172073364
2,15158954,4,NP4,1.0,0.10777142857142856,-0.00974662322551012,2,NP2,0.8277093172073364
2,15158954,5,NP5,1.1171428571428572,0.10777142857142856,-0.2766144871711731,2,NP2,0.8277093172073364
2,15158954,6,NP6,1.2342857142857142,0.10777142857142856,-0.14163163304328918,2,NP2,0.8277093172073364
2,15158954,7,NP7,1.3514285714285714,0.10777142857142856,-0.036147672683000565,2,NP2,0.8277093172073364
3,22663171,1,NP1,1.6485714285714286,0.10777142857142856,0.02695605717599392,2,NP2,0.8276228308677673
3,22663171,2,NP2,1.7657142857142858,0.10777142857142856,0.8276228308677673,2,NP2,0.8276228308677673
3,22663171,3,NP3,1.8828571428571428,0.10777142857142856,0.035155605524778366,2,NP2,0.8276228308677673
3,22663171,4,NP4,2.0,0.10777142857142856,0.0456116758286953,2,NP2,0.8276228308677673
3,22663171,5,NP5,2.117142857142857,0.10777142857142856,-0.33814746141433716,2,NP2,0.8276228308677673
3,22663171,6,NP6,2.2342857142857144,0.10777142857142856,-0.13210508227348328,2,NP2,0.8276228308677673
3,22663171,7,NP7,2.3514285714285714,0.10777142857142856,-0.03584137558937073,2,NP2,0.8276228308677673
4,68979,1,NP1,2.6485714285714286,0.10777142857142856,0.821772038936615,1,NP1,0.821772038936615
4,68979,2,NP2,2.7657142857142856,0.10777142857142856,0.025345008820295334,1,NP1,0.821772038936615
4,68979,3,NP3,2.882857142857143,0.10777142857142856,0.03956887125968933,1,NP1,0.821772038936615
4,68979,4,NP4,3.0,0.10777142857142856,-0.10796984285116196,1,NP1,0.821772038936615
