cid,smiles,_recommend_original_order,_cid_key,excel_cid,excel_formula,excel_SMILES,excel_fingerprint,excel_topological,excel_weight,excel_heavy_atom,excel_label,excel_CAS,excel_price,excel_link,excel__excel_original_order,sim_to_NP1,sim_to_NP2,sim_to_NP3,sim_to_NP4,sim_to_NP5,sim_to_NP6,sim_to_NP7,assigned_prototype,assigned_prototype_label,max_prototype_similarity,similarity_rank,x,x_label
11522786,B(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)OCC3=CN=CN3,39,11522786,11522786,C16H13BCl2N2O,B(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)OCC3=CN=CN3,,0.0,331.0,22,2,872044-92-3,,,17,0.009838872,0.83243436,0.050702415,-0.014296664,-0.2810226,-0.17264874,-0.01836284,2,NP2,0.83243436,1,1,11522786
15158954,B(CC)(CC)C1=CN=CN=C1,64,15158954,15158954,C8H13BN2,B(CC)(CC)C1=CN=CN=C1,,0.0,148.02,11,2,139298-13-8,,,16,0.015224416,0.8277093,0.039795138,-0.009746623,-0.2766145,-0.14163163,-0.036147673,2,NP2,0.8277093,2,2,15158954
22663171,B(CC)(CC)C1=CC(=CN=C1)SC,31,22663171,22663171,C10H16BNS,B(CC)(CC)C1=CC(=CN=C1)SC,,0.0,193.12,13,2,141938-41-2,,,18,0.026956057,0.82762283,0.035155606,0.045611676,-0.33814746,-0.13210508,-0.035841376,2,NP2,0.82762283,3,3,22663171
68979,B(C)(C)C,11,68979,68979,C3H9B,B(C)(C)C,,0.0,55.92,4,1,593-90-8,,,13,0.82177204,0.025345009,0.03956887,-0.10796984,-0.28863746,-0.11572292,-0.035913132,1,NP1,0.82177204,4,4,68979
66709077,B(C1=CN(N=C1)C)(OCC)OCC,33,66709077,66709077,C8H15BN2O2,B(C1=CN(N=C1)C)(OCC)OCC,00000371C2733000000000000000000000000000000160000000000000000000000000018000281E00080000000800E192062E8092080000A200106744009004001180001050202844100000804041400484080008004000000000000000000000000000000000000000000000000000000000,36.3,182.1226579,13,2,1392108-88-1,,,15,0.005507955,0.82168984,0.008636617,0.04658676,-0.29089978,-0.09084628,-0.06171836,2,NP2,0.82168984,5,5,66709077
11050988,B(C1=C2C(=C(C(=C1F)F)F)C(=C(C(=C2F)F)F)F)(C3=C4C(=C(C(=C3F)F)F)C(=C(C(=C4F)F)F)F)C5=C6C(=C(C(=C5F)F)F)C(=C(C(=C6F)F)F)F,48,11050988,11050988,C30BF21,B(C1=C2C(=C(C(=C1F)F)F)C(=C(C(=C2F)F)F)F)(C3=C4C(=C(C(=C3F)F)F)C(=C(C(=C4F)F)F)F)C5=C6C(=C(C(=C5F)F)F)C(=C(C(=C6F)F)F)F,,0.0,770.1,52,6,190282-03-2,,,47,-0.22330566,-0.23023114,-0.30631188,-0.17692624,0.11827585,0.81985205,-0.33038878,6,NP6,0.81985205,6,6,11050988
138247,B(C)(C)OC,13,138247,138247,C3H9BO,B(C)(C)OC,,0.0,71.92,5,1,4443-43-0,,,10,0.819822,0.019620474,0.029609088,-0.11312136,-0.26266286,-0.12322269,-0.044369474,1,NP1,0.819822,7,7,138247
10876447,B(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)(C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F)C5=C(C6=C(C(=C5F)F)C(=C(C(=C6F)F)F)F)F,27,10876447,10876447,C30BF21,B(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)(C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F)C5=C(C6=C(C(=C5F)F)C(=C(C(=C6F)F)F)F)F,,0.0,770.1,52,6,204930-04-1,,,49,-0.21999404,-0.22698103,-0.30300537,-0.18368998,0.11374641,0.8165456,-0.32341447,6,NP6,0.8165456,8,8,10876447
78020,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,22,78020,78020,C9H27BO3Si3,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000810100000400000000000004200000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,278.1361045,16,1,4325-85-3,,,4,0.8143486,0.0062999665,0.03324189,-0.079417214,-0.28405073,-0.084481865,-0.047872867,1,NP1,0.8143486,9,9,78020
71390453,B(C1=CC=CC=C1C=C)(O[Si](C)(C)C)O[Si](C)(C)C,19,71390453,71390453,C14H25BO2Si2,B(C1=CC=CC=C1C=C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C000000000000000000000000000000000000300000000000000000010000281810000040000C008018007200800000018002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,18.5,292.1486133,19,1,62043-03-2,,,3,0.8121702,-0.025850458,0.05292756,-0.16939436,-0.26671037,-0.1850279,0.011789729,1,NP1,0.8121702,10,10,71390453
