prototype,prototype_label,prototype_rank,x_center,bar_width,cid,similarity,similarity_column,assigned_prototype,assigned_prototype_label,max_prototype_similarity
1,NP1,1,0,0.72,68979,0.821772038936615,sim_to_NP1,1,NP1,0.821772038936615
1,NP1,2,1,0.72,138247,0.8198220133781433,sim_to_NP1,1,NP1,0.8198220133781433
1,NP1,3,2,0.72,78020,0.814348578453064,sim_to_NP1,1,NP1,0.814348578453064
1,NP1,4,3,0.72,71390453,0.8121702075004578,sim_to_NP1,1,NP1,0.8121702075004578
1,NP1,5,4,0.72,11090867,0.8114612698554993,sim_to_NP1,1,NP1,0.8114612698554993
1,NP1,6,5,0.72,25068199,0.8071501851081848,sim_to_NP1,1,NP1,0.8071501851081848
1,NP1,7,6,0.72,57041839,0.8060087561607361,sim_to_NP1,1,NP1,0.8060087561607361
1,NP1,8,7,0.72,13789232,0.8051366806030273,sim_to_NP1,1,NP1,0.8051366806030273
1,NP1,9,8,0.72,22338812,0.8051332235336304,sim_to_NP1,1,NP1,0.8051332235336304
1,NP1,10,9,0.72,425307,0.8049940466880798,sim_to_NP1,1,NP1,0.8049940466880798
1,NP1,11,10,0.72,517955,0.8028914332389832,sim_to_NP1,1,NP1,0.8028914332389832
1,NP1,12,11,0.72,12418354,0.797303318977356,sim_to_NP1,1,NP1,0.797303318977356
1,NP1,13,12,0.72,15877487,0.7923678755760193,sim_to_NP1,1,NP1,0.7923678755760193
1,NP1,14,13,0.72,23115783,0.06755535304546356,sim_to_NP1,3,NP3,0.8070676326751709
1,NP1,15,14,0.72,25112575,0.053610458970069885,sim_to_NP1,3,NP3,0.7904896140098572
1,NP1,16,15,0.72,58489416,0.047723643481731415,sim_to_NP1,3,NP3,0.7882561683654785
1,NP1,17,16,0.72,58050304,0.03848268836736679,sim_to_NP1,3,NP3,0.7838299870491028
1,NP1,18,17,0.72,22663171,0.02695605717599392,sim_to_NP1,2,NP2,0.8276228308677673
1,NP1,19,18,0.72,15158954,0.015224415808916092,sim_to_NP1,2,NP2,0.8277093172073364
