Prototype,CID,molecule_name,SMILES,Molecular weight,SA Score,svg_file
1,95,BDB,B1(OC(C(O1)(C)C)(C)C)B2OC(C(O2)(C)C)(C)C,253.944,3.4284,molecule_svg/BDB.svg
1,66,BEG-1,CC1(C(C)(OB(OCCCOB(OC2(C)C)OC(C)(C2(C)C)C)OC1(C)C)C)C,412.185,4.0691,molecule_svg/BEG-1.svg
1,43,BF3-THF,F[B-](F)(F)[O+]1CCCC1,139.913,5.5323,molecule_svg/BF3-THF.svg
1,19,C-LiMCFB,F[B-](F)(F)OCC1OCCOCCOCCOCCOC1,317.089,4.2116,molecule_svg/C-LiMCFB.svg
1,32,DPD,CC1(COB(OC1)C1=CC=CC=C1)C,190.051,2.8934,molecule_svg/DPD.svg
1,98,DPD-CHO,CC1(COB(OC1)C1=C(C=O)C=CC=C1)C,218.061,3.1281,molecule_svg/DPD-CHO.svg
1,83,DPD-CN,C(#N)C1=C(C=CC=C1)B1OCC(CO1)(C)C,215.061,3.1594,molecule_svg/DPD-CN.svg
1,14,DPD-CN-OCH3,CC1(COB(OC1)C1=C(C#N)C=CC=C1OC)C,245.087,3.1597,molecule_svg/DPD-CN-OCH3.svg
1,104,DPD-COOCH2CH3,CC1(COB(OC1)C1=C(C(=O)OCC)C=CC=C1)C,262.114,2.8529,molecule_svg/DPD-COOCH2CH3.svg
1,92,DPD-F,CC1(COB(OC1)C1=C(C=CC=C1)F)C,208.041,2.9985,molecule_svg/DPD-F.svg
1,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,275.201,2.699,molecule_svg/DiOB-An.svg
1,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,205.066,2.8533,molecule_svg/DiOB-Py.svg
1,10,ITD,C(C)(C)OB1OC(C(O1)(C)C)(C)C,186.06,3.6168,molecule_svg/ITD.svg
1,24,NHCABT,FB(F)F.CN1CCN(C)C1,167.971,3.2933,molecule_svg/NHCABT.svg
1,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,352.331,2.9873,molecule_svg/SOFPB.svg
1,6,TBDB,CC1(COB(OC1)B1OCC(CO1)(C)C)C,225.89,4.273,molecule_svg/TBDB.svg
2,109,4FLBDOB,FC1=C(F)C(F)=C2C(O[B-](OC3=O)(OC3=O)O2)=C1F.[Li+],285.827,4.6479,molecule_svg/4FLBDOB.svg
2,34,DCLBSB,O=C(O[B-]12OC3=C(Cl)C=C(Cl)C=C3C(O2)=O)C4=C(O1)C(Cl)=CC(Cl)=C4.[Li+],427.745,4.1644,molecule_svg/DCLBSB.svg
2,51,LiBBrSB,BrC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(Br)=C3O2)=O)C)=O)=CC=C1.[Li+],462.792,4.3689,molecule_svg/LiBBrSB.svg
2,122,LiBCl2SB,ClC1=C([O])C(C(O[B-]2(OC(C3=CC(Cl)=CC(Cl)=C3O2)=O)C)=O)=CC(Cl)=C1.[Li+],442.78,4.3553,molecule_svg/LiBCl2SB.svg
2,115,LiBClSB,ClC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(Cl)=C3O2)=O)C)=O)=CC=C1.[Li+],373.89,4.2608,molecule_svg/LiBClSB.svg
2,3,PFPBO,FC1=C(F)C(F)=C(F)C(B(OC2=O)OC2=O)=C1F,265.886,3.5595,molecule_svg/PFPBO.svg
2,54,PFPTFBB,B1(OC2=C(O1)C(=C(C(=C2F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,357.924,3.3938,molecule_svg/PFPTFBB.svg
2,94,TCLBSB,O=C(O[B-]12OC3=C(Cl)C=C(Cl)C(Cl)=C3C(O2)=O)C4=C(O1)C(Cl)=CC(Cl)=C4Cl.[Li+],496.635,4.3889,molecule_svg/TCLBSB.svg
2,77,TFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,511.98,2.8006,molecule_svg/TFPB.svg
