prototype,molecule_rank,candidate_index,prototype_similarity,smiles,svg_path,svg_file
1,1,11,0.821772038936615,B(C)(C)C,./save_figs/fig4e_top_molecule_svgs/P1_M1_sim_0.822_idx_11.svg,P1_M1_sim_0.822_idx_11.svg
1,2,13,0.8198220133781433,B(C)(C)OC,./save_figs/fig4e_top_molecule_svgs/P1_M2_sim_0.820_idx_13.svg,P1_M2_sim_0.820_idx_13.svg
1,3,22,0.814348578453064,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,./save_figs/fig4e_top_molecule_svgs/P1_M3_sim_0.814_idx_22.svg,P1_M3_sim_0.814_idx_22.svg
1,4,19,0.8121702075004578,B(C1=CC=CC=C1C=C)(O[Si](C)(C)C)O[Si](C)(C)C,./save_figs/fig4e_top_molecule_svgs/P1_M4_sim_0.812_idx_19.svg,P1_M4_sim_0.812_idx_19.svg
1,5,34,0.8114612698554993,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)Cl)C3CC3,./save_figs/fig4e_top_molecule_svgs/P1_M5_sim_0.811_idx_34.svg,P1_M5_sim_0.811_idx_34.svg
1,6,49,0.8071501851081848,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=C(C1=O)C=CC(=C2OC)F)C3CC3,./save_figs/fig4e_top_molecule_svgs/P1_M6_sim_0.807_idx_49.svg,P1_M6_sim_0.807_idx_49.svg
1,7,41,0.8060087561607361,B(C1=CC(=CC=C1)C=C)(O[Si](C)(C)C)O[Si](C)(C)C,./save_figs/fig4e_top_molecule_svgs/P1_M7_sim_0.806_idx_41.svg,P1_M7_sim_0.806_idx_41.svg
1,8,25,0.8051366806030273,B(C1=CC=CC=C1B(Cl)Cl)(Cl)Cl,./save_figs/fig4e_top_molecule_svgs/P1_M8_sim_0.805_idx_25.svg,P1_M8_sim_0.805_idx_25.svg
1,9,3,0.8051332235336304,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F,./save_figs/fig4e_top_molecule_svgs/P1_M9_sim_0.805_idx_3.svg,P1_M9_sim_0.805_idx_3.svg
1,10,8,0.8049940466880798,B(OC(=O)C)(OC(=O)C)OC(=O)C,./save_figs/fig4e_top_molecule_svgs/P1_M10_sim_0.805_idx_8.svg,P1_M10_sim_0.805_idx_8.svg
1,11,38,0.8033787608146667,B(OCCC)(Cl)Cl,./save_figs/fig4e_top_molecule_svgs/P1_M11_sim_0.803_idx_38.svg,P1_M11_sim_0.803_idx_38.svg
1,12,67,0.8028914332389832,B(C)(C)CC,./save_figs/fig4e_top_molecule_svgs/P1_M12_sim_0.803_idx_67.svg,P1_M12_sim_0.803_idx_67.svg
1,13,76,0.7991710305213928,B(OC)(OC)OC,./save_figs/fig4e_top_molecule_svgs/P1_M13_sim_0.799_idx_76.svg,P1_M13_sim_0.799_idx_76.svg
